"##Databases: PANTHER, KEGG PATHWAY, Reactome, BioCyc"								
##Statistical test method: hypergeometric test / Fisher's exact test								
##FDR correction method: Benjamini and Hochberg								
								
#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
TRIF(TICAM1)-mediated TLR4 signaling 	Reactome	R-HSA-937061	19	98	6.87E-11	8.35E-10	MAP3K8|TRAF6|PPP2CA|RPS6KA2|HMGB1|JUN|BIRC2|UBE2D3|CD14|RIPK2|IKBKG|TLR4|NFKB1|PPP2R5D|MAPK1|MAPK8|DUSP7|DUSP3|MAPK11	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-937061
MyD88-independent TLR4 cascade 	Reactome	R-HSA-166166	19	98	6.87E-11	8.35E-10	MAP3K8|TRAF6|PPP2CA|RPS6KA2|HMGB1|JUN|BIRC2|UBE2D3|CD14|RIPK2|IKBKG|TLR4|NFKB1|PPP2R5D|MAPK1|MAPK8|DUSP7|DUSP3|MAPK11	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-166166
Signaling pathways regulating pluripotency of stem cells	KEGG PATHWAY	hsa04550	22	140	8.28E-11	9.92E-10	AKT1|AKT3|MAPK11|WNT4|FZD9|MAPK1|PIK3R3|PIK3R2|PIK3R1|DUSP9|MYC|IGF1R|TCF3|DLX5|DVL1|PCGF1|WNT2|ID4|ID1|PIK3CA|WNT7A|LIFR	http://www.genome.jp/kegg-bin/show_pathway?hsa04550/hsa:8503%09red/hsa:10000%09red/hsa:3977%09red/hsa:3480%09red/hsa:7476%09red/hsa:7472%09red/hsa:1749%09red/hsa:1855%09red/hsa:1852%09red/hsa:5600%09red/hsa:3397%09red/hsa:5594%09red/hsa:5290%09red/hsa:5295%09red/hsa:5296%09red/hsa:6929%09red/hsa:207%09red/hsa:8326%09red/hsa:54361%09red/hsa:84759%09red/hsa:3400%09red/hsa:4609%09red
Death Receptor Signalling	Reactome	R-HSA-73887	22	140	8.28E-11	9.92E-10	HDAC1|HDAC3|BIRC2|ITGB3BP|RIPK2|IKBKG|ADAM17|ARHGEF10L|RNF31|TIAM1|FAS|CFLAR|NFKB1|MAPK8|MYD88|ARHGEF15|TRAF6|RTN4|TNFAIP3|CYLD|RBCK1|AATF	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73887
Pancreatic cancer	KEGG PATHWAY	hsa05212	17	75	8.33E-11	9.92E-10	TGFBR2|TGFB2|E2F3|RALGDS|E2F1|MAPK1|PIK3CA|AKT1|AKT3|PIK3R3|PIK3R2|PIK3R1|NFKB1|TP53|MAPK8|RALA|IKBKG	http://www.genome.jp/kegg-bin/show_pathway?hsa05212/hsa:5900%09red/hsa:8517%09red/hsa:8503%09red/hsa:10000%09red/hsa:5290%09red/hsa:7157%09red/hsa:7042%09red/hsa:5295%09red/hsa:5296%09red/hsa:4790%09red/hsa:1871%09red/hsa:5594%09red/hsa:5599%09red/hsa:5898%09red/hsa:1869%09red/hsa:207%09red/hsa:7048%09red
Ub-specific processing proteases	Reactome	R-HSA-5689880	27	219	9.26E-11	1.10E-09	SNX3|RPN2|PSMD9|CLSPN|PSMD4|USP28|BIRC2|IKBKG|FOXO4|CCNA2|CCNA1|PSMA1|PSMC1|MYC|PSMC4|PSMC5|PSMC6|TEP1|TRAF6|IL33|RUVBL1|ARRB1|PTRH2|TP53|PSMD13|ADRB2|CYLD	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5689880
Signaling by NTRK1 (TRKA)	Reactome	R-HSA-187037	17	76	9.97E-11	1.17E-09	RPS6KA2|DUSP3|IRS2|RALGDS|PPP2CA|PIK3CA|RAP1A|MAPK11|MAPK1|CLTA|PIK3R2|PIK3R1|PPP2R5D|CRK|DUSP7|RALA|SHC1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-187037
FOXO-mediated transcription	Reactome	R-HSA-9614085	16	65	1.04E-10	1.22E-09	HDAC1|SIRT1|SIN3A|BTG1|NFYB|KAT2B|PPARGC1A|SFN|AKT1|FOXO1|AKT3|FOXO4|CITED2|BCL6|CREBBP|CAV1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9614085
Chromatin organization	Reactome	R-HSA-4839726	30	273	1.11E-10	1.28E-09	HDAC1|HDAC3|H2AFX|KAT2B|EZH2|IKBKAP|ARID4A|EED|EPC1|SMARCA4|NCOR1|NCOA1|RUVBL1|CHD4|HCFC1|RUVBL2|SUPT3H|SAP18|NFKB1|MORF4L1|SMARCB1|SUV39H1|ING3|OGT|MEAF6|RBBP7|RBBP4|CREBBP|NSD1|KDM5B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-4839726
Chromatin modifying enzymes	Reactome	R-HSA-3247509	30	273	1.11E-10	1.28E-09	HDAC1|HDAC3|H2AFX|KAT2B|EZH2|IKBKAP|ARID4A|EED|EPC1|SMARCA4|NCOR1|NCOA1|RUVBL1|CHD4|HCFC1|RUVBL2|SUPT3H|SAP18|NFKB1|MORF4L1|SMARCB1|SUV39H1|ING3|OGT|MEAF6|RBBP7|RBBP4|CREBBP|NSD1|KDM5B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3247509
NOTCH1 Intracellular Domain Regulates Transcription	Reactome	R-HSA-2122947	14	45	1.14E-10	1.30E-09	HDAC1|HDAC3|HDAC5|HDAC7|HDAC6|TLE2|TLE1|KAT2B|TLE4|NCOR1|MYC|HEY2|CREBBP|HEY1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2122947
Switching of origins to a post-replicative state	Reactome	R-HSA-69052	18	89	1.19E-10	1.35E-09	RPN2|CCNA2|CCNA1|PSMD4|PSMD9|CDT1|PSMD13|MCM7|MCM6|MCM5|PSMA1|MCM3|MCM2|PSMC6|PSMC1|PSMC4|PSMC5|CDC6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69052
Chemokine signaling pathway	KEGG PATHWAY	hsa04062	25	190	1.33E-10	1.50E-09	RASGRP2|NCF1|RAP1A|AKT1|AKT3|IKBKG|ARRB1|CRK|PIK3CA|GRK5|GNG11|TIAM1|MAPK1|PIK3R3|PIK3R2|PIK3R1|NFKB1|SRC|SHC1|CXCL12|ITK|ADCY3|CCL18|ADCY8|STAT5B	http://www.genome.jp/kegg-bin/show_pathway?hsa04062/hsa:8503%09red/hsa:408%09red/hsa:10000%09red/hsa:2791%09red/hsa:3702%09red/hsa:5594%09red/hsa:6387%09red/hsa:5906%09red/hsa:2869%09red/hsa:1398%09red/hsa:7074%09red/hsa:6362%09red/hsa:109%09red/hsa:6464%09red/hsa:8517%09red/hsa:5290%09red/hsa:5295%09red/hsa:5296%09red/hsa:4790%09red/hsa:6714%09red/hsa:653361%09red/hsa:207%09red/hsa:6777%09red/hsa:114%09red/hsa:10235%09red
Wnt signaling pathway	PANTHER	P00057	31	294	1.39E-10	1.56E-09	HDAC1|HDAC3|NFATC4|TCF4|TLE2|TLE1|AES|TLE4|ARRB1|WNT4|SMARCA4|FZD9|CSNK1D|DVL1|MYC|CDH5|PRKCH|SMARCB1|PRKCE|CELSR2|SFRP2|SFRP1|TP53|PPP2CA|WNT2|PCDH7|PPP2R5D|CTBP1|WNT7A|CREBBP|PPP2R5C	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00057
Human cytomegalovirus infection	KEGG PATHWAY	hsa05163	27	225	1.60E-10	1.79E-09	PTGS2|NFATC4|AKT1|AKT3|IKBKG|CRK|IL1B|TSC2|FAS|GNG11|MAPK1|PIK3R3|PIK3R2|PIK3R1|NFKB1|MYC|SRC|SP1|CREB5|TP53|CXCL12|E2F3|E2F1|ADCY3|ADCY8|PIK3CA|MAPK11	http://www.genome.jp/kegg-bin/show_pathway?hsa05163/hsa:8503%09red/hsa:9586%09red/hsa:2791%09red/hsa:5594%09red/hsa:355%09red/hsa:1398%09red/hsa:6667%09red/hsa:6387%09red/hsa:10000%09red/hsa:5743%09red/hsa:4776%09red/hsa:7249%09red/hsa:1871%09red/hsa:5600%09red/hsa:109%09red/hsa:3553%09red/hsa:8517%09red/hsa:5290%09red/hsa:5295%09red/hsa:5296%09red/hsa:4790%09red/hsa:6714%09red/hsa:207%09red/hsa:7157%09red/hsa:114%09red/hsa:4609%09red/hsa:1869%09red
"Platelet activation, signaling and aggregation"	Reactome	R-HSA-76002	29	260	1.64E-10	1.82E-09	RASGRP2|TGFB2|CYB5R1|SRC|TMSB4X|RAP1A|HABP4|AKT1|ARRB1|SRGN|CRK|PIK3CA|FYN|GNG11|MAPK1|PIK3R3|PIK3R2|PIK3R1|DGKA|PRKCH|SHC1|PRKCE|LGALS3BP|LCP2|PTPN6|PLCG2|PCDH7|PPIA|GAS6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-76002
Synthesis of DNA	Reactome	R-HSA-69239	20	118	1.81E-10	1.95E-09	RPN2|MCM3|CCNA2|CCNA1|PSMD4|PSMD9|CDT1|POLA1|PSMD13|MCM7|MCM6|MCM5|PSMA1|PRIM1|MCM2|PSMC6|PSMC1|PSMC4|PSMC5|CDC6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69239
RNA Polymerase II Transcription Initiation And Promoter Clearance	Reactome	R-HSA-76042	14	47	1.84E-10	1.95E-09	GTF2E1|TAF2|TAF1|TBP|ERCC2|GTF2H5|GTF2H4|GTF2B|GTF2A1|GTF2A2|CDK7|MNAT1|CCNH|GTF2H1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-76042
HIV Transcription Initiation	Reactome	R-HSA-167161	14	47	1.84E-10	1.95E-09	GTF2E1|TAF2|TAF1|TBP|ERCC2|GTF2H5|GTF2H4|GTF2B|GTF2A1|GTF2A2|CDK7|MNAT1|CCNH|GTF2H1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-167161
RNA Polymerase II Promoter Escape	Reactome	R-HSA-73776	14	47	1.84E-10	1.95E-09	GTF2E1|TAF2|TAF1|TBP|ERCC2|GTF2H5|GTF2H4|GTF2B|GTF2A1|GTF2A2|CDK7|MNAT1|CCNH|GTF2H1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73776
RNA Polymerase II HIV Promoter Escape	Reactome	R-HSA-167162	14	47	1.84E-10	1.95E-09	GTF2E1|TAF2|TAF1|TBP|ERCC2|GTF2H5|GTF2H4|GTF2B|GTF2A1|GTF2A2|CDK7|MNAT1|CCNH|GTF2H1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-167162
RNA Polymerase II Transcription Pre-Initiation And Promoter Opening	Reactome	R-HSA-73779	14	47	1.84E-10	1.95E-09	GTF2E1|TAF2|TAF1|TBP|ERCC2|GTF2H5|GTF2H4|GTF2B|GTF2A1|GTF2A2|CDK7|MNAT1|CCNH|GTF2H1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73779
RNA Polymerase II Transcription Initiation	Reactome	R-HSA-75953	14	47	1.84E-10	1.95E-09	GTF2E1|TAF2|TAF1|TBP|ERCC2|GTF2H5|GTF2H4|GTF2B|GTF2A1|GTF2A2|CDK7|MNAT1|CCNH|GTF2H1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-75953
@@Cellular Senescence	Reactome	R-HSA-2559583	25	194	1.98E-10	2.08E-09	RBBP7|EZH2|MAPK11|EED|RBBP4|ETS1|CEBPB|CCNA2|CCNA1|JUN|ETS2|MAPK1|PHC1|PHC2|NFKB1|MAPK8|CDKN2C|SP1|HMGA1|TP53|RPS6KA2|E2F3|E2F1|H2AFX|ID1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2559583
Membrane Trafficking	Reactome	R-HSA-199991	47	631	2.10E-10	2.20E-09	SCFD1|IL7R|TUBA8|AVPR2|CD55|COPS2|CHMP4B|CD59|AKT1|AKT3|CLTA|ARRB1|SPTBN4|TSC2|HIP1R|RAB8B|GPS1|GJB1|SH3GL1|TUBA1A|GJB2|CTTN|ANK2|GJB6|CSNK1D|PAFAH1B3|VTA1|SNX9|CHMP4C|TMF1|KIF18A|VPS4B|CYTH1|CYTH3|PAFAH1B1|GALNT2|GJA1|GJA5|SH3D19|DLC1|TRAPPC3|MON1A|SFN|TRAPPC6A|ADRB2|MPP1|RALA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-199991
Tuberculosis	KEGG PATHWAY	hsa05152	24	179	2.20E-10	2.29E-09	SPHK2|TGFB2|VDR|HSPA9|NFYB|AKT3|MAPK11|IL1B|MRC1|MAPK1|NFKB1|MAPK8|MYD88|SRC|TRAF6|CEBPB|CAMK2B|AKT1|CD14|TLR1|TLR4|TLR9|RIPK2|CREBBP	http://www.genome.jp/kegg-bin/show_pathway?hsa05152/hsa:10000%09red/hsa:4801%09red/hsa:929%09red/hsa:7096%09red/hsa:7099%09red/hsa:3313%09red/hsa:1051%09red/hsa:7189%09red/hsa:4615%09red/hsa:5600%09red/hsa:4360%09red/hsa:54106%09red/hsa:3553%09red/hsa:5594%09red/hsa:8767%09red/hsa:56848%09red/hsa:5599%09red/hsa:4790%09red/hsa:6714%09red/hsa:207%09red/hsa:816%09red/hsa:1387%09red/hsa:7042%09red/hsa:1594%09red
Toll Like Receptor 3 (TLR3) Cascade	Reactome	R-HSA-168164	18	93	2.22E-10	2.29E-09	MAP3K8|TRAF6|PPP2CA|RPS6KA2|HMGB1|JUN|BIRC2|UBE2D3|TLR3|RIPK2|IKBKG|NFKB1|PPP2R5D|MAPK1|MAPK8|DUSP7|DUSP3|MAPK11	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168164
Transcriptional regulation by RUNX3	Reactome	R-HSA-8878159	18	93	2.22E-10	2.29E-09	SRC|RPN2|TP53|TCF4|PSMA1|PSMD9|KAT2B|PSMD13|RUNX3|CTGF|CBFB|CREBBP|PSMD4|PSMC1|MYC|PSMC4|PSMC5|PSMC6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8878159
Prolactin signaling pathway	KEGG PATHWAY	hsa04917	16	70	2.68E-10	2.73E-09	SRC|SHC1|SOCS2|PRLR|PIK3CA|MAPK11|AKT1|STAT5A|AKT3|PIK3R3|PIK3R2|PIK3R1|NFKB1|MAPK1|MAPK8|STAT5B	http://www.genome.jp/kegg-bin/show_pathway?hsa04917/hsa:6776%09red/hsa:6777%09red/hsa:5594%09red/hsa:8503%09red/hsa:10000%09red/hsa:5290%09red/hsa:207%09red/hsa:8835%09red/hsa:5295%09red/hsa:5296%09red/hsa:4790%09red/hsa:5599%09red/hsa:5600%09red/hsa:6714%09red/hsa:6464%09red/hsa:5618%09red
Regulation of RUNX2 expression and activity	Reactome	R-HSA-8939902	16	70	2.68E-10	2.73E-09	RPN2|ESRRA|PSMA1|PSMD9|PPARGC1A|PPARGC1B|DLX5|CBFB|PSMD13|PSMD4|PSMC1|MSX2|PSMC4|PSMC5|PSMC6|HIVEP3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8939902
@@Apoptosis	KEGG PATHWAY	hsa04210	21	136	2.95E-10	2.95E-09	DAXX|TUBA8|TP53|CFLAR|FAS|TUBA1A|JUN|BIRC2|DFFB|AKT1|PIK3CA|AKT3|PIK3R3|PIK3R2|PIK3R1|NFKB1|MCL1|MAPK1|MAPK8|EIF2S1|IKBKG	http://www.genome.jp/kegg-bin/show_pathway?hsa04210/hsa:8517%09red/hsa:8503%09red/hsa:4170%09red/hsa:10000%09red/hsa:1616%09red/hsa:5290%09red/hsa:7157%09red/hsa:5594%09red/hsa:3725%09red/hsa:8837%09red/hsa:5295%09red/hsa:5296%09red/hsa:4790%09red/hsa:329%09red/hsa:1965%09red/hsa:355%09red/hsa:5599%09red/hsa:51807%09red/hsa:7846%09red/hsa:207%09red/hsa:1677%09red
Apoptosis signaling pathway	PANTHER	P00006	19	108	2.95E-10	2.95E-09	PRKCH|JDP2|BCL2L2|TP53|BIK|PRKCE|FAS|JUN|BIRC2|AKT1|PIK3CA|AKT3|MCL1|NFKB1|DAXX|MAPK1|MAPK8|EIF2S1|CFLAR	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00006
Insulin resistance	KEGG PATHWAY	hsa04931	19	108	2.95E-10	2.95E-09	RPS6KA2|TEP1|IRS2|PPP1CA|OGT|CREB5|PRKCE|PPARGC1A|PPARGC1B|AKT1|FOXO1|AKT3|PIK3R3|PIK3R2|PIK3R1|PIK3CA|NFKB1|MAPK8|NR1H2	http://www.genome.jp/kegg-bin/show_pathway?hsa04931/hsa:133522%09red/hsa:5728%09red/hsa:9586%09red/hsa:7376%09red/hsa:8473%09red/hsa:5581%09red/hsa:10000%09red/hsa:6196%09red/hsa:5295%09red/hsa:5296%09red/hsa:8660%09red/hsa:4790%09red/hsa:5290%09red/hsa:5499%09red/hsa:10891%09red/hsa:5599%09red/hsa:8503%09red/hsa:207%09red/hsa:2308%09red
Signaling by NOTCH1	Reactome	R-HSA-1980143	16	71	3.21E-10	3.20E-09	HDAC1|HDAC3|HDAC5|HDAC7|HDAC6|TLE2|TLE1|ADAM17|KAT2B|TLE4|NCOR1|ARRB1|MYC|HEY2|CREBBP|HEY1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1980143
Influenza A	KEGG PATHWAY	hsa05164	23	167	3.24E-10	3.20E-09	IFNAR2|AKT1|AKT3|IKBKG|IL1B|EIF2S1|TYK2|FAS|CALCOCO2|MAPK1|PIK3R3|PIK3R2|ICAM1|NFKB1|MYD88|PIK3R1|TRIM25|IL33|TLR3|TLR4|PIK3CA|MAVS|CREBBP	http://www.genome.jp/kegg-bin/show_pathway?hsa05164/hsa:8503%09red/hsa:10000%09red/hsa:3383%09red/hsa:7297%09red/hsa:5594%09red/hsa:355%09red/hsa:7098%09red/hsa:3455%09red/hsa:4615%09red/hsa:10241%09red/hsa:3553%09red/hsa:8517%09red/hsa:5290%09red/hsa:5295%09red/hsa:5296%09red/hsa:57506%09red/hsa:4790%09red/hsa:207%09red/hsa:1387%09red/hsa:7706%09red/hsa:1965%09red/hsa:90865%09red/hsa:7099%09red
HIF-1 signaling pathway	KEGG PATHWAY	hsa04066	19	109	3.39E-10	3.33E-09	IGF1R|TEK|TLR4|AKT1|MKNK2|PIK3CA|CAMK2B|PLCG2|AKT3|PIK3R3|PIK3R2|PIK3R1|NFKB1|MAPK1|ALDOB|ANGPT1|LDHA|CREBBP|NPPA	http://www.genome.jp/kegg-bin/show_pathway?hsa04066/hsa:5336%09red/hsa:5594%09red/hsa:8503%09red/hsa:10000%09red/hsa:1387%09red/hsa:5290%09red/hsa:7099%09red/hsa:3480%09red/hsa:229%09red/hsa:5295%09red/hsa:5296%09red/hsa:4878%09red/hsa:816%09red/hsa:2872%09red/hsa:4790%09red/hsa:284%09red/hsa:7010%09red/hsa:3939%09red/hsa:207%09red
Downstream TCR signaling	Reactome	R-HSA-202424	18	96	3.50E-10	3.42E-09	PSMD4|RPN2|TEP1|TRAF6|PSMA1|CARD11|PSMD13|PSMD9|PIK3CA|RIPK2|PIK3R2|PIK3R1|NFKB1|PSMC1|PSMC4|PSMC5|PSMC6|IKBKG	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-202424
RNA Polymerase II Pre-transcription Events	Reactome	R-HSA-674695	17	84	3.85E-10	3.74E-09	GTF2E1|TAF2|TAF1|TCEB3|TBP|ERCC2|GTF2H5|GTF2H4|GTF2B|GTF2A1|GTF2A2|CDK7|CDK9|MNAT1|TCEA1|CCNH|GTF2H1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-674695
Fluid shear stress and atherosclerosis	KEGG PATHWAY	hsa05418	21	139	4.21E-10	4.07E-09	SRC|NCF1|TP53|ICAM1|CNP|CAV2|JUN|SUMO4|MAPK11|AKT1|PIK3CA|AKT3|PIK3R3|PIK3R2|PIK3R1|IKBKG|NFKB1|IL1B|CDH5|MAPK8|CAV1	http://www.genome.jp/kegg-bin/show_pathway?hsa05418/hsa:3553%09red/hsa:8517%09red/hsa:8503%09red/hsa:4880%09red/hsa:10000%09red/hsa:3383%09red/hsa:5290%09red/hsa:7157%09red/hsa:3725%09red/hsa:5295%09red/hsa:5296%09red/hsa:4790%09red/hsa:5599%09red/hsa:857%09red/hsa:387082%09red/hsa:5600%09red/hsa:6714%09red/hsa:653361%09red/hsa:207%09red/hsa:858%09red/hsa:1003%09red
ErbB signaling pathway	KEGG PATHWAY	hsa04012	17	85	4.52E-10	4.34E-09	SRC|SHC1|AKT1|PIK3CA|JUN|CAMK2B|PLCG2|STAT5A|AKT3|PIK3R3|PIK3R2|PIK3R1|CRK|MAPK1|MYC|MAPK8|STAT5B	http://www.genome.jp/kegg-bin/show_pathway?hsa04012/hsa:6776%09red/hsa:5336%09red/hsa:5594%09red/hsa:8503%09red/hsa:10000%09red/hsa:6777%09red/hsa:5290%09red/hsa:1398%09red/hsa:3725%09red/hsa:5295%09red/hsa:5296%09red/hsa:816%09red/hsa:5599%09red/hsa:6714%09red/hsa:4609%09red/hsa:6464%09red/hsa:207%09red
VEGF signaling pathway	PANTHER	P00056	15	62	4.92E-10	4.70E-09	PRKCH|SPHK2|PIK3CA|HSPB1|PRKCE|PIK3R3|PLCG2|SH2D2A|MAPK1|AKT1|PIK3R2|PIK3R1|TGFB1I1|PRKD1|ETS1	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00056
Colorectal cancer	KEGG PATHWAY	hsa05210	17	86	5.29E-10	5.03E-09	TCF4|TGFB2|TP53|RALGDS|AKT1|PIK3CA|JUN|APPL1|AKT3|PIK3R3|PIK3R2|PIK3R1|MAPK1|MYC|MAPK8|RALA|TGFBR2	http://www.genome.jp/kegg-bin/show_pathway?hsa05210/hsa:5900%09red/hsa:5594%09red/hsa:8503%09red/hsa:26060%09red/hsa:10000%09red/hsa:5290%09red/hsa:7157%09red/hsa:3725%09red/hsa:7042%09red/hsa:5295%09red/hsa:5296%09red/hsa:5599%09red/hsa:5898%09red/hsa:4609%09red/hsa:207%09red/hsa:6934%09red/hsa:7048%09red
Activation of the pre-replicative complex	Reactome	R-HSA-68962	12	33	5.62E-10	5.31E-09	POLA1|MCM10|CDT1|MCM3|MCM7|MCM6|MCM5|PRIM1|MCM2|GMNN|DBF4|CDC6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-68962
Autophagy - animal	KEGG PATHWAY	hsa04140	20	128	6.48E-10	6.06E-09	IGF1R|TEP1|TRAF6|CFLAR|PPP2CA|EIF2S1|HMGB1|MRAS|IRS2|RRAS|AKT1|AKT3|PIK3R3|PIK3R2|PIK3R1|PIK3CA|MAPK1|MAPK8|TSC2|NRBF2	http://www.genome.jp/kegg-bin/show_pathway?hsa04140/hsa:8837%09red/hsa:5594%09red/hsa:8503%09red/hsa:7189%09red/hsa:10000%09red/hsa:5290%09red/hsa:3146%09red/hsa:5515%09red/hsa:3480%09red/hsa:7249%09red/hsa:5295%09red/hsa:5296%09red/hsa:8660%09red/hsa:5728%09red/hsa:6237%09red/hsa:1965%09red/hsa:5599%09red/hsa:22808%09red/hsa:207%09red/hsa:29982%09red
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	Reactome	R-HSA-198933	20	128	6.48E-10	6.06E-09	SELL|OSCAR|KLRD1|PILRA|CD81|NCR3|CD33|KIR2DS2|TREM2|MTCP1|KIR2DL3|CD300LF|TYROBP|LAIR1|ICAM1|SIGLEC11|CD8A|TREM1|CD226|CD19	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-198933
SUMOylation of transcription cofactors	Reactome	R-HSA-3899300	13	43	7.07E-10	6.58E-09	UBE2I|DAXX|NCOA1|PARK7|PPARGC1A|DDX5|PIAS1|PHC1|PHC2|CTBP1|SIN3A|CREBBP|TOPORS	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3899300
Interleukin-1 signaling	Reactome	R-HSA-9020702	18	101	7.19E-10	6.66E-09	PSMD4|RPN2|PSMD9|TRAF6|PSMA1|HMGB1|IRAK3|MAP3K8|PSMD13|RIPK2|IKBKG|NFKB1|PSMC1|IL1B|MYD88|PSMC4|PSMC5|PSMC6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9020702
Endocytosis	KEGG PATHWAY	hsa04144	27	244	8.18E-10	7.53E-09	SNX3|SNX6|TGFBR2|CHMP4B|CHMP4C|CLTA|ARRB1|CAV2|CAV1|ARAP1|SH3GL1|GRK5|NEDD4|PARD6A|VTA1|PIP5KL1|SRC|IGF1R|TRAF6|VPS4B|CYTH1|CHMP1B|CYTH3|IL2RA|IL2RB|PIP5K1B|NEDD4L	http://www.genome.jp/kegg-bin/show_pathway?hsa04144/hsa:8395%09red/hsa:408%09red/hsa:3560%09red/hsa:3480%09red/hsa:1211%09red/hsa:138429%09red/hsa:50855%09red/hsa:9525%09red/hsa:2869%09red/hsa:7189%09red/hsa:4734%09red/hsa:128866%09red/hsa:8724%09red/hsa:9265%09red/hsa:9267%09red/hsa:3559%09red/hsa:57132%09red/hsa:6714%09red/hsa:51534%09red/hsa:858%09red/hsa:23327%09red/hsa:116985%09red/hsa:92421%09red/hsa:58533%09red/hsa:7048%09red/hsa:6455%09red/hsa:857%09red
Interleukin-2 family signaling	Reactome	R-HSA-451927	13	44	8.95E-10	8.20E-09	IL2RA|IL2RB|SHC1|PIK3CA|GAB2|IL15|STAT5B|STAT5A|PIK3R3|PIK3R2|PIK3R1|IL15RA|PTPN6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-451927
FGF signaling pathway	PANTHER	P00021	18	103	9.50E-10	8.63E-09	PRKCH|SHC1|AKT1|PPP2CA|PPP2R2A|PRKCE|GRAP|SFN|PLCG2|AKT3|MAPK11|PIK3CA|SPRY4|PPP2R5D|MAPK1|MAPK8|PTPN6|PPP2R5C	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00021
Mitotic Anaphase	Reactome	R-HSA-68882	24	194	9.52E-10	8.63E-09	RPN2|TUBA8|PSMD9|PSMD4|ITGB3BP|MAD2L1|NDE1|MAD1L1|TUBA1A|PSMA1|CDCA5|PSMC1|DLC1|PSMC5|PSMC6|VRK1|KIF18A|PPP2R2A|PAFAH1B1|PPP2CA|PSMC4|PSMD13|PPP2R5D|PPP2R5C	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-68882
Transcriptional Regulation by E2F6	Reactome	R-HSA-8953750	12	35	9.76E-10	8.80E-09	BRCA1|E2F6|E2F1|RBBP7|RBBP4|EZH2|PHC1|EED|RYBP|CBX5|EPC1|CHEK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8953750
Mitotic Metaphase and Anaphase	Reactome	R-HSA-2555396	24	195	1.04E-09	9.38E-09	RPN2|TUBA8|PSMD9|PSMD4|ITGB3BP|MAD2L1|NDE1|MAD1L1|TUBA1A|PSMA1|CDCA5|PSMC1|DLC1|PSMC5|PSMC6|VRK1|KIF18A|PPP2R2A|PAFAH1B1|PPP2CA|PSMC4|PSMD13|PPP2R5D|PPP2R5C	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2555396
