ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:1901987	regulation of cell cycle phase transition	68/982	478/18862	3.62E-14	9.62E-12	5.82E-12	2810/6790/2146/4085/6659/990/113130/4582/1111/79184/92421/81620/10926/11200/10733/1031/5710/8379/55722/672/5700/995/51499/51451/7157/1869/5704/5706/9587/5682/5705/2068/9577/1453/207/11073/54820/8883/5719/6872/1874/7015/8555/63967/6496/8328/4303/8556/51720/5715/5777/25942/5048/3275/25793/9525/6868/26060/8452/5311/7846/7175/5087/5577/5325/1843/57520/2273	68
BP	GO:0048545	response to steroid hormone	54/982	330/18862	5.55E-14	1.41E-11	8.51E-12	2706/3065/56937/1789/10076/11315/672/6597/5931/865/2104/790/8626/2101/5245/1616/10013/4654/6714/6422/23558/9063/7110/9611/3146/1373/552/6256/3275/1408/23411/27086/7042/1407/133522/57658/1655/8648/8837/2022/4734/2308/6338/6340/7048/1490/23462/1843/3383/7538/8013/6943/857/2354	54
BP	GO:0007159	leukocyte cell-cell adhesion	57/982	366/18862	9.66E-14	2.34E-11	1.42E-11	1803/6659/50512/3559/8379/54900/51043/7001/9231/865/207/1949/84433/9466/6714/6693/119/7189/6777/9402/975/5777/3146/1947/10318/7535/8767/1845/4478/7805/80762/3566/5290/10326/864/5295/1051/55824/604/2131/1604/3600/5788/7048/6402/6387/3553/2534/10288/2113/3383/1326/3575/8013/4973/7704/857	57
BP	GO:0044839	cell cycle G2/M phase transition	48/982	276/18862	1.39E-13	3.23E-11	1.96E-11	9833/6790/890/990/1111/79184/92421/11200/10733/5710/4331/55722/672/5700/995/1022/51451/26233/7157/6873/5704/5706/5682/5705/9577/1453/11073/54820/8883/10657/5719/8555/9133/63967/4303/51720/5715/25942/902/5048/5520/9525/22822/7846/8493/5087/5577/2273	48
BP	GO:0071383	cellular response to steroid hormone stimulus	40/982	201/18862	1.71E-13	3.81E-11	2.31E-11	2706/3065/56937/1789/11315/672/6597/865/2104/8626/2101/5245/1616/10013/4654/6714/6422/23558/9063/7110/9611/6256/3275/1408/23411/27086/1407/133522/57658/1655/8837/4734/2308/6338/6340/23462/3383/7538/8013/6943	40
BP	GO:0009755	hormone-mediated signaling pathway	39/982	193/18862	2.05E-13	4.40E-11	2.66E-11	3065/56937/11315/672/6597/865/2104/51094/8626/2101/5245/1616/10013/5618/6714/7067/6422/23558/9063/7110/9611/2965/6256/3275/26060/1408/23411/27086/1407/133522/57658/1655/7068/8648/2494/4734/5468/8013/6943	39
BP	GO:0070661	leukocyte proliferation	51/982	312/18862	2.94E-13	6.07E-11	3.67E-11	6664/973/54209/930/3559/1380/8379/7157/51043/7001/9231/84433/54361/9466/54106/246778/640/6693/7189/6777/958/975/5777/3146/1947/7535/8767/5594/4615/4478/80762/695/8660/23228/1051/604/1604/7305/3600/683/3815/5788/4883/7048/7099/3553/2534/10288/7128/3575/90865	51
BP	GO:0033044	regulation of chromosome organization	47/982	273/18862	3.68E-13	7.32E-11	4.43E-11	7153/4171/4085/990/113130/4582/908/81620/1789/1786/8379/4331/672/22948/545/51451/7157/23381/51043/8473/9587/6598/2072/10574/10856/1487/6047/6714/56848/10664/23293/5587/23558/1025/25942/5594/8452/23411/7175/10891/604/122953/3553/1843/408/4609/57520	47
BP	GO:0071901	negative regulation of protein serine/threonine kinase activity	33/982	145/18862	4.50E-13	8.41E-11	5.09E-11	2810/6423/3315/1031/2873/124790/1852/54900/207/4878/6422/5777/5998/25793/1849/1845/10614/23411/51763/5515/7026/81848/1844/10019/11213/8850/5577/8692/3553/1843/54922/7128/857	33
BP	GO:0062197	cellular response to chemical stress	54/982	347/18862	4.52E-13	8.41E-11	5.09E-11	2706/9833/2146/890/362/3315/50507/1789/2882/2539/11315/10280/10131/4841/7157/54929/7001/207/387082/90441/10587/10013/55290/6714/5478/2547/1965/5587/2241/25942/558/5599/25793/5594/1398/23411/695/5290/5311/133522/10891/8837/653361/3725/2308/4170/355/7099/2534/5468/2113/7128/8013/857	54
BP	GO:0002429	immune response-activating cell surface receptor signaling pathway	66/982	481/18862	4.84E-13	8.44E-11	5.11E-11	4582/973/930/1380/5710/5700/54900/5296/5079/5704/5706/8891/5682/5705/865/84433/10657/10616/8517/5719/6714/55072/640/1387/259197/7189/9402/7462/5581/975/5715/5777/5894/10458/5144/10666/1997/4790/7535/8767/5594/1845/26060/1398/7805/7294/695/27086/5290/5336/23228/50856/3937/5295/5906/100132285/55824/84106/5583/7305/3702/919/5788/2534/3824/8013	66
BP	GO:0002757	immune response-activating signal transduction	66/982	481/18862	4.84E-13	8.44E-11	5.11E-11	4582/973/930/1380/5710/5700/54900/5296/5079/5704/5706/8891/5682/5705/865/84433/10657/10616/8517/5719/6714/55072/640/1387/259197/7189/9402/7462/5581/975/5715/5777/5894/10458/5144/10666/1997/4790/7535/8767/5594/1845/26060/1398/7805/7294/695/27086/5290/5336/23228/50856/3937/5295/5906/100132285/55824/84106/5583/7305/3702/919/5788/2534/3824/8013	66
BP	GO:0022407	regulation of cell-cell adhesion	62/982	437/18862	5.71E-13	9.65E-11	5.84E-11	1803/6659/2049/10076/3559/8379/1952/54900/51043/7001/9231/865/207/1949/84433/54361/9466/1041/6714/640/6693/7189/6777/9402/975/5777/3146/1947/114897/7535/8767/1845/7805/80762/3566/5329/5290/10326/864/5295/1051/55824/604/10019/1604/10370/3600/10272/5788/7048/6387/3553/2534/5420/10288/2113/3383/1326/3575/8013/7704/857	62
BP	GO:1903706	regulation of hemopoiesis	60/982	415/18862	5.99E-13	9.82E-11	5.94E-11	6659/3065/54209/3559/3313/51043/7001/865/3218/84433/161882/54106/246778/2547/1387/8328/6422/7189/6777/3204/5777/3146/25942/639/558/7535/8767/25793/9935/51621/80762/3566/695/27086/7098/6688/2624/133522/864/5295/1051/604/3725/7305/3600/8850/7071/2621/10272/5788/7048/7099/10288/2113/4609/3575/3202/7538/8013/7704	60
BP	GO:0000075	cell cycle checkpoint	40/982	209/18862	6.46E-13	1.03E-10	6.21E-11	2810/6790/4085/6659/990/4582/1111/79184/92421/6664/81620/83990/11200/8914/8379/54962/57646/672/995/51499/545/51451/7157/1869/3014/9587/9577/11073/8883/1874/8555/63967/4303/51720/51322/1407/10116/7175/5325/1843	40
BP	GO:0031349	positive regulation of defense response	55/982	361/18862	6.63E-13	1.03E-10	6.21E-11	4321/4582/7941/54209/5710/11315/4841/5700/5704/5706/5682/5705/84433/4862/54106/8517/5719/6714/2547/1387/259197/7189/6777/975/5715/5894/3146/25942/10318/10666/57506/4790/8767/10614/7294/695/7098/5336/50856/100132285/1051/85480/7305/3600/2697/8692/7099/3553/2534/51311/2113/3824/9173/5743/90865	55
BP	GO:1901990	regulation of mitotic cell cycle phase transition	62/982	439/18862	7.01E-13	1.06E-10	6.39E-11	2810/6790/2146/4085/6659/990/113130/4582/1111/92421/81620/11200/10733/1031/5710/8379/55722/672/5700/995/51499/51451/7157/1869/5704/5706/9587/5682/5705/2068/1453/207/11073/54820/8883/5719/1874/7015/8555/63967/8328/4303/8556/5715/5777/25942/5048/3275/25793/9525/6868/26060/8452/5311/7846/7175/5087/5577/5325/1843/57520/2273	62
BP	GO:1902105	regulation of leukocyte differentiation	47/982	279/18862	8.33E-13	1.22E-10	7.39E-11	6659/54209/3559/51043/7001/865/84433/161882/54106/246778/2547/6422/7189/6777/3204/5777/3146/639/558/7535/8767/25793/9935/80762/3566/695/27086/7098/2624/133522/864/5295/1051/604/3725/7305/3600/7071/2621/10272/5788/7048/7099/10288/4609/3575/7704	47
BP	GO:0050867	positive regulation of cell activation	59/982	412/18862	1.42E-12	2.01E-10	1.22E-10	1803/6659/54209/3559/26762/51043/865/207/1949/84433/9466/54106/6714/56848/2547/7189/6777/9402/958/975/5777/3146/1947/10666/8741/558/7535/8767/4615/3566/695/5290/2624/8660/10326/864/5295/604/1604/85480/9846/7305/3600/2621/683/5788/7048/7099/1490/3553/2534/10288/1326/3575/8013/9173/90865/7704/857	59
BP	GO:0002696	positive regulation of leukocyte activation	58/982	401/18862	1.45E-12	2.01E-10	1.22E-10	1803/6659/54209/3559/26762/51043/865/207/1949/84433/9466/54106/6714/56848/2547/7189/6777/9402/958/975/5777/3146/1947/10666/8741/558/7535/8767/4615/3566/695/5290/2624/8660/10326/864/5295/604/1604/85480/9846/7305/3600/2621/683/5788/7048/7099/3553/2534/10288/1326/3575/8013/9173/90865/7704/857	58
BP	GO:0030098	lymphocyte differentiation	54/982	358/18862	1.62E-12	2.17E-10	1.32E-10	2146/6659/973/930/3559/1380/8326/7157/51043/7001/865/84433/54361/6929/161882/54106/246778/2547/6693/6422/10014/6777/5777/3146/7528/639/558/7535/8767/25793/9935/6868/6095/80762/3566/695/27086/6688/5336/925/23228/864/5295/604/3600/3702/2621/3815/5788/7048/3553/10288/3575/7704	54
BP	GO:0018108	peptidyl-tyrosine phosphorylation	55/982	369/18862	1.64E-12	2.17E-10	1.32E-10	9833/6423/2049/4486/50507/54209/7157/6464/58533/25998/1795/8576/5979/7297/5618/6714/133396/640/2915/6422/4916/2241/958/5581/975/5777/56940/2051/558/7535/8767/3480/6868/7294/695/5515/653361/10019/85480/3600/3702/2621/683/3815/5788/7075/8692/2534/9467/3383/7010/284/2202/2690/857	55
BP	GO:0000082	G1/S transition of mitotic cell cycle	46/982	275/18862	1.89E-12	2.45E-10	1.48E-10	2810/6790/2146/4171/51053/6659/990/4582/81620/10926/11200/55388/1871/1031/4172/4331/5557/4174/995/1022/51499/4176/7157/4175/1876/1869/207/5422/10657/1874/7015/8328/5777/902/3275/25793/8900/6868/26060/8452/5311/8462/8554/5325/4609/2273	46
BP	GO:0018212	peptidyl-tyrosine modification	55/982	372/18862	2.28E-12	2.89E-10	1.75E-10	9833/6423/2049/4486/50507/54209/7157/6464/58533/25998/1795/8576/5979/7297/5618/6714/133396/640/2915/6422/4916/2241/958/5581/975/5777/56940/2051/558/7535/8767/3480/6868/7294/695/5515/653361/10019/85480/3600/3702/2621/683/3815/5788/7075/8692/2534/9467/3383/7010/284/2202/2690/857	55
BP	GO:0044843	cell cycle G1/S phase transition	48/982	298/18862	2.57E-12	3.19E-10	1.93E-10	2810/6790/2146/4171/890/51053/6659/990/4582/81620/10926/11200/55388/1871/1031/4172/4331/5557/4174/995/1022/51499/4176/7157/4175/1876/1869/207/5422/10657/6872/1874/7015/8328/5777/902/3275/25793/8900/6868/26060/8452/5311/8462/8554/5325/4609/2273	48
BP	GO:1901988	negative regulation of cell cycle phase transition	45/982	268/18862	2.88E-12	3.49E-10	2.11E-10	2810/6790/2146/4085/6659/990/4582/1111/79184/92421/81620/11200/1031/5710/8379/672/5700/995/51499/51451/7157/1869/5704/5706/9587/5682/5705/9577/11073/8883/5719/1874/8555/63967/8328/4303/51720/5715/3275/25793/5311/7175/5325/1843/2273	45
BP	GO:0045930	negative regulation of mitotic cell cycle	50/982	321/18862	3.26E-12	3.86E-10	2.34E-10	2810/2191/6790/2146/4085/6659/990/4582/1111/92421/81620/11200/1031/5710/8379/54962/672/5700/995/51499/51451/7157/5774/1869/5704/5706/9587/5682/5705/11073/8883/5719/1874/8555/54998/63967/8328/4303/8556/5715/146691/3275/25793/5311/7175/694/604/5325/1843/2273	50
BP	GO:0030111	regulation of Wnt signaling pathway	54/982	365/18862	3.53E-12	4.10E-10	2.48E-10	6662/6423/6659/3065/10076/5710/1749/6597/90410/5700/8607/440193/8326/10042/5704/5706/4188/5682/5705/865/1453/5499/10856/1855/7249/5719/4776/6714/7015/6299/7415/6422/5204/25876/8724/5715/7088/6497/7074/64359/4790/7089/54764/166/8452/1540/3090/5515/27122/7091/23499/3489/7128/857	54
BP	GO:0050851	antigen receptor-mediated signaling pathway	50/982	323/18862	4.13E-12	4.70E-10	2.84E-10	973/930/5710/5700/54900/5296/5079/5704/5706/8891/5682/5705/865/84433/10657/10616/8517/5719/55072/640/7189/9402/7462/975/5715/5777/5144/10666/1997/4790/7535/8767/5594/1845/7805/7294/695/27086/5290/5336/23228/3937/5295/55824/84106/5583/3702/919/5788/2534	50
BP	GO:0045785	positive regulation of cell adhesion	59/982	425/18862	5.32E-12	5.93E-10	3.59E-10	10551/1803/6423/6659/10076/3559/51043/708/865/207/1949/84433/54361/5979/9466/6714/9265/6422/7189/6777/9402/5581/975/5777/3146/1947/7535/8767/1398/3566/5329/7042/5290/10326/864/5295/7402/604/1604/10370/3600/10272/5788/7048/6387/3553/2534/5420/10288/6237/2113/3383/1326/3575/7010/8013/284/7704/857	59
BP	GO:0050852	T cell receptor signaling pathway	38/982	204/18862	5.80E-12	6.34E-10	3.84E-10	5710/5700/5296/5704/5706/8891/5682/5705/84433/10657/10616/8517/5719/55072/7189/9402/975/5715/5777/5144/10666/4790/7535/8767/5594/1845/7805/7294/5290/5336/3937/5295/55824/84106/3702/919/5788/2534	38
BP	GO:0042110	T cell activation	63/982	474/18862	6.85E-12	7.34E-10	4.44E-10	1803/6659/3559/8379/54900/7157/27240/51043/7001/9231/865/207/1949/84433/54361/161882/9466/246778/6714/6693/7189/6777/9402/975/5777/3146/1947/639/924/7535/8767/1845/4478/9935/6868/6095/7805/80762/3566/27086/5290/925/10326/50856/864/5295/1051/55824/604/1604/3600/3702/3815/5788/7048/3553/2534/10288/3383/1326/3575/7704/857	63
BP	GO:0043405	regulation of MAP kinase activity	48/982	307/18862	7.74E-12	8.14E-10	4.93E-10	2146/6423/4486/2873/1852/54900/6464/7001/7161/4878/5979/1616/54106/8517/6714/5478/6422/7189/5600/4916/958/975/5777/8682/28951/5998/7074/8767/1849/5594/1845/3480/51763/5515/81848/1844/10019/11213/3815/5788/3489/8692/7099/3553/1843/408/2690/857	48
BP	GO:0043401	steroid hormone mediated signaling pathway	30/982	134/18862	8.13E-12	8.39E-10	5.08E-10	3065/56937/11315/672/6597/865/2104/8626/2101/5245/1616/10013/6714/6422/23558/9063/7110/9611/6256/3275/1408/23411/27086/1407/133522/57658/1655/4734/8013/6943	30
BP	GO:0071214	cellular response to abiotic stimulus	50/982	330/18862	9.28E-12	9.08E-10	5.50E-10	6662/6423/362/1111/50507/11200/57646/51499/545/7157/3014/54929/207/2072/10856/6872/4776/2547/1387/6422/22927/1965/958/57192/552/7528/4790/7507/5599/4615/404672/1408/54407/23411/5290/7098/1407/10988/5311/5295/3759/2022/4734/355/2697/8692/7099/3553/51311/4609	50
BP	GO:0104004	cellular response to environmental stimulus	50/982	330/18862	9.28E-12	9.08E-10	5.50E-10	6662/6423/362/1111/50507/11200/57646/51499/545/7157/3014/54929/207/2072/10856/6872/4776/2547/1387/6422/22927/1965/958/57192/552/7528/4790/7507/5599/4615/404672/1408/54407/23411/5290/7098/1407/10988/5311/5295/3759/2022/4734/355/2697/8692/7099/3553/51311/4609	50
BP	GO:1903037	regulation of leukocyte cell-cell adhesion	50/982	330/18862	9.28E-12	9.08E-10	5.50E-10	1803/6659/3559/8379/54900/51043/7001/9231/865/207/1949/84433/9466/6714/6693/7189/6777/9402/975/5777/3146/1947/7535/8767/1845/7805/80762/3566/5290/10326/864/5295/1051/55824/604/1604/3600/5788/7048/6387/3553/2534/10288/2113/3383/1326/3575/8013/7704/857	50
BP	GO:0002831	regulation of response to biotic stimulus	58/982	420/18862	1.01E-11	9.66E-10	5.85E-10	4321/4582/54209/3559/5710/4841/5700/708/5704/5706/7001/5682/5705/84433/3455/8517/5719/54476/246778/10906/6714/2547/1387/259197/10758/7189/6777/55646/329/5715/5777/5894/3146/25942/10666/7376/57506/4790/8767/10614/26060/1398/7294/27086/5336/50856/100132285/1604/8554/11213/7305/3600/7099/2534/5468/51311/7128/3824	58
BP	GO:0034599	cellular response to oxidative stress	47/982	299/18862	1.06E-11	9.99E-10	6.05E-10	2706/9833/2146/890/3315/50507/2882/2539/11315/10280/10131/4841/7157/54929/7001/207/387082/90441/10587/10013/55290/6714/5478/1965/5587/2241/25942/558/5599/25793/5594/1398/23411/695/5311/133522/10891/8837/653361/3725/2308/4170/7099/2534/2113/7128/8013	47
BP	GO:0000086	G2/M transition of mitotic cell cycle	43/982	258/18862	1.14E-11	1.06E-09	6.39E-10	9833/6790/890/990/1111/92421/11200/10733/5710/4331/55722/672/5700/995/1022/51451/26233/6873/5704/5706/5682/5705/1453/11073/54820/8883/10657/5719/9133/63967/4303/5715/25942/902/5048/5520/9525/22822/7846/8493/5087/5577/2273	43
BP	GO:0043409	negative regulation of MAPK cascade	35/982	181/18862	1.32E-11	1.21E-09	7.32E-10	6423/2873/1852/54900/5296/8841/207/5245/4878/5478/6422/9611/5777/10318/5998/1849/1845/3480/1540/51763/5515/81848/1844/10019/11213/2308/5788/8692/7099/3553/55450/1843/408/4609/857	35
BP	GO:0071824	protein-DNA complex subunit organization	45/982	281/18862	1.53E-11	1.38E-09	8.34E-10	6662/4171/51053/11339/81620/3159/4172/23421/4331/2968/6597/5931/4174/1022/8607/4176/7157/4175/5704/5706/3014/10467/6598/5705/2068/5928/2960/1616/6872/55290/6047/10664/7067/6908/2965/3146/902/2958/2959/7507/404672/23493/8554/6925/4609	45
BP	GO:0046651	lymphocyte proliferation	45/982	282/18862	1.73E-11	1.54E-09	9.29E-10	6664/973/930/3559/1380/8379/7157/51043/7001/9231/84433/54361/9466/54106/246778/640/6693/7189/6777/958/975/5777/3146/1947/7535/8767/4615/4478/80762/695/8660/23228/1051/604/1604/7305/3600/683/5788/7048/7099/3553/2534/10288/3575	45
BP	GO:0031570	DNA integrity checkpoint	32/982	156/18862	1.96E-11	1.70E-09	1.03E-09	2810/6790/6659/990/4582/1111/79184/81620/83990/11200/8914/54962/57646/672/995/51499/545/7157/1869/3014/9577/11073/8883/1874/8555/63967/4303/51720/51322/1407/10116/5325	32
BP	GO:0045088	regulation of innate immune response	48/982	315/18862	1.98E-11	1.70E-09	1.03E-09	4321/4582/54209/5710/4841/5700/5704/5706/5682/5705/84433/3455/8517/5719/10906/6714/2547/1387/259197/7189/6777/55646/329/5715/5777/5894/3146/25942/10666/7376/57506/4790/10614/26060/1398/7294/5336/50856/100132285/8554/11213/7305/7099/2534/5468/51311/7128/3824	48
