ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0007254	JNK cascade	75/1983	189/18862	5.59E-26	3.07E-23	1.72E-23	3654/4221/7164/2873/1852/8600/222643/3265/10987/4878/136/2950/1956/4293/51135/7477/23236/11221/1399/3480/7334/7188/9175/8841/1616/54106/9479/4294/10913/5609/846/7316/959/5911/2874/1845/5601/4296/10771/207/2185/10912/2122/9064/7314/9611/7189/56940/7786/6416/5602/10392/4217/26191/6850/3301/2324/9043/260425/8737/2889/140885/1540/57630/344558/10125/4615/653361/7099/10044/3553/7098/9770/9459/4616	75
GO:0043406	positive regulation of MAP kinase activity	82/1983	230/18862	1.37E-24	6.88E-22	3.85E-22	983/100133941/3654/7164/11235/1852/7422/8600/6464/7001/1856/3265/5979/1950/136/5063/84231/1956/4293/8792/1399/7161/1432/5605/7334/3643/9175/5478/1616/54106/5148/1445/2914/4294/5609/238/6714/2911/5663/7316/10818/959/5595/2260/2322/4916/4296/9294/51196/25759/1849/2185/10912/9064/7314/7074/2321/7189/7786/6416/5159/5294/23533/5602/8817/10392/4217/6850/1847/9043/8737/1902/8322/10125/3815/7099/1848/2247/3553/4616/2690/6283	82
GO:1901653	cellular response to peptide	113/1983	391/18862	1.95E-24	9.04E-22	5.05E-22	890/990/1373/83990/2058/1019/8914/6599/10890/328/376267/6464/5747/5296/688/3667/79837/2950/23641/7157/58533/3952/197/2931/6198/988/3480/10603/525/3643/27131/2915/1445/7471/8471/5786/2529/2740/3718/534/2875/7253/6714/6548/815/208/846/5458/5663/4035/4303/26060/4690/537/207/10014/88/8992/529/9475/490/5305/5286/2241/6774/5908/8503/4641/5621/10392/26191/112/8462/8412/55625/2308/3676/5579/1398/23235/4067/9114/6778/113/5140/2549/5295/2697/3717/5580/896/6776/9021/4790/3164/837/2534/54209/7099/5588/5590/3553/3383/760/9365/8835/858/2690/5468/9314/185/948/154	113
GO:0042326	negative regulation of phosphorylation	114/1983	407/18862	2.13E-23	9.20E-21	5.14E-21	891/7291/7345/54541/7070/10105/23624/64754/4221/1846/54900/2873/10959/1852/836/5999/1031/6895/22843/124790/5062/5753/94032/56288/26973/5570/578/4878/79837/2950/58533/5528/197/581/11221/1399/3480/8655/11329/5478/80279/23770/10636/10935/1445/3843/9479/4137/4763/4771/2475/5465/5795/5663/6546/6547/5925/2874/9655/4916/1845/2675/4690/207/1849/80824/9611/10614/5305/56940/91662/9759/5621/26191/5525/3301/9647/1847/9043/5998/140885/4067/10891/161742/7026/84919/1028/84959/5580/1030/9021/11213/1050/5777/5569/54922/409/1026/5783/2776/11142/1843/1848/10253/9467/5590/10019/3553/81848/9770/9104/55450/284/5787	114
GO:0006352	"DNA-templated transcription, initiation"	84/1983	249/18862	2.64E-23	1.06E-20	5.93E-21	891/983/7291/1019/6662/9015/10849/5704/4331/5439/8148/5440/84246/2961/3174/9519/55290/5469/4878/1024/7157/1022/2967/6597/2068/581/4854/170506/6883/2063/865/860/2975/9282/6927/2071/7343/892/8463/23054/8856/6872/2649/11176/2972/3172/5915/5465/10002/2099/6257/2103/1387/9774/5595/9441/7067/404672/9013/29982/5914/6096/6258/8431/6928/6256/6095/902/2494/7376/10413/8493/10891/56998/84441/2908/3164/7068/5241/1026/284119/7025/5468/4306	84
GO:0050730	regulation of peptidyl-tyrosine phosphorylation	85/1983	262/18862	2.78E-22	1.05E-19	5.85E-20	54892/100133941/7070/7804/50507/23624/55620/7422/3066/6464/1741/5062/5753/2045/1856/1950/1956/7157/58533/3952/1795/133396/29883/5912/388585/2253/2915/2623/134/10188/2056/3596/4771/2475/6714/3565/3690/5795/5663/7006/9655/2322/1489/5008/8829/2185/6886/56940/6774/5621/6850/85480/2066/8764/1436/685/4067/2069/3600/3717/3678/5580/3976/3606/9021/5777/2534/653361/3689/54209/409/4739/3815/3574/9467/2621/5590/10019/1440/5175/3383/284/2690/948/3569	85
GO:0018105	peptidyl-serine phosphorylation	94/1983	310/18862	3.86E-22	1.37E-19	7.66E-20	891/6790/983/54541/9212/11200/7443/64754/8851/11235/7422/6199/7444/5062/3326/7295/5979/9641/578/3320/545/8115/1956/6733/2931/6198/581/1017/53944/2011/1432/6300/5605/11329/51701/9175/9024/10013/4294/596/27330/6872/9623/9149/2056/2475/83983/64324/6714/8986/5578/23617/815/208/8658/84446/5595/817/4916/6789/5601/673/10000/5008/85456/8536/4690/207/204851/9475/7786/2872/6850/9647/8412/5894/8737/5579/23228/5587/5583/5580/3976/409/10253/5588/2621/5590/10044/9770/1440/6505/284/3569	94
GO:0051348	negative regulation of transferase activity	91/1983	296/18862	6.23E-22	2.09E-19	1.17E-19	7345/7070/23624/64754/4221/1846/54900/2873/1852/836/5999/1031/6895/22843/124790/5062/5753/94032/26973/5570/4878/79837/2950/7157/58533/29085/197/2931/11221/3480/3984/11329/5478/80279/10636/10935/1445/3843/9479/4137/4763/4771/6714/5795/5663/6546/6547/5925/2874/9655/1845/4690/207/1849/80824/10614/5305/56940/26191/5525/3301/9647/1847/5998/4067/161742/7026/1028/84959/5580/1030/9021/11213/1050/5777/5569/54922/1026/2776/11142/1843/1848/10253/9467/10019/3553/81848/9104/55450/5468/5787	91
GO:0006367	transcription initiation from RNA polymerase II promoter	69/1983	187/18862	7.18E-22	2.24E-19	1.25E-19	891/983/1019/6662/5704/4331/5439/8148/5440/84246/2961/3174/5469/4878/1024/7157/1022/2967/2068/581/4854/170506/6883/2063/865/860/9282/6927/2071/892/8463/8856/6872/2649/3172/5915/5465/10002/2099/6257/2103/1387/9441/7067/404672/29982/5914/6096/6258/8431/6928/6256/6095/902/2494/7376/10413/8493/10891/56998/84441/2908/3164/7068/5241/1026/7025/5468/4306	69
GO:0043434	response to peptide hormone	116/1983	435/18862	7.41E-22	2.24E-19	1.25E-19	890/990/1373/83990/2058/1019/27101/6772/6599/2806/10890/328/376267/6464/5747/8892/682/5296/3667/79837/2950/3952/197/2931/6198/2650/988/3480/10603/8890/525/3643/27131/7054/1445/7471/6773/8471/5786/2529/2740/3718/534/2875/2475/7352/7253/6714/5465/6548/815/6569/208/5458/4303/5009/26060/4690/7079/537/207/10014/88/8992/529/9475/490/5305/5286/2241/6774/5908/8503/4641/112/8412/55625/2308/5579/1398/23235/4067/9114/6778/113/2069/1536/5140/2549/5295/2697/3717/5580/896/6776/9021/4790/1407/3164/2534/7097/1959/5588/5590/3553/7010/5350/3383/760/9365/8835/858/2690/5468/185/1910	116
GO:0051091	positive regulation of DNA-binding transcription factor activity	85/1983	266/18862	8.57E-22	2.46E-19	1.38E-19	3728/7804/3654/7422/8600/4760/8877/11331/54101/1856/10987/84433/6597/8792/6883/133746/55072/7334/7188/9175/5478/54106/10935/7471/6872/238/8986/63973/815/2099/7316/51341/959/57506/150372/2033/207/10014/10193/23586/7314/10475/7189/2241/6774/8321/60485/9759/10392/148022/6737/5530/8737/5579/133522/5587/10891/6280/8322/3717/5583/3606/11213/4790/7472/4615/3689/3815/6279/7099/7097/695/10346/5588/5590/8807/3553/7098/825/1440/3383/5468/6283/948/3569	85
GO:0033673	negative regulation of kinase activity	85/1983	267/18862	1.13E-21	3.10E-19	1.73E-19	7345/7070/23624/64754/4221/1846/54900/2873/1852/836/5999/1031/6895/22843/124790/5062/5753/94032/26973/5570/4878/79837/2950/58533/197/11221/3480/11329/5478/80279/10636/10935/1445/3843/9479/4137/4763/4771/5795/5663/6546/6547/5925/2874/9655/1845/4690/207/1849/80824/10614/5305/56940/26191/5525/3301/9647/1847/5998/4067/161742/7026/1028/84959/5580/1030/9021/11213/1050/5777/5569/54922/1026/2776/11142/1843/1848/10253/9467/10019/3553/81848/9104/55450/5787	85
GO:0070302	regulation of stress-activated protein kinase signaling cascade	68/1983	184/18862	1.29E-21	3.37E-19	1.89E-19	2305/4221/7164/11235/7422/8600/222643/8877/1739/3276/54910/3265/10987/4878/2950/1956/3952/7477/23236/11221/3480/4077/5605/7188/5478/8841/54106/9479/4294/10913/5911/2874/5595/1845/4296/10771/207/2185/10912/2122/9611/7189/56940/10392/4217/26191/3301/2324/7430/2308/4215/260425/8737/2889/140885/1540/57630/4067/344558/10125/4615/653361/7099/1843/3553/7098/9770/4616	68
GO:0032872	regulation of stress-activated MAPK cascade	67/1983	181/18862	2.30E-21	5.79E-19	3.24E-19	2305/4221/7164/11235/7422/8600/222643/8877/1739/3276/54910/3265/10987/4878/2950/1956/3952/7477/23236/11221/3480/4077/5605/7188/5478/8841/54106/9479/4294/10913/5911/2874/5595/1845/4296/10771/207/2185/10912/2122/9611/7189/56940/10392/4217/26191/3301/2324/7430/2308/4215/260425/8737/2889/140885/1540/57630/344558/10125/4615/653361/7099/1843/3553/7098/9770/4616	67
GO:0051222	positive regulation of protein transport	93/1983	312/18862	2.44E-21	5.88E-19	3.29E-19	1894/3728/8851/952/11235/9585/7534/5481/1869/8626/999/9141/3326/5296/3265/1956/7157/3952/29085/2931/10134/10971/5901/2010/55072/7161/8655/640/65220/1432/3208/5478/8841/56681/3843/596/3596/6714/208/846/2864/5663/9495/4035/57506/8736/7273/55929/64328/51160/3799/9919/8536/5108/9854/9531/7323/1128/8431/2181/4641/5621/2746/1263/7376/322/3002/7430/5208/2316/23368/5295/2697/3717/5880/6934/5580/2534/3689/54209/283/7424/945/7099/1080/7097/2621/5590/3553/10497/3684/4628/55450	93
GO:0001933	negative regulation of protein phosphorylation	102/1983	362/18862	2.92E-21	6.78E-19	3.79E-19	891/7291/7345/54541/7070/23624/64754/4221/1846/54900/2873/10959/1852/836/5999/1031/6895/22843/124790/5062/5753/94032/56288/26973/5570/578/4878/2950/58533/5528/581/11221/1399/3480/11329/5478/80279/23770/10636/3843/9479/4763/4771/2475/5795/5663/6546/6547/5925/2874/9655/4916/1845/2675/4690/207/1849/80824/10614/56940/91662/5621/26191/3301/9647/1847/9043/5998/140885/4067/10891/161742/7026/84919/1028/84959/5580/1030/9021/11213/1050/5777/5569/54922/409/1026/5783/2776/11142/1843/1848/10253/9467/5590/10019/3553/81848/9770/9104/55450/284/5787	102
GO:1903793	positive regulation of anion transport	122/1983	478/18862	3.49E-21	7.81E-19	4.37E-19	6696/1894/3728/9536/8851/952/11235/9585/7534/8600/5481/1869/8626/999/9141/3326/5296/8218/3265/3667/1956/7157/3952/29085/2931/10134/10971/5901/8792/2010/7015/242/55072/7161/8655/640/65220/1432/3208/2668/3643/5478/8841/56681/3843/134/596/3596/4923/6714/6569/208/846/5458/1588/2864/5663/9495/4035/57506/2874/8736/7273/55929/64328/8723/9255/51160/673/3799/9919/26060/8536/7110/207/5108/9854/9531/5906/7323/1128/8431/2181/4641/5621/2746/1263/7376/322/3002/7430/5208/4205/2316/23368/5295/4792/2697/3717/5880/6934/5580/2534/3689/54209/2719/283/7424/945/6279/7099/1080/7097/2621/5590/718/3553/10497/3684/4628/55450/760	122
GO:0043409	negative regulation of MAPK cascade	66/1983	181/18862	1.18E-20	2.54E-18	1.42E-18	2305/7345/9368/23624/4221/1846/54900/2873/1852/5999/1739/5716/5296/4878/2950/65268/11221/3480/10048/11329/5478/80279/8841/10636/1445/9479/27330/4763/4771/5795/2874/8661/1845/10771/207/1849/80824/2122/9611/26191/3301/1847/7430/2308/2889/5998/140885/1540/4067/161742/5037/5580/3976/11213/5777/7099/1843/1848/10253/57556/7078/10019/3553/81848/55450/9314	66
GO:0018209	peptidyl-serine modification	95/1983	333/18862	2.71E-20	5.64E-18	3.15E-18	891/6790/983/54541/9212/11200/7443/64754/8851/11235/7422/6199/7444/5062/3326/7295/5979/9641/578/3320/545/8115/1956/6733/50859/2931/6198/581/1017/53944/2011/1432/6300/5605/11329/51701/9175/9024/10013/4294/596/27330/6872/9623/9149/2056/2475/83983/64324/6714/8986/5578/23617/815/208/8658/84446/5595/817/4916/6789/5601/673/10000/5008/85456/8536/4690/207/204851/9475/7786/2872/6850/9647/8412/5894/8737/5579/23228/5587/5583/5580/3976/409/10253/5588/2621/5590/10044/9770/1440/6505/284/3569	95
GO:1904951	positive regulation of establishment of protein localization	94/1983	328/18862	3.05E-20	6.01E-18	3.36E-18	1894/3728/8851/952/11235/9585/7534/5481/1869/8626/999/9141/3326/5296/3265/1956/7157/3952/29085/2931/10134/10971/5901/2010/55072/7161/8655/640/65220/1432/3208/5478/8841/56681/3843/596/3596/6714/208/846/2864/5663/9495/4035/57506/8736/7273/55929/64328/51160/3799/9919/8536/5108/9854/9531/7323/1128/8431/2181/4641/5621/2746/1263/7376/322/3002/7430/5208/2316/23368/5295/2697/3717/5880/6934/5580/2534/10391/3689/54209/283/7424/945/7099/1080/7097/2621/5590/3553/10497/3684/4628/55450	94
GO:0006469	negative regulation of protein kinase activity	78/1983	243/18862	3.09E-20	6.01E-18	3.36E-18	7345/7070/23624/64754/4221/1846/54900/2873/1852/836/5999/1031/6895/22843/124790/5062/5753/94032/26973/5570/4878/2950/58533/11221/3480/11329/5478/80279/10636/3843/9479/4763/4771/5795/5663/6546/6547/5925/2874/9655/1845/4690/207/1849/80824/10614/56940/26191/3301/9647/1847/5998/4067/161742/7026/1028/84959/5580/1030/9021/11213/1050/5777/5569/54922/1026/2776/11142/1843/1848/10253/9467/10019/3553/81848/9104/55450/5787	78
GO:0051098	regulation of binding	98/1983	357/18862	1.35E-19	2.54E-17	1.42E-17	6790/4318/4751/7291/81620/9212/3005/4221/10498/10856/8600/5457/3066/3148/1869/4760/3326/4188/7295/5499/1950/3673/1460/4488/119/9026/2068/581/5901/2011/7015/79139/54552/8751/489/4654/8664/488/2623/84893/6872/64324/6714/5465/5458/2035/8658/5663/51341/4035/5925/5595/6789/5914/8829/8536/2033/207/10014/7074/22927/6604/7189/26086/2625/7114/9759/5329/148022/118/6737/5530/3676/8864/1398/6588/23228/4792/6497/56998/3717/10763/6934/84959/5580/3976/9693/409/1026/3162/5350/1440/7122/284/5468/9314/6590/154	98
GO:0070371	ERK1 and ERK2 cascade	91/1983	320/18862	2.17E-19	3.97E-17	2.22E-17	6278/9368/6662/1846/1852/7534/8600/6464/1739/11331/2045/3685/3265/1950/84231/2950/1956/6354/3358/65268/8792/3735/11221/1399/5605/10048/2253/10636/1445/27330/5609/2056/2249/6714/5578/846/10818/4035/5595/8661/1845/673/8829/537/2185/5906/7074/7786/5159/5908/8817/10392/26191/6850/2324/7430/6357/2066/2889/1436/140885/4067/161742/1880/10125/3976/9693/5777/54209/409/7099/1843/6098/1848/2247/10253/57556/6237/7078/2621/5590/3553/3491/81848/7010/55450/9590/3383/284/9314/948	91
GO:0050731	positive regulation of peptidyl-tyrosine phosphorylation	66/1983	193/18862	6.04E-19	1.07E-16	5.99E-17	54892/100133941/7804/50507/55620/7422/3066/1741/5062/5753/1856/1950/7157/3952/1795/133396/388585/2253/2915/2623/134/10188/2056/3596/2475/6714/3565/3690/5795/7006/2322/1489/5008/8829/2185/6886/6774/5621/6850/85480/2066/8764/1436/685/4067/2069/3600/3717/3678/3976/3606/9021/2534/653361/54209/409/4739/3815/2621/1440/5175/3383/284/2690/948/3569	66
GO:0071375	cellular response to peptide hormone stimulus	91/1983	325/18862	6.69E-19	1.15E-16	6.45E-17	890/990/1373/83990/2058/1019/6599/10890/328/376267/6464/5747/5296/3667/79837/2950/3952/197/2931/6198/988/3480/10603/525/3643/27131/1445/7471/8471/5786/2529/2740/3718/534/2875/7253/6714/6548/815/208/5458/4303/26060/4690/537/207/10014/88/8992/529/9475/490/5305/5286/2241/6774/5908/8503/4641/112/8412/55625/2308/5579/1398/23235/4067/9114/6778/113/5140/2549/5295/3717/5580/896/6776/9021/4790/3164/2534/5588/5590/3553/760/9365/8835/858/2690/5468/185	91
GO:0070661	leukocyte proliferation	88/1983	312/18862	1.53E-18	2.54E-16	1.42E-16	100133941/973/7292/930/3559/952/3329/836/9093/8600/100/1739/7001/5747/2950/7157/246778/3952/84433/1380/581/1493/640/5074/54106/9479/596/3718/6693/7293/63925/2056/3596/30835/3565/959/5595/2322/3635/4690/9466/7189/7535/5294/944/5621/26191/6850/148022/5699/8764/4478/3958/1436/57630/4067/23228/1794/1880/942/604/3600/57162/5880/5580/896/10125/196/3606/5777/2534/4615/54209/4208/1026/4883/3815/3574/7099/6385/695/5588/3553/7940/7305/3575/11326/3569	88
GO:0070372	regulation of ERK1 and ERK2 cascade	86/1983	301/18862	1.56E-18	2.54E-16	1.42E-16	6278/9368/1846/1852/7534/8600/6464/1739/11331/2045/3265/84231/2950/1956/6354/3358/65268/8792/11221/1399/10048/2253/10636/1445/27330/5609/2056/2249/6714/5578/846/10818/4035/5595/8661/1845/673/8829/537/2185/5906/7074/7786/5159/5908/8817/10392/26191/6850/2324/7430/6357/2066/2889/1436/140885/4067/161742/1880/10125/3976/9693/5777/54209/409/7099/1843/6098/1848/2247/10253/57556/6237/7078/2621/5590/3553/3491/81848/7010/55450/9590/3383/284/9314/948	86
GO:0009314	response to radiation	111/1983	447/18862	2.10E-18	3.33E-16	1.86E-16	4312/3861/10635/4318/1111/4314/23657/2237/3198/8438/9212/1789/1894/2189/4436/54962/11200/672/5888/92815/50507/993/4221/2342/2956/836/10856/5481/1788/9112/8450/90427/7295/5499/10277/3265/578/54929/5423/8533/545/1956/7157/6354/2068/581/8792/2138/170506/2339/2063/3735/165918/7319/1432/2071/7486/7054/5148/10636/2902/90410/596/5609/6872/8831/4763/2475/10002/2779/208/4313/5132/8243/842/1387/84446/150094/404672/85456/10010/2033/207/7439/9397/2876/7507/2625/5602/1263/2767/10413/5764/8864/8493/2793/1153/5295/5580/7508/1407/1026/1408/2776/3815/1410/1843/4311/164312/3383/358	111
GO:0071901	negative regulation of protein serine/threonine kinase activity	55/1983	145/18862	2.41E-18	3.72E-16	2.08E-16	7345/23624/4221/1846/54900/2873/1852/836/5999/1031/124790/26973/5570/4878/2950/11221/11329/80279/10636/3843/9479/4763/5795/6546/6547/5925/2874/1845/207/1849/80824/10614/26191/3301/1847/5998/4067/161742/7026/1028/5580/1030/11213/1050/5777/5569/54922/1026/11142/1843/1848/10253/10019/3553/81848	55
GO:0000302	response to reactive oxygen species	71/1983	224/18862	3.35E-18	5.05E-16	2.82E-16	4318/890/1728/4314/6278/1894/664/10105/1719/3939/8644/11235/836/328/100/3066/8877/51022/7001/7295/578/2950/1956/1017/5074/2775/10013/10935/596/2168/8428/4137/7352/6714/2176/4313/6546/5595/5601/207/2185/4548/2876/2241/5159/59338/4217/1263/2308/8737/1398/133522/140885/558/10628/10891/2983/84919/2113/5580/2534/653361/3162/1410/1843/695/8807/9314/948/358/3569	71
GO:0046328	regulation of JNK cascade	51/1983	129/18862	5.14E-18	7.48E-16	4.18E-16	4221/7164/8600/222643/3265/10987/4878/2950/1956/7477/23236/11221/3480/7188/8841/54106/9479/4294/10913/5911/2874/1845/4296/10771/207/2185/10912/2122/9611/7189/56940/10392/4217/26191/3301/2324/260425/8737/2889/140885/1540/57630/344558/10125/4615/653361/7099/3553/7098/9770/4616	51
GO:0010975	regulation of neuron projection development	107/1983	428/18862	5.21E-18	7.48E-16	4.18E-16	6696/1382/4192/53335/6695/7070/7804/8507/2049/547/1000/3706/10498/8851/952/11075/7422/3066/5756/54910/5062/9139/5753/2045/5979/80823/5063/10084/10505/3897/2931/5454/8153/816/170506/2011/6405/1496/1399/6993/2664/3984/9175/1002/10152/9024/8428/26230/238/4137/2056/8831/2475/11178/2895/23072/5458/8997/5663/5911/4035/84446/818/27/4916/2580/91752/9863/4058/8829/8536/4690/4135/2033/207/2185/5906/7074/57498/2625/8321/5789/112/55607/5530/5764/2889/1398/1123/3675/4067/2316/1902/5587/6280/23303/659/26052/66008/2242/9693/2534/1948/57556/57520/7025/9314	107
