"##Databases: PANTHER, KEGG PATHWAY, Reactome, BioCyc"								
##Statistical test method: hypergeometric test / Fisher's exact test								
##FDR correction method: Benjamini and Hochberg								
								
#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Human papillomavirus infection	KEGG PATHWAY	hsa05165	14	330	5.08E-10	2.45E-08	IRF3|TICAM1|TP53|PTEN|PIK3CA|RB1|TLR3|FOXO1|TNF|PIK3R3|IKBKG|BAX|IKBKE|CREBBP	http://www.genome.jp/kegg-bin/show_pathway?hsa05165/hsa:5925%09red/hsa:8503%09red/hsa:3661%09red/hsa:7124%09red/hsa:7098%09red/hsa:1387%09red/hsa:581%09red/hsa:7157%09red/hsa:5728%09red/hsa:5290%09red/hsa:148022%09red/hsa:8517%09red/hsa:9641%09red/hsa:2308%09red
SUMO E3 ligases SUMOylate target proteins	Reactome	R-HSA-3108232	11	170	5.92E-10	2.71E-08	UBE2I|CBX4|TP53|TFAP2C|IKBKG|DDX5|EID3|IKBKE|TOPORS|CREBBP|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3108232
Toll Like Receptor 4 (TLR4) Cascade	Reactome	R-HSA-166016	10	128	6.58E-10	2.88E-08	IRF3|TICAM1|IRF7|BIRC2|AGER|CD14|IKBKG|IKBKE|S100A12|S100B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-166016
Small cell lung cancer	KEGG PATHWAY	hsa05222	9	93	8.32E-10	3.36E-08	E2F3|PIK3CA|BIRC2|RB1|PTEN|PIK3R3|IKBKG|BAX|TP53	http://www.genome.jp/kegg-bin/show_pathway?hsa05222/hsa:5925%09red/hsa:8503%09red/hsa:329%09red/hsa:5290%09red/hsa:581%09red/hsa:7157%09red/hsa:5728%09red/hsa:1871%09red/hsa:8517%09red
SUMOylation	Reactome	R-HSA-2990846	11	176	8.37E-10	3.36E-08	UBE2I|CBX4|TP53|TFAP2C|IKBKG|DDX5|EID3|IKBKE|TOPORS|CREBBP|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2990846
Prostate cancer	KEGG PATHWAY	hsa05215	9	97	1.18E-09	4.53E-08	E2F3|PIK3CA|RB1|PTEN|FOXO1|PIK3R3|IKBKG|TP53|CREBBP	http://www.genome.jp/kegg-bin/show_pathway?hsa05215/hsa:5925%09red/hsa:8503%09red/hsa:5290%09red/hsa:1387%09red/hsa:7157%09red/hsa:5728%09red/hsa:1871%09red/hsa:8517%09red/hsa:2308%09red
Cytokine Signaling in Immune system	Reactome	R-HSA-1280215	20	836	1.62E-09	6.00E-08	IRF3|RANBP2|SERPINB2|TP53|TXLNA|PSMD4|ADAM17|IKBKG|BIRC2|IL16|AGER|FOXO1|TNF|PIK3R3|IRF7|EDAR|PIK3CA|MAP3K14|S100A12|S100B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1280215
Signal Transduction	Reactome	R-HSA-162582	36	2689	2.65E-09	9.44E-08	MAD2L1|CD55|PSMD4|KAT2B|BAX|FKBP5|FOXO1|SOX9|IKBKG|ADAM17|CBX4|SH3GL1|S100B|CRABP2|PTEN|PIK3CA|CDC37|CBFB|PIK3R3|GFAP|RANBP2|CLASP2|FRK|BIRC2|VCP|TNF|NMT2|PTPN3|TP53|ETV4|E2F3|LINGO1|CDC14A|DDX5|HLF|CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-162582
Pathways in cancer	KEGG PATHWAY	hsa05200	16	530	3.28E-09	1.13E-07	E2F3|TP53|RAD51|PIK3CA|BIRC2|RB1|PTEN|FOXO1|ETS1|RUNX1T1|IKBKG|BAX|HLF|PIK3R3|PAX8|CREBBP	http://www.genome.jp/kegg-bin/show_pathway?hsa05200/hsa:2034%09red/hsa:5925%09red/hsa:8503%09red/hsa:329%09red/hsa:5290%09red/hsa:862%09red/hsa:2113%09red/hsa:581%09red/hsa:7157%09red/hsa:5728%09red/hsa:1871%09red/hsa:8517%09red/hsa:7849%09red/hsa:1387%09red/hsa:5888%09red/hsa:2308%09red
Pancreatic cancer	KEGG PATHWAY	hsa05212	8	75	3.65E-09	1.21E-07	E2F3|RAD51|PIK3CA|RB1|PIK3R3|IKBKG|BAX|TP53	http://www.genome.jp/kegg-bin/show_pathway?hsa05212/hsa:5925%09red/hsa:8503%09red/hsa:5290%09red/hsa:581%09red/hsa:7157%09red/hsa:1871%09red/hsa:8517%09red/hsa:5888%09red
p53 pathway	PANTHER	P00059	8	76	4.02E-09	1.29E-07	PPM1D|TP53|PIK3CA|KAT2B|BAX|PTEN|PIK3R3|CREBBP	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00059
Post-translational protein modification	Reactome	R-HSA-597592	25	1412	5.36E-09	1.67E-07	IKBKE|CD55|COPS2|PSMD4|FBXO11|KAT2B|IKBKG|FBXO7|CBX4|TOPORS|TRAPPC6A|TFAP2C|RANBP2|PTEN|RNF40|VCP|UBE2I|TP53|TRAPPC3|DDX5|EID3|BIRC2|HLF|MAVS|CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-597592
TICAM1-dependent activation of IRF3/IRF7	Reactome	R-HSA-9013973	5	12	9.38E-09	2.82E-07	IRF3|TLR3|IKBKE|IRF7|TICAM1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9013973
TRAF3-dependent IRF activation pathway	Reactome	R-HSA-918233	5	14	1.75E-08	5.11E-07	IRF3|MAVS|IRF7|CREBBP|IKBKE	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-918233
Measles	KEGG PATHWAY	hsa05162	9	138	2.11E-08	5.98E-07	IRF3|IRF7|PIK3CA|BAX|PIK3R3|IKBKG|IKBKE|TP53|MAVS	http://www.genome.jp/kegg-bin/show_pathway?hsa05162/hsa:3665%09red/hsa:8517%09red/hsa:8503%09red/hsa:3661%09red/hsa:5290%09red/hsa:581%09red/hsa:7157%09red/hsa:57506%09red/hsa:9641%09red
NF-kappa B signaling pathway	KEGG PATHWAY	hsa04064	8	100	2.97E-08	8.16E-07	UBE2I|TICAM1|BIRC2|CD14|TNF|MAP3K14|IKBKG|EDAR	http://www.genome.jp/kegg-bin/show_pathway?hsa04064/hsa:10913%09red/hsa:7124%09red/hsa:7329%09red/hsa:329%09red/hsa:148022%09red/hsa:8517%09red/hsa:929%09red/hsa:9020%09red
Viral carcinogenesis	KEGG PATHWAY	hsa05203	10	201	3.92E-08	1.02E-06	IRF3|TP53|PIK3CA|KAT2B|RB1|PIK3R3|IKBKG|BAX|IRF7|CREBBP	http://www.genome.jp/kegg-bin/show_pathway?hsa05203/hsa:3665%09red/hsa:5925%09red/hsa:8503%09red/hsa:3661%09red/hsa:5290%09red/hsa:8850%09red/hsa:581%09red/hsa:7157%09red/hsa:8517%09red/hsa:1387%09red
Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon	Reactome	R-HSA-936964	5	17	3.92E-08	1.02E-06	IRF3|TICAM1|CD14|IRF7|IKBKE	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-936964
Melanoma	KEGG PATHWAY	hsa05218	7	72	6.42E-08	1.63E-06	E2F3|PIK3CA|RB1|PTEN|PIK3R3|BAX|TP53	http://www.genome.jp/kegg-bin/show_pathway?hsa05218/hsa:5925%09red/hsa:8503%09red/hsa:5290%09red/hsa:581%09red/hsa:7157%09red/hsa:5728%09red/hsa:1871%09red
Herpes simplex virus 1 infection	KEGG PATHWAY	hsa05168	14	492	6.64E-08	1.64E-06	IRF3|TICAM1|TP53|PIK3CA|BIRC2|BAX|TLR3|TNF|PIK3R3|IKBKG|IKBKE|IRF7|MAVS|POU2F3	http://www.genome.jp/kegg-bin/show_pathway?hsa05168/hsa:3665%09red/hsa:8517%09red/hsa:8503%09red/hsa:3661%09red/hsa:329%09red/hsa:7098%09red/hsa:581%09red/hsa:7157%09red/hsa:57506%09red/hsa:5290%09red/hsa:148022%09red/hsa:9641%09red/hsa:25833%09red/hsa:7124%09red
Cellular responses to stress	Reactome	R-HSA-2262752	13	422	8.22E-08	1.95E-06	EHMT2|TP53|PSMD4|E2F3|RB1|VCP|FKBP5|ETS1|HLF|CITED2|CBX4|CREBBP|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2262752
Glioma	KEGG PATHWAY	hsa05214	7	75	8.32E-08	1.95E-06	E2F3|PIK3CA|RB1|PTEN|PIK3R3|BAX|TP53	http://www.genome.jp/kegg-bin/show_pathway?hsa05214/hsa:5925%09red/hsa:8503%09red/hsa:5290%09red/hsa:581%09red/hsa:7157%09red/hsa:5728%09red/hsa:1871%09red
Chronic myeloid leukemia	KEGG PATHWAY	hsa05220	7	76	9.06E-08	2.08E-06	E2F3|PIK3CA|RB1|PIK3R3|IKBKG|BAX|TP53	http://www.genome.jp/kegg-bin/show_pathway?hsa05220/hsa:5925%09red/hsa:8503%09red/hsa:5290%09red/hsa:581%09red/hsa:7157%09red/hsa:1871%09red/hsa:8517%09red
Metabolism of proteins	Reactome	R-HSA-392499	28	2012	9.38E-08	2.10E-06	IKBKE|ADD1|CD55|COPS2|PSMD4|CDX2|KAT2B|IKBKG|FBXO7|CBX4|TOPORS|SRPRB|TRAPPC6A|TFAP2C|RANBP2|FBXO11|PTEN|RNF40|VCP|UBE2I|TP53|TRAPPC3|DDX5|EID3|BIRC2|HLF|MAVS|CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-392499
Human cytomegalovirus infection	KEGG PATHWAY	hsa05163	10	225	1.07E-07	2.35E-06	IRF3|E2F3|TP53|PIK3CA|RB1|TNF|PIK3R3|IKBKG|BAX|NFATC4	http://www.genome.jp/kegg-bin/show_pathway?hsa05163/hsa:5925%09red/hsa:8503%09red/hsa:3661%09red/hsa:7124%09red/hsa:5290%09red/hsa:4776%09red/hsa:581%09red/hsa:7157%09red/hsa:1871%09red/hsa:8517%09red
p53 pathway feedback loops 2	PANTHER	P04398	6	46	1.17E-07	2.50E-06	PPM1D|TP53|PIK3CA|RB1|PTEN|PIK3R3	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P04398
@@P53 pathway feedback loops 1	PANTHER	P04392	1	7	0.034776055	0.075957503	TP53	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P04392
Transcriptional regulation by RUNX1	Reactome	R-HSA-8878171	10	235	1.58E-07	3.31E-06	SMARCB1|TCF3|PSMD4|LMO2|KAT2B|CBFB|TCF12|CBX4|CCNH|CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8878171
NOD-like receptor signaling pathway	KEGG PATHWAY	hsa04621	9	178	1.67E-07	3.43E-06	IRF3|TICAM1|SUGT1|IRF7|BIRC2|TNF|IKBKG|IKBKE|MAVS	http://www.genome.jp/kegg-bin/show_pathway?hsa04621/hsa:3665%09red/hsa:8517%09red/hsa:3661%09red/hsa:7124%09red/hsa:57506%09red/hsa:329%09red/hsa:148022%09red/hsa:10910%09red/hsa:9641%09red
TRAF6 mediated NF-kB activation	Reactome	R-HSA-933542	5	24	1.72E-07	3.46E-06	MAVS|S100A12|AGER|IKBKG|S100B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-933542
Cell Cycle	Reactome	R-HSA-1640170	15	629	2.05E-07	4.03E-06	UBE2I|RBBP8|E2F3|CLASP2|PSMD4|VRK1|RB1|MAD2L1|FOXM1|CDC14A|RAD51|RAD51C|TP53|CCNH|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1640170
@@Cell cycle	KEGG PATHWAY	hsa04110	7	124	2.04E-06	2.73E-05	MAD2L1|E2F3|CDC14A|RB1|TP53|CCNH|CREBBP	http://www.genome.jp/kegg-bin/show_pathway?hsa04110/hsa:5925%09red/hsa:1387%09red/hsa:902%09red/hsa:8556%09red/hsa:1871%09red/hsa:7157%09red/hsa:4085%09red
@@Cell cycle	PANTHER	P00013	1	16	0.072463633	0.118275388	PSMD4	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00013
Apoptosis	KEGG PATHWAY	hsa04210	8	136	2.77E-07	5.34E-06	TP53|PIK3CA|BIRC2|BAX|TNF|PIK3R3|IKBKG|MAP3K14	http://www.genome.jp/kegg-bin/show_pathway?hsa04210/hsa:8517%09red/hsa:8503%09red/hsa:7124%09red/hsa:5290%09red/hsa:581%09red/hsa:7157%09red/hsa:329%09red/hsa:9020%09red
@@Apoptosis	Reactome	R-HSA-109581	8	172	1.50E-06	2.10E-05	TICAM1|TP53|ADD1|PSMD4|BIRC2|BAX|CD14|HMGB2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-109581
Disease	Reactome	R-HSA-1643685	19	1049	3.03E-07	5.72E-06	TICAM1|PTEN|PSMD4|ADAM17|IKBKG|KAT2B|FOXO1|PGM1|VCP|TLR3|CD14|PIK3R3|NMT2|PIK3CA|CDC37|SH3GL1|CCNH|CREBBP|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1643685
Toll Like Receptor 7/8 (TLR7/8) Cascade	Reactome	R-HSA-168181	7	93	3.28E-07	5.96E-06	TICAM1|IRF7|AGER|CD14|IKBKG|S100A12|S100B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168181
MyD88 dependent cascade initiated on endosome	Reactome	R-HSA-975155	7	93	3.28E-07	5.96E-06	TICAM1|IRF7|AGER|CD14|IKBKG|S100A12|S100B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-975155
TRAF6 mediated IRF7 activation	Reactome	R-HSA-933541	5	29	3.97E-07	7.08E-06	IRF3|MAVS|IRF7|CREBBP|IKBKE	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-933541
Toll Like Receptor 9 (TLR9) Cascade	Reactome	R-HSA-168138	7	97	4.29E-07	7.51E-06	TICAM1|IRF7|AGER|CD14|IKBKG|S100A12|S100B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168138
Developmental Biology	Reactome	R-HSA-1266738	19	1082	4.79E-07	8.14E-06	CLASP2|TCF3|PSMD4|ONECUT1|TCF12|HNF4A|KAT2B|FOXO1|TNF|CEBPE|CBFB|PIK3R3|HOXA1|EBF1|PIK3CA|MED17|HLF|HOXB3|CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1266738
SUMOylation of immune response proteins	Reactome	R-HSA-4755510	4	11	4.82E-07	8.14E-06	UBE2I|IKBKE|IKBKG|TOPORS	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-4755510
Cytosolic sensors of pathogen-associated DNA 	Reactome	R-HSA-1834949	6	62	5.92E-07	9.83E-06	IRF3|TICAM1|IRF7|TLR3|IKBKG|CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1834949
C-type lectin receptor signaling pathway	KEGG PATHWAY	hsa04625	7	104	6.68E-07	1.09E-05	NFATC4|PIK3CA|TNF|PIK3R3|IKBKG|IKBKE|MAP3K14	http://www.genome.jp/kegg-bin/show_pathway?hsa04625/hsa:8517%09red/hsa:8503%09red/hsa:5290%09red/hsa:4776%09red/hsa:7124%09red/hsa:9641%09red/hsa:9020%09red
Cellular responses to external stimuli	Reactome	R-HSA-8953897	13	516	7.55E-07	1.21E-05	EHMT2|TP53|PSMD4|E2F3|RB1|VCP|FKBP5|ETS1|HLF|CITED2|CBX4|CREBBP|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8953897
Non-small cell lung cancer	KEGG PATHWAY	hsa05223	6	66	8.33E-07	1.29E-05	E2F3|PIK3CA|RB1|PIK3R3|BAX|TP53	http://www.genome.jp/kegg-bin/show_pathway?hsa05223/hsa:5925%09red/hsa:8503%09red/hsa:5290%09red/hsa:581%09red/hsa:7157%09red/hsa:1871%09red
Acute myeloid leukemia	KEGG PATHWAY	hsa05221	6	66	8.33E-07	1.29E-05	CEBPE|PIK3CA|CD14|RUNX1T1|IKBKG|PIK3R3	http://www.genome.jp/kegg-bin/show_pathway?hsa05221/hsa:8517%09red/hsa:8503%09red/hsa:5290%09red/hsa:862%09red/hsa:1053%09red/hsa:929%09red
Apoptosis signaling pathway	PANTHER	P00006	7	108	8.49E-07	1.30E-05	TP53|PIK3CA|JDP2|BIRC2|BAX|TNF|MAP3K14	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00006
RIG-I-like receptor signaling pathway	KEGG PATHWAY	hsa04622	6	70	1.15E-06	1.73E-05	IRF3|IRF7|TNF|IKBKG|IKBKE|MAVS	http://www.genome.jp/kegg-bin/show_pathway?hsa04622/hsa:3665%09red/hsa:8517%09red/hsa:3661%09red/hsa:7124%09red/hsa:57506%09red/hsa:9641%09red
Hepatocellular carcinoma	KEGG PATHWAY	hsa05225	8	168	1.27E-06	1.88E-05	E2F3|TP53|PIK3CA|RB1|PTEN|PIK3R3|BAX|SMARCB1	http://www.genome.jp/kegg-bin/show_pathway?hsa05225/hsa:5925%09red/hsa:8503%09red/hsa:5290%09red/hsa:581%09red/hsa:7157%09red/hsa:5728%09red/hsa:1871%09red/hsa:6598%09red
Regulation of beta-cell development	Reactome	R-HSA-186712	5	38	1.33E-06	1.91E-05	FOXO1|ONECUT1|HNF4A|KAT2B|CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-186712
Ovarian tumor domain proteases	Reactome	R-HSA-5689896	5	38	1.33E-06	1.91E-05	VCP|PTEN|MAVS|TP53|IKBKG	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5689896
Transcriptional regulation by RUNX2	Reactome	R-HSA-8878166	7	118	1.49E-06	2.10E-05	ZNF521|PPM1D|PSMD4|RB1|CBFB|BAX|SOX9	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8878166
