##Databases: PANTHER, KEGG PATHWAY, Reactome, BioCyc
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
G alpha (z) signalling events	Reactome	R-HSA-418597	10	48	5.08153525717e-07	3.61262182655e-06	RGS16|PRKCH|ADCY7|PRKCA|PRKCB|PRKCD|RGS4|GNG4|GNGT2|PRKCQ	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-418597
TP53 Regulates Transcription of Cell Cycle Genes	Reactome	R-HSA-6791312	10	48	5.08153525717e-07	3.61262182655e-06	CCNB1|CCNA2|E2F1|RBL2|CCNE2|CDKN1A|CDK1|AURKA|PLAGL1|CNOT7	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6791312
Signaling by NTRK1 (TRKA)	Reactome	R-HSA-187037	12	76	5.31376759545e-07	3.76249028129e-06	MEF2C|SHC1|SHC3|DNM3|PIK3R1|MAPK14|MEF2A|RAPGEF1|MAPK12|CRK|DUSP6|RALGDS	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-187037
Interleukin receptor SHC signaling	Reactome	R-HSA-912526	8	26	5.82500719883e-07	4.10791672335e-06	CSF2RB|IL2RB|SHC1|GAB2|JAK2|PIK3R1|IL3RA|PTPN6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-912526
Clathrin-mediated endocytosis	Reactome	R-HSA-8856828	16	145	6.12838104516e-07	4.30457484612e-06	IL7R|GPS1|CTTN|FZD4|DNM3|RAB5B|ITSN2|FCHO1|LRP2|ADRB2|ARRB2|EREG|BTC|TRIP10|AGTR1|CFTR	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8856828
African trypanosomiasis	KEGG PATHWAY	hsa05143	9	37	6.17018276909e-07	4.31666969822e-06	IL18|GNAQ|PRKCA|SELE|PRKCB|IL6|ICAM1|IL1B|MYD88	http://www.genome.jp/kegg-bin/show_pathway?hsa05143/hsa:5579%09red/hsa:3569%09red/hsa:3553%09red/hsa:2776%09red/hsa:5578%09red/hsa:3383%09red/hsa:6401%09red/hsa:4615%09red/hsa:3606%09red
GnRH signaling pathway	KEGG PATHWAY	hsa04912	13	93	6.28972733557e-07	4.38284174653e-06	SRC|ADCY7|GNAQ|PRKCA|MAP3K3|PRKCB|CAMK2A|PRKCD|MAPK14|MAP2K2|MAPK12|GNA11|MMP2	http://www.genome.jp/kegg-bin/show_pathway?hsa04912/hsa:5579%09red/hsa:5578%09red/hsa:1432%09red/hsa:5580%09red/hsa:4313%09red/hsa:815%09red/hsa:4215%09red/hsa:2767%09red/hsa:113%09red/hsa:5605%09red/hsa:6714%09red/hsa:2776%09red/hsa:6300%09red
Alzheimer disease-amyloid secretase pathway	PANTHER	P00003	11	63	6.51447619917e-07	4.52150996275e-06	PRKCH|MAPK4|APBA2|PRKCA|PSEN1|PRKCB|PRKCD|MAPK14|PRKCZ|MAPK12|PRKCQ	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00003
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	Reactome	R-HSA-198933	15	128	6.85272739643e-07	4.73755484572e-06	NPDC1|PILRA|TYROBP|CD33|ITGA4|NCR1|CD300LF|ITGB2|TREM1|ICAM2|ICAM1|TREM2|C3|LAIR1|SIGLEC1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-198933
MyD88 deficiency (TLR2/4)	Reactome	R-HSA-5602498	6	10	7.40350132942e-07	5.07967025163e-06	CD36|TLR2|TLR1|TLR4|MYD88|BTK	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5602498
G0 and Early G1	Reactome	R-HSA-1538133	8	27	7.4054418247e-07	5.07967025163e-06	E2F5|CCNA2|E2F1|RBL2|CCNE2|CDK1|MYBL2|CDC6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1538133
Semaphorin interactions	Reactome	R-HSA-373755	11	64	7.48330422802e-07	5.11310592389e-06	MYH10|ARHGEF12|TYROBP|LIMK1|FYN|RRAS|RND1|FES|TREM2|SEMA6A|MYL9	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-373755
Interferon-gamma signaling pathway	PANTHER	P00035	8	28	9.33786926418e-07	6.35554202632e-06	SOCS3|SOCS2|MAPK14|JAK2|IFNGR1|MAPK12|PTPN6|CISH	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00035
Circadian entrainment	KEGG PATHWAY	hsa04713	13	97	9.66818232713e-07	6.55495296002e-06	ADCY7|GNAQ|PER2|PRKCA|GNAO1|PRKCB|CAMK2A|GRIN2B|GRIN2C|GNG4|GUCY1A2|GNGT2|GUCY1B3	http://www.genome.jp/kegg-bin/show_pathway?hsa04713/hsa:5579%09red/hsa:5578%09red/hsa:2793%09red/hsa:2776%09red/hsa:2983%09red/hsa:2775%09red/hsa:815%09red/hsa:2786%09red/hsa:2977%09red/hsa:113%09red/hsa:8864%09red/hsa:2905%09red/hsa:2904%09red
Pancreatic secretion	KEGG PATHWAY	hsa04972	13	98	1.07322157661e-06	7.24837341742e-06	CD38|SLC9A1|ADCY7|GNAQ|ATP2A3|PRKCA|CA2|FAP|PRKCB|SLC4A4|ATP2B2|CFTR|ATP2A1	http://www.genome.jp/kegg-bin/show_pathway?hsa04972/hsa:5579%09red/hsa:5578%09red/hsa:2776%09red/hsa:1080%09red/hsa:1056%09red/hsa:760%09red/hsa:113%09red/hsa:487%09red/hsa:491%09red/hsa:8671%09red/hsa:6548%09red/hsa:489%09red/hsa:952%09red
IRAK4 deficiency (TLR2/4)	Reactome	R-HSA-5603041	6	11	1.12282198694e-06	7.55431191213e-06	CD36|TLR2|TLR1|TLR4|MYD88|BTK	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5603041
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway	PANTHER	P00026	16	154	1.27062303419e-06	8.51608415281e-06	RGS16|ADCY7|RGS13|ADRB1|GNG4|GRM1|RGS4|RGS5|ADRB2|ADRB3|ARRB2|CREM|RGS3|HTR1A|HTR1B|GNGT2	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00026
Oxytocin receptor mediated signaling pathway	PANTHER	P04391	10	54	1.30973800075e-06	8.74486665138e-06	PRKCH|GNAQ|PRKCA|PRKCB|PRKCD|GNG4|PRKCZ|GNGT2|GNA11|PRKCQ	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P04391
Synthesis of DNA	Reactome	R-HSA-69239	14	118	1.4022338066e-06	9.32697941058e-06	RPN2|CCNA2|PSMB10|CCNE2|PSMD4|PSMD6|CDT1|MCM7|MCM4|FEN1|MCM2|PRIM1|CDC6|POLE2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69239
Adipocytokine signaling pathway	KEGG PATHWAY	hsa04920	11	69	1.44877804268e-06	9.60020469038e-06	SOCS3|NFKBIA|PPARGC1A|CD36|AKT2|JAK2|RXRB|PPARA|PRKCQ|NFKB1|MTOR	http://www.genome.jp/kegg-bin/show_pathway?hsa04920/hsa:5588%09red/hsa:4792%09red/hsa:948%09red/hsa:6257%09red/hsa:208%09red/hsa:10891%09red/hsa:4790%09red/hsa:5465%09red/hsa:2475%09red/hsa:3717%09red/hsa:9021%09red
Toll Like Receptor 10 (TLR10) Cascade	Reactome	R-HSA-168142	12	85	1.5397429834e-06	1.0088763727e-05	MEF2C|MAP3K8|S100A12|PELI1|UBE2N|DUSP6|NFKBIA|MAPK14|MEF2A|TLR5|NFKB1|MYD88	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168142
MyD88 cascade initiated on plasma membrane	Reactome	R-HSA-975871	12	85	1.5397429834e-06	1.0088763727e-05	MEF2C|MAP3K8|S100A12|PELI1|UBE2N|DUSP6|NFKBIA|MAPK14|MEF2A|TLR5|NFKB1|MYD88	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-975871
Toll Like Receptor 5 (TLR5) Cascade	Reactome	R-HSA-168176	12	85	1.5397429834e-06	1.0088763727e-05	MEF2C|MAP3K8|S100A12|PELI1|UBE2N|DUSP6|NFKBIA|MAPK14|MEF2A|TLR5|NFKB1|MYD88	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168176
Rho GTPase cycle	Reactome	R-HSA-194840	15	138	1.62311743496e-06	1.05955175308e-05	ARHGEF12|RAC2|ECT2|ARHGAP17|RACGAP1|KALRN|ARHGEF6|CHN1|ARHGDIB|ARHGAP10|TRIP10|FGD1|ARHGAP29|GDI1|A2M	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-194840
Signaling by Insulin receptor	Reactome	R-HSA-74752	11	70	1.64334699614e-06	1.06878419452e-05	SHC1|GAB2|INSR|PDE3B|AKT2|PIK3R1|FGF6|ATP6V1B1|ATP6V0D1|FGF3|FGF2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-74752
Thyrotropin-releasing hormone receptor signaling pathway	PANTHER	P04394	10	56	1.75342664559e-06	1.13616870467e-05	PRKCH|GNAQ|PRKCA|PRKCB|PRKCD|GNG4|PRKCZ|GNGT2|GNA11|PRKCQ	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P04394
CD28 co-stimulation	Reactome	R-HSA-389356	8	31	1.79096288446e-06	1.15198931323e-05	MAP3K8|FYN|CD86|AKT2|MAP3K14|PIK3R1|MTOR|LYN	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-389356
Antigen activates B Cell Receptor (BCR) leading to generation of second messengers	Reactome	R-HSA-983695	8	31	1.79096288446e-06	1.15198931323e-05	BLK|FYN|PIK3R1|LYN|CD79B|PTPN6|BTK|CD79A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-983695
Signaling pathways regulating pluripotency of stem cells	KEGG PATHWAY	hsa04550	15	140	1.91177752237e-06	1.22481476006e-05	BMPR2|LIF|FZD4|PIK3R1|ESRRB|WNT2|MAPK14|MAP2K2|AKT2|KLF4|JAK2|LIFR|MAPK12|DUSP9|FGF2	http://www.genome.jp/kegg-bin/show_pathway?hsa04550/hsa:1432%09red/hsa:7472%09red/hsa:9314%09red/hsa:2103%09red/hsa:3977%09red/hsa:3976%09red/hsa:3717%09red/hsa:5295%09red/hsa:2247%09red/hsa:5605%09red/hsa:208%09red/hsa:1852%09red/hsa:659%09red/hsa:8322%09red/hsa:6300%09red
Platelet homeostasis	Reactome	R-HSA-418346	12	87	1.91813245454e-06	1.22481476006e-05	PECAM1|NOS2|ATP2A1|ATP2A3|MAPK14|GNG4|GUCY1A2|GNGT2|GUCY1B3|SLC8A1|ATP2B2|PTPN6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-418346
Regulation of KIT signaling	Reactome	R-HSA-1433559	6	13	2.37059396851e-06	1.50824746692e-05	PRKCA|FYN|KIT|SH2B3|LYN|PTPN6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1433559
PDGF signaling pathway	PANTHER	P00047	14	124	2.38980812204e-06	1.51498305498e-05	STAT6|RPS6KA4|SHC1|SHC3|PRKCA|GAB2|STAT5A|PIK3R1|MAP2K2|AKT2|ETS1|JAK2|ARHGAP10|RPS6KB2	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00047
CD28 dependent PI3K/Akt signaling	Reactome	R-HSA-389357	7	22	2.49546613213e-06	1.57062312832e-05	MAP3K8|FYN|CD86|AKT2|MAP3K14|PIK3R1|MTOR	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-389357
RAF-independent MAPK1/3 activation	Reactome	R-HSA-112409	7	22	2.49546613213e-06	1.57062312832e-05	CDK1|IL6|MAP2K2|JAK2|DUSP5|DUSP9|DUSP6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-112409
Beta-catenin independent WNT signaling	Reactome	R-HSA-3858494	15	144	2.63072304672e-06	1.64965075784e-05	RPN2|PRKCB|RAC2|PSMB10|PRKCA|GNAO1|PSMD6|CAMK2A|TCF7L2|GNG4|ARRB2|PPP3CA|PSMD4|FZD4|GNGT2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3858494
Interferon gamma signaling	Reactome	R-HSA-877300	12	90	2.6398169872e-06	1.64965075784e-05	MT2A|SOCS3|CAMK2A|TRIM22|PRKCD|TRIM21|JAK2|IFNGR1|ICAM1|TRIM2|PTPN6|OASL	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-877300
Activation of Matrix Metalloproteinases	Reactome	R-HSA-1592389	8	33	2.67541064986e-06	1.66596492949e-05	MMP10|TIMP2|MMP13|CLGN|MMP9|MMP2|MMP3|MMP1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1592389
EPH-Ephrin signaling	Reactome	R-HSA-2682334	12	91	2.92865537763e-06	1.81721513891e-05	EFNB2|MYH10|EFNA4|KALRN|PSEN1|LIMK1|FYN|GRIN2B|MMP9|LYN|MMP2|MYL9	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2682334
p53 pathway feedback loops 2	PANTHER	P04398	9	46	2.98396855709e-06	1.83854343377e-05	PPM1D|CCNA2|PIK3R1|CDKN1A|TP73|MAPK14|PIK3C2B|AKT2|MAPK12	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P04398
@@P53 pathway feedback loops 1	PANTHER	P04392	1	7	0.163076463961	0.214825409388	TP73	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P04392
Insulin receptor signalling cascade	Reactome	R-HSA-74751	9	46	2.98396855709e-06	1.83854343377e-05	SHC1|GAB2|INSR|PDE3B|AKT2|PIK3R1|FGF6|FGF3|FGF2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-74751
Interleukin-15 signaling	Reactome	R-HSA-8983432	6	14	3.32342900292e-06	2.04053892627e-05	IL2RB|SHC1|GAB2|IL15|STAT5A|IL15RA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8983432
Autophagy - animal	KEGG PATHWAY	hsa04140	14	128	3.35438739618e-06	2.05237082498e-05	BCL2L1|ULK2|DDIT4|MRAS|PRKCD|RRAS|MAP2K2|AKT2|MTOR|PIK3R1|PRKCQ|RPS6KB2|DAPK3|BNIP3	http://www.genome.jp/kegg-bin/show_pathway?hsa04140/hsa:5580%09red/hsa:5588%09red/hsa:598%09red/hsa:6237%09red/hsa:664%09red/hsa:1613%09red/hsa:9706%09red/hsa:5295%09red/hsa:5605%09red/hsa:208%09red/hsa:54541%09red/hsa:2475%09red/hsa:6199%09red/hsa:22808%09red
p53 pathway	PANTHER	P00059	11	76	3.36811862442e-06	2.05361677239e-05	CCNB1|PPM1D|PIK3C2B|WRN|GADD45B|TP73|CDK1|AKT2|PIK3R1|CHEK2|CDKN1A	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00059
Huntington disease	PANTHER	P00029	14	129	3.64405875425e-06	2.2141754922e-05	DYNLL1|CASP3|IFT57|KALRN|GAPDH|TP73|GRIN2B|GRIN2C|AKT2|CAPN3|GRIK1|RAC2|DLC1|NCOR2	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00029
@@Huntington disease	KEGG PATHWAY	hsa05016	11	193	0.00580946631287	0.0139173572243	HDAC2|CASP3|IFT57|PPARGC1A|CASP9|GRIN2B|PPARG|NDUFA13|POLR2J|POLR2K|GNAQ	http://www.genome.jp/kegg-bin/show_pathway?hsa05016/hsa:836%09red/hsa:2776%09red/hsa:51079%09red/hsa:5440%09red/hsa:842%09red/hsa:10891%09red/hsa:3066%09red/hsa:2904%09red/hsa:5468%09red/hsa:55081%09red/hsa:5439%09red
GPVI-mediated activation cascade	Reactome	R-HSA-114604	8	35	3.90565451834e-06	2.36494114973e-05	FCER1G|RAC2|FYN|PRKCZ|PIK3R1|LCP2|LYN|PTPN6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-114604
5HT2 type receptor mediated signaling pathway	PANTHER	P04374	10	62	3.95738599343e-06	2.38803086064e-05	PRKCH|GNAQ|PRKCA|PRKCB|PRKCD|GNG4|PRKCZ|GNGT2|GNA11|PRKCQ	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P04374
Metabolism	Reactome	R-HSA-1430728	80	2075	4.00883388237e-06	2.40855550626e-05	CD38|ACP5|RPN2|CYP19A1|PSMB10|SDC4|PSMD6|GAPDH|CD36|NQO1|FABP5|PPARGC1B|SGMS1|PTGDS|BRIP1|RPL22|NCOR2|AKR1C3|NCOA3|COASY|ALDOB|SLC9A1|RGL1|FFAR1|GLDC|RPS14|MAOA|NADK|IP6K2|GNG4|VNN2|RARRES3|RRM2B|SACM1L|PIK3R1|NDUFA13|GOT2|MED14|BMX|HMMR|RPS18|SLC7A5|PRKCA|GNA11|RXRB|PIK3C2B|NCOA1|GLRX|SEC24B|CS|ST6GALNAC6|HPGDS|UCP3|GGT1|SLA|DHCR24|LRP2|CA9|ADCY7|GNAQ|LST1|PPARG|PTPN13|CA2|PFKFB2|HMOX1|SLC7A11|NLK|CA4|AHR|PPARGC1A|ADA|GPC3|SHMT2|GNGT2|PRKD1|SLC2A3|EEF1E1|PPARA|PSMD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1430728
GPCR ligand binding	Reactome	R-HSA-500792	28	454	4.04149896817e-06	2.40855550626e-05	PTGFR|GPR183|NTSR1|TSHR|EDNRB|FZD4|S1PR1|TAC3|PTGER1|PTGER2|GNG4|CASR|C3|GRM1|KISS1R|FFAR1|CCL13|WNT2|NTS|ADRB1|ADRB2|ADRB3|GNGT2|C3AR1|AGTR1|LPAR1|HTR1A|HTR1B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-500792
Metabotropic glutamate receptor group I pathway	PANTHER	P00041	7	24	4.04626352134e-06	2.40855550626e-05	GNAQ|GRIK1|PRKCB|GRIN2B|GRIN2C|GNA11|GRM1	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00041
SUMOylation of intracellular receptors	Reactome	R-HSA-4090294	7	24	4.04626352134e-06	2.40855550626e-05	NR3C2|NR3C1|ESR1|THRB|PPARG|PGR|PPARA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-4090294
Alzheimer disease-presenilin pathway	PANTHER	P00004	13	112	4.12769830929e-06	2.4404842529e-05	LRP2|FZD4|ERBB4|MMP13|WNT2|PSEN1|MMP19|TCF7L2|CLGN|MMP9|TRIM2|MMP2|MMP1	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00004
Cholinergic synapse	KEGG PATHWAY	hsa04725	13	112	4.12769830929e-06	2.4404842529e-05	ADCY7|GNAQ|PRKCA|GNAO1|PRKCB|FYN|CAMK2A|AKT2|JAK2|GNG4|PIK3R1|GNA11|GNGT2	http://www.genome.jp/kegg-bin/show_pathway?hsa04725/hsa:5579%09red/hsa:5578%09red/hsa:2767%09red/hsa:2793%09red/hsa:2776%09red/hsa:2775%09red/hsa:2534%09red/hsa:815%09red/hsa:3717%09red/hsa:5295%09red/hsa:2786%09red/hsa:113%09red/hsa:208%09red
Dopaminergic synapse	KEGG PATHWAY	hsa04728	14	131	4.29097157622e-06	2.5285053986e-05	GRIN2B|GNAQ|PRKCA|GNAO1|PRKCB|CAMK2A|MAPK14|AKT2|ARRB2|GNG4|MAPK12|PPP3CA|MAOA|GNGT2	http://www.genome.jp/kegg-bin/show_pathway?hsa04728/hsa:5579%09red/hsa:5578%09red/hsa:1432%09red/hsa:2793%09red/hsa:409%09red/hsa:5530%09red/hsa:2775%09red/hsa:815%09red/hsa:2786%09red/hsa:2776%09red/hsa:208%09red/hsa:2904%09red/hsa:6300%09red/hsa:4128%09red
Signaling by WNT	Reactome	R-HSA-195721	23	329	4.33939937778e-06	2.54849006936e-05	USP8|TNKS|RPN2|PSMB10|GNAO1|PSMD6|AKT2|ARRB2|YWHAZ|FZD4|TLE2|GNGT2|RAC2|PRKCA|PRKCB|CAMK2A|PSMD4|WNT2|TCF7L2|GNG4|HECW1|CTNNBIP1|PPP3CA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-195721
ROS and RNS production in phagocytes	Reactome	R-HSA-1222556	8	36	4.68180755541e-06	2.73131364362e-05	NCF2|NCF1|RAC2|NCF4|NOS2|CYBB|ATP6V1B1|ATP6V0D1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1222556
Glutamatergic synapse	KEGG PATHWAY	hsa04724	13	114	4.9252230654e-06	2.86380519962e-05	ADCY7|GNAQ|PRKCA|GNAO1|PRKCB|SLC1A1|GRIN2B|GRIN2C|GNG4|GNGT2|GRIK1|PPP3CA|GRM1	http://www.genome.jp/kegg-bin/show_pathway?hsa04724/hsa:5579%09red/hsa:5578%09red/hsa:2776%09red/hsa:5530%09red/hsa:2775%09red/hsa:2897%09red/hsa:2793%09red/hsa:2786%09red/hsa:113%09red/hsa:6505%09red/hsa:2905%09red/hsa:2904%09red/hsa:2911%09red
Constitutive Signaling by AKT1 E17K in Cancer	Reactome	R-HSA-5674400	7	25	5.08097900171e-06	2.94462017393e-05	CDKN1A|NR4A1|FOXO1|RPS6KB2|AKT2|MTOR|CASP9	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5674400
Transmission across Chemical Synapses	Reactome	R-HSA-112315	20	261	5.11427578639e-06	2.95416719766e-05	PPM1F|ADCY7|PPFIA3|KCNJ15|NRGN|PRKCA|TUBA1B|TUBA1A|PRKCB|CAMK2A|SRC|GRIN2B|GRIN2C|MAOA|UNC13B|GNG4|GRIK1|GABRB2|SLC1A1|GNGT2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-112315
mTOR signaling pathway	KEGG PATHWAY	hsa04150	15	153	5.19835052901e-06	2.99288640293e-05	ULK2|NPR3|FZD4|PRKCA|WNT2|SLC7A5|INSR|PRKCB|RPS6KB2|DDIT4|MAP2K2|AKT2|MTOR|PIK3R1|ATP6V1B1	http://www.genome.jp/kegg-bin/show_pathway?hsa04150/hsa:5579%09red/hsa:5578%09red/hsa:7472%09red/hsa:8131%09red/hsa:6199%09red/hsa:9706%09red/hsa:5295%09red/hsa:5605%09red/hsa:208%09red/hsa:54541%09red/hsa:2475%09red/hsa:8322%09red/hsa:525%09red/hsa:3643%09red/hsa:8140%09red
p75 NTR receptor-mediated signalling	Reactome	R-HSA-193704	12	97	5.32208778755e-06	3.05411312253e-05	SQSTM1|ARHGEF12|HDAC2|FGD1|CASP3|ECT2|ARHGEF6|KALRN|PSEN1|NFKBIA|NFKB1|MYD88	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-193704
Apoptotic cleavage of cellular proteins	Reactome	R-HSA-111465	8	37	5.5846516972e-06	3.19434800661e-05	TJP1|CASP3|ADD1|SPTAN1|PRKCD|SATB1|PRKCQ|BMX	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-111465
Cross-presentation of particulate exogenous antigens (phagosomes)	Reactome	R-HSA-1236973	5	8	5.66960370442e-06	3.23241042369e-05	CYBB|NCF2|NCF1|CD36|NCF4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1236973
Costimulation by the CD28 family	Reactome	R-HSA-388841	10	65	5.76533837552e-06	3.27635410596e-05	MAP3K8|FYN|TNFRSF14|CD86|AKT2|MAP3K14|PIK3R1|MTOR|LYN|PTPN6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-388841
Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1	Reactome	R-HSA-1362300	6	16	6.16143008207e-06	3.49015200778e-05	E2F5|CCNA2|E2F1|RBL2|CDK1|MYBL2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1362300
Apoptotic execution phase	Reactome	R-HSA-75153	9	51	6.28955319033e-06	3.55127183351e-05	TJP1|CASP3|ADD1|HMGB2|PRKCD|SATB1|SPTAN1|PRKCQ|BMX	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-75153
TCR signaling	Reactome	R-HSA-202403	13	117	6.37713495975e-06	3.58918236837e-05	PSMD4|RPN2|NFKBIA|EVL|PSMB10|PAG1|PSMD6|PIK3R1|NFKB1|PRKCQ|LCP2|PTPRJ|UBE2N	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-202403
Downstream signaling events of B Cell Receptor (BCR)	Reactome	R-HSA-1168372	11	82	6.50627562546e-06	3.65016613364e-05	RPN2|NFKBIA|PSMB10|PSMD4|PSMD6|PRKCB|RASGRP1|REL|PPP3CA|NFKB1|PPIA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1168372
Fcgamma receptor (FCGR) dependent phagocytosis	Reactome	R-HSA-2029480	11	83	7.22337506368e-06	4.03956898466e-05	LIMK1|FYN|PRKCD|FCGR2A|NF2|PIK3R1|CRK|HCK|LYN|ELMO1|BTK	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2029480
Assembly of the pre-replicative complex	Reactome	R-HSA-68867	10	67	7.33400538119e-06	4.08841696805e-05	RPN2|E2F1|PSMB10|PSMD4|PSMD6|CDT1|MCM7|MCM4|MCM2|CDC6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-68867
Melanogenesis	KEGG PATHWAY	hsa04916	12	101	7.74722727494e-06	4.30510477683e-05	ADCY7|FZD4|GNAQ|PRKCA|WNT2|PRKCB|CAMK2A|TCF7L2|KIT|MAP2K2|GNAO1|EDNRB	http://www.genome.jp/kegg-bin/show_pathway?hsa04916/hsa:5579%09red/hsa:5578%09red/hsa:7472%09red/hsa:2775%09red/hsa:3815%09red/hsa:815%09red/hsa:1910%09red/hsa:113%09red/hsa:5605%09red/hsa:8322%09red/hsa:2776%09red/hsa:6934%09red
Downstream signal transduction	Reactome	R-HSA-186763	7	27	7.81587577184e-06	4.31407296179e-05	STAT6|GRB7|SRC|STAT5A|RAPGEF1|PIK3R1|CRK	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-186763
DAP12 interactions	Reactome	R-HSA-2172127	8	39	7.83706876315e-06	4.31407296179e-05	CLEC5A|TYROBP|FYN|TREM1|PIK3R1|TREM2|LCP2|BTK	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2172127
RET signaling	Reactome	R-HSA-8853659	8	39	7.83706876315e-06	4.31407296179e-05	SHC1|SHC3|PRKCA|GAB2|GRB7|DOK6|GDNF|PIK3R1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8853659
