From	To	Species	Gene Name
2352	FOLR3	Homo sapiens	folate receptor 3(FOLR3)
1020	CDK5	Homo sapiens	cyclin dependent kinase 5(CDK5)
81889	FAHD1	Homo sapiens	fumarylacetoacetate hydrolase domain containing 1(FAHD1)
1019	CDK4	Homo sapiens	cyclin dependent kinase 4(CDK4)
2348	folr1	Homo sapiens	folate receptor 1(FOLR1)
1016	CDH18	Homo sapiens	cadherin 18(CDH18)
79576	NKAP	Homo sapiens	NFKB activating protein(NKAP)
1015	CDH17	Homo sapiens	cadherin 17(CDH17)
81892	SLIRP	Homo sapiens	SRA stem-loop interacting RNA binding protein(SLIRP)
1013	CDH15	Homo sapiens	cadherin 15(CDH15)
81894	SLC25A28	Homo sapiens	solute carrier family 25 member 28(SLC25A28)
1012	CDH13	Homo sapiens	cadherin 13(CDH13)
3674	ITGA2B	Homo sapiens	integrin subunit alpha 2b(ITGA2B)
3676	ITGA4	Homo sapiens	integrin subunit alpha 4(ITGA4)
100128731	OST4	Homo sapiens	oligosaccharyltransferase complex subunit 4, non-catalytic(OST4)
81890	QTRT1	Homo sapiens	queuine tRNA-ribosyltransferase catalytic subunit 1(QTRT1)
135892	TRIM50	Homo sapiens	tripartite motif containing 50(TRIM50)
3678	ITGA5	Homo sapiens	integrin subunit alpha 5(ITGA5)
3679	itga7	Homo sapiens	integrin subunit alpha 7(ITGA7)
284252	KCTD1	Homo sapiens	potassium channel tetramerization domain containing 1(KCTD1)
3691	ITGB4	Homo sapiens	integrin subunit beta 4(ITGB4)
3692	EIF6	Homo sapiens	eukaryotic translation initiation factor 6(EIF6)
285521	cox18	Homo sapiens	COX18, cytochrome c oxidase assembly factor(COX18)
1033	CDKN3	Homo sapiens	cyclin dependent kinase inhibitor 3(CDKN3)
1032	CDKN2D	Homo sapiens	cyclin dependent kinase inhibitor 2D(CDKN2D)
1031	CDKN2C	Homo sapiens	cyclin dependent kinase inhibitor 2C(CDKN2C)
1030	CDKN2B	Homo sapiens	cyclin dependent kinase inhibitor 2B(CDKN2B)
285527	FRYL	Homo sapiens	FRY like transcription coactivator(FRYL)
1029	CDKN2A	Homo sapiens	cyclin dependent kinase inhibitor 2A(CDKN2A)
1028	CDKN1C	Homo sapiens	cyclin dependent kinase inhibitor 1C(CDKN1C)
81887	LAS1L	Homo sapiens	LAS1 like, ribosome biogenesis factor(LAS1L)
1027	CDKN1B	Homo sapiens	cyclin dependent kinase inhibitor 1B(CDKN1B)
2358	FPR2	Homo sapiens	formyl peptide receptor 2(FPR2)
1026	CDKN1A	Homo sapiens	cyclin dependent kinase inhibitor 1A(CDKN1A)
2357	FPR1	Homo sapiens	formyl peptide receptor 1(FPR1)
1025	CDK9	Homo sapiens	cyclin dependent kinase 9(CDK9)
79567	FAM65A	Homo sapiens	family with sequence similarity 65 member A(FAM65A)
2355	FOSL2	Homo sapiens	FOS like 2, AP-1 transcription factor subunit(FOSL2)
2354	FOSB	Homo sapiens	FosB proto-oncogene, AP-1 transcription factor subunit(FOSB)
3685	ITGAV	Homo sapiens	integrin subunit alpha V(ITGAV)
3687	ITGAX	Homo sapiens	integrin subunit alpha X(ITGAX)
92565	fank1	Homo sapiens	fibronectin type III and ankyrin repeat domains 1(FANK1)
1044	CDX1	Homo sapiens	caudal type homeobox 1(CDX1)
1043	CD52	Homo sapiens	CD52 molecule(CD52)
79591	c10orf76	Homo sapiens	chromosome 10 open reading frame 76(C10orf76)
1041	CDSN	Homo sapiens	corneodesmosin(CDSN)
79590	MRPL24	Homo sapiens	mitochondrial ribosomal protein L24(MRPL24)
79595	SAP130	Homo sapiens	Sin3A associated protein 130(SAP130)
169200	TMEM64	Homo sapiens	transmembrane protein 64(TMEM64)
1036	CDO1	Homo sapiens	cysteine dioxygenase type 1(CDO1)
145226	RDH12	Homo sapiens	retinol dehydrogenase 12 (all-trans/9-cis/11-cis)(RDH12)
3696	ITGB8	Homo sapiens	integrin subunit beta 8(ITGB8)
3698	ITIH2	Homo sapiens	inter-alpha-trypsin inhibitor heavy chain 2(ITIH2)
3699	ITIH3	Homo sapiens	inter-alpha-trypsin inhibitor heavy chain 3(ITIH3)
160851	DGKH	Homo sapiens	diacylglycerol kinase eta(DGKH)
92558	BICDL1	Homo sapiens	BICD family like cargo adaptor 1(BICDL1)
1053	CEBPE	Homo sapiens	CCAAT/enhancer binding protein epsilon(CEBPE)
1052	CEBPD	Homo sapiens	CCAAT/enhancer binding protein delta(CEBPD)
1051	CEBPB	Homo sapiens	CCAAT/enhancer binding protein beta(CEBPB)
79581	SLC52A2	Homo sapiens	solute carrier family 52 member 2(SLC52A2)
79583	TMEM231	Homo sapiens	transmembrane protein 231(TMEM231)
79586	CHPF	Homo sapiens	chondroitin polymerizing factor(CHPF)
1048	CEACAM5	Homo sapiens	carcinoembryonic antigen related cell adhesion molecule 5(CEACAM5)
1047	CLGN	Homo sapiens	calmegin(CLGN)
1045	CDX2	Homo sapiens	caudal type homeobox 2(CDX2)
1063	CENPF	Homo sapiens	centromere protein F(CENPF)
1062	CENPE	Homo sapiens	centromere protein E(CENPE)
59084	ENPP5	Homo sapiens	ectonucleotide pyrophosphatase/phosphodiesterase 5 (putative)(ENPP5)
1060	CENPC	Homo sapiens	centromere protein C(CENPC)
11108	prdm4	Homo sapiens	PR/SET domain 4(PRDM4)
11107	PRDM5	Homo sapiens	PR/SET domain 5(PRDM5)
1058	CENPA	Homo sapiens	centromere protein A(CENPA)
1056	CEL	Homo sapiens	carboxyl ester lipase(CEL)
139411	PTCHD1	Homo sapiens	patched domain containing 1(PTCHD1)
255738	PCSK9	Homo sapiens	proprotein convertase subtilisin/kexin type 9(PCSK9)
11104	KATNA1	Homo sapiens	katanin catalytic subunit A1(KATNA1)
284297	SSC5D	Homo sapiens	scavenger receptor cysteine rich family member with 5 domains(SSC5D)
11103	KRR1	Homo sapiens	KRR1, small subunit processome component homolog(KRR1)
1073	CFL2	Homo sapiens	cofilin 2(CFL2)
1071	CETP	Homo sapiens	cholesteryl ester transfer protein(CETP)
11119	BTN3A1	Homo sapiens	butyrophilin subfamily 3 member A1(BTN3A1)
11118	BTN3A2	Homo sapiens	butyrophilin subfamily 3 member A2(BTN3A2)
255743	NPNT	Homo sapiens	nephronectin(NPNT)
85366	MYLK2	Homo sapiens	myosin light chain kinase 2(MYLK2)
56829	ZC3HAV1	Homo sapiens	zinc finger CCCH-type containing, antiviral 1(ZC3HAV1)
11116	FGFR1OP	Homo sapiens	FGFR1 oncogene partner(FGFR1OP)
1080	CFTR	Homo sapiens	cystic fibrosis transmembrane conductance regulator(CFTR)
84061	MAGT1	Homo sapiens	magnesium transporter 1(MAGT1)
115416	MALSU1	Homo sapiens	mitochondrial assembly of ribosomal large subunit 1(MALSU1)
1081	CGA	Homo sapiens	glycoprotein hormones, alpha polypeptide(CGA)
338557	FFAR4	Homo sapiens	free fatty acid receptor 4(FFAR4)
55502	HES6	Homo sapiens	hes family bHLH transcription factor 6(HES6)
55500	ETNK1	Homo sapiens	ethanolamine kinase 1(ETNK1)
55506	H2AFY2	Homo sapiens	H2A histone family member Y2(H2AFY2)
84069	PLEKHN1	Homo sapiens	pleckstrin homology domain containing N1(PLEKHN1)
55503	trpv6	Homo sapiens	transient receptor potential cation channel subfamily V member 6(TRPV6)
84063	KIRREL2	Homo sapiens	kin of IRRE like 2 (Drosophila)(KIRREL2)
56834	GPR137	Homo sapiens	G protein-coupled receptor 137(GPR137)
55509	BATF3	Homo sapiens	basic leucine zipper ATF-like transcription factor 3(BATF3)
84064	HDHD2	Homo sapiens	haloacid dehalogenase like hydrolase domain containing 2(HDHD2)
284273	ZADH2	Homo sapiens	zinc binding alcohol dehydrogenase domain containing 2(ZADH2)
9810	RNF40	Homo sapiens	ring finger protein 40(RNF40)
9811	CTIF	Homo sapiens	cap binding complex dependent translation initiation factor(CTIF)
152404	igsf11	Homo sapiens	immunoglobulin superfamily member 11(IGSF11)
84056	KATNAL1	Homo sapiens	katanin catalytic subunit A1 like 1(KATNAL1)
56849	Tceal7	Homo sapiens	transcription elongation factor A like 7(TCEAL7)
55515	ASIC4	Homo sapiens	acid sensing ion channel subunit family member 4(ASIC4)
84057	MND1	Homo sapiens	meiotic nuclear divisions 1(MND1)
284266	SIGLEC15	Homo sapiens	sialic acid binding Ig like lectin 15(SIGLEC15)
9807	IP6K1	Homo sapiens	inositol hexakisphosphate kinase 1(IP6K1)
9805	SCRN1	Homo sapiens	secernin 1(SCRN1)
56848	SPHK2	Homo sapiens	sphingosine kinase 2(SPHK2)
9806	SPOCK2	Homo sapiens	SPARC/osteonectin, cwcv and kazal like domains proteoglycan 2(SPOCK2)
84081	NSRP1	Homo sapiens	nuclear speckle splicing regulatory protein 1(NSRP1)
9821	RB1CC1	Homo sapiens	RB1 inducible coiled-coil 1(RB1CC1)
9820	CUL7	Homo sapiens	cullin 7(CUL7)
56853	CELF4	Homo sapiens	CUGBP, Elav-like family member 4(CELF4)
56850	GRIPAP1	Homo sapiens	GRIP1 associated protein 1(GRIPAP1)
55527	FEM1A	Homo sapiens	fem-1 homolog A(FEM1A)
100820829	MYZAP	Homo sapiens	myocardial zonula adherens protein(MYZAP)
9815	GIT2	Homo sapiens	GIT ArfGAP 2(GIT2)
55526	DHTKD1	Homo sapiens	dehydrogenase E1 and transketolase domain containing 1(DHTKD1)
9812	KIAA0141	Homo sapiens	KIAA0141(KIAA0141)
84085	FBXO30	Homo sapiens	F-box protein 30(FBXO30)
55529	TMEM55A	Homo sapiens	transmembrane protein 55A(TMEM55A)
84072	HORMAD1	Homo sapiens	HORMA domain containing 1(HORMAD1)
84071	ARMC2	Homo sapiens	armadillo repeat containing 2(ARMC2)
9833	MELK	Homo sapiens	maternal embryonic leucine zipper kinase(MELK)
9831	ZNF623	Homo sapiens	zinc finger protein 623(ZNF623)
664701	ZNF826P	Homo sapiens	zinc finger protein 826, pseudogene(ZNF826P)
203	AK1	Homo sapiens	adenylate kinase 1(AK1)
207	AKT1	Homo sapiens	AKT serine/threonine kinase 1(AKT1)
84079	ANKRD27	Homo sapiens	ankyrin repeat domain 27(ANKRD27)
54205	CYCS	Homo sapiens	cytochrome c, somatic(CYCS)
55536	CDCA7L	Homo sapiens	cell division cycle associated 7 like(CDCA7L)
9824	ARHGAP11A	Homo sapiens	Rho GTPase activating protein 11A(ARHGAP11A)
9827	RGP1	Homo sapiens	RGP1 homolog, RAB6A GEF complex partner 1(RGP1)
196883	ADCY4	Homo sapiens	adenylate cyclase 4(ADCY4)
54209	TREM2	Homo sapiens	triggering receptor expressed on myeloid cells 2(TREM2)
9828	ARHGEF17	Homo sapiens	Rho guanine nucleotide exchange factor 17(ARHGEF17)
9840	TESPA1	Homo sapiens	thymocyte expressed, positive selection associated 1(TESPA1)
9844	ELMO1	Homo sapiens	engulfment and cell motility 1(ELMO1)
9841	ZBTB24	Homo sapiens	zinc finger and BTB domain containing 24(ZBTB24)
210	ALAD	Homo sapiens	aminolevulinate dehydratase(ALAD)
54210	TREM1	Homo sapiens	triggering receptor expressed on myeloid cells 1(TREM1)
55540	IL17RB	Homo sapiens	interleukin 17 receptor B(IL17RB)
81832	NETO1	Homo sapiens	neuropilin and tolloid like 1(NETO1)
212	alas2	Homo sapiens	5'-aminolevulinate synthase 2(ALAS2)
213	ALB	Homo sapiens	albumin(ALB)
114132	SIGLEC11	Homo sapiens	sialic acid binding Ig like lectin 11(SIGLEC11)
214	ALCAM	Homo sapiens	activated leukocyte cell adhesion molecule(ALCAM)
215	ABCD1	Homo sapiens	ATP binding cassette subfamily D member 1(ABCD1)
216	ALDH1A1	Homo sapiens	aldehyde dehydrogenase 1 family member A1(ALDH1A1)
217	ALDH2	Homo sapiens	aldehyde dehydrogenase 2 family (mitochondrial)(ALDH2)
218	aldh3a1	Homo sapiens	aldehyde dehydrogenase 3 family member A1(ALDH3A1)
9837	GINS1	Homo sapiens	GINS complex subunit 1(GINS1)
219	ALDH1B1	Homo sapiens	aldehyde dehydrogenase 1 family member B1(ALDH1B1)
8503	PIK3R3	Homo sapiens	phosphoinositide-3-kinase regulatory subunit 3(PIK3R3)
8507	ENC1	Homo sapiens	ectodermal-neural cortex 1(ENC1)
8508	NIPSNAP1	Homo sapiens	nipsnap homolog 1 (C. elegans)(NIPSNAP1)
9839	ZEB2	Homo sapiens	zinc finger E-box binding homeobox 2(ZEB2)
9851	KIAA0753	Homo sapiens	KIAA0753(KIAA0753)
169270	ZNF596	Homo sapiens	zinc finger protein 596(ZNF596)
8521	GCM1	Homo sapiens	glial cells missing homolog 1(GCM1)
9852	EPM2AIP1	Homo sapiens	EPM2A interacting protein 1(EPM2AIP1)
8522	GAS7	Homo sapiens	growth arrest specific 7(GAS7)
221	ALDH3B1	Homo sapiens	aldehyde dehydrogenase 3 family member B1(ALDH3B1)
54221	SNTG2	Homo sapiens	syntrophin gamma 2(SNTG2)
56886	UGGT1	Homo sapiens	UDP-glucose glycoprotein glucosyltransferase 1(UGGT1)
222	aldh3b2	Homo sapiens	aldehyde dehydrogenase 3 family member B2(ALDH3B2)
223	ALDH9A1	Homo sapiens	aldehyde dehydrogenase 9 family member A1(ALDH9A1)
56888	KCMF1	Homo sapiens	potassium channel modulatory factor 1(KCMF1)
171586	ABHD3	Homo sapiens	abhydrolase domain containing 3(ABHD3)
226	ALDOA	Homo sapiens	aldolase, fructose-bisphosphate A(ALDOA)
8516	ITGA8	Homo sapiens	integrin subunit alpha 8(ITGA8)
229	ALDOB	Homo sapiens	aldolase, fructose-bisphosphate B(ALDOB)
8517	IKBKG	Homo sapiens	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma(IKBKG)
55559	HAUS7	Homo sapiens	HAUS augmin like complex subunit 7(HAUS7)
8515	ITGA10	Homo sapiens	integrin subunit alpha 10(ITGA10)
9846	GAB2	Homo sapiens	GRB2 associated binding protein 2(GAB2)
56889	TM9SF3	Homo sapiens	transmembrane 9 superfamily member 3(TM9SF3)
8518	IKBKAP	Homo sapiens	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase complex-associated protein(IKBKAP)
8519	ifitm1	Homo sapiens	interferon induced transmembrane protein 1(IFITM1)
8530	CST7	Homo sapiens	cystatin F(CST7)
326624	RAB37	Homo sapiens	RAB37, member RAS oncogene family(RAB37)
8531	YBX3	Homo sapiens	Y-box binding protein 3(YBX3)
7200	TRH	Homo sapiens	thyrotropin releasing hormone(TRH)
11061	LECT1	Homo sapiens	leukocyte cell derived chemotaxin 1(LECT1)
326625	MMAB	Homo sapiens	methylmalonic aciduria (cobalamin deficiency) cblB type(MMAB)
619279	ZNF704	Homo sapiens	zinc finger protein 704(ZNF704)
8535	CBX4	Homo sapiens	chromobox 4(CBX4)
11065	UBE2C	Homo sapiens	ubiquitin conjugating enzyme E2 C(UBE2C)
11064	CNTRL	Homo sapiens	centriolin(CNTRL)
230	ALDOC	Homo sapiens	aldolase, fructose-bisphosphate C(ALDOC)
238	ALK	Homo sapiens	anaplastic lymphoma receptor tyrosine kinase(ALK)
8527	DGKD	Homo sapiens	diacylglycerol kinase delta(DGKD)
9858	PPP1R26	Homo sapiens	protein phosphatase 1 regulatory subunit 26(PPP1R26)
11067	C10orf10	Homo sapiens	chromosome 10 open reading frame 10(C10orf10)
11069	RAPGEF4	Homo sapiens	Rap guanine nucleotide exchange factor 4(RAPGEF4)
139378	ADGRG4	Homo sapiens	adhesion G protein-coupled receptor G4(ADGRG4)
8526	DGKE	Homo sapiens	diacylglycerol kinase epsilon(DGKE)
152330	CNTN4	Homo sapiens	contactin 4(CNTN4)
8542	APOL1	Homo sapiens	apolipoprotein L1(APOL1)
9873	FCHSD2	Homo sapiens	FCH and double SH3 domains 2(FCHSD2)
8545	CGGBP1	Homo sapiens	CGG triplet repeat binding protein 1(CGGBP1)
11074	TRIM31	Homo sapiens	tripartite motif containing 31(TRIM31)
11073	TOPBP1	Homo sapiens	topoisomerase (DNA) II binding protein 1(TOPBP1)
8543	LMO4	Homo sapiens	LIM domain only 4(LMO4)
9874	TLK1	Homo sapiens	tousled like kinase 1(TLK1)
11076	TPPP	Homo sapiens	tubulin polymerization promoting protein(TPPP)
8544	PIR	Homo sapiens	pirin(PIR)
9875	URB1	Homo sapiens	URB1 ribosome biogenesis 1 homolog (S. cerevisiae)(URB1)
11075	STMN2	Homo sapiens	stathmin 2(STMN2)
23057	NMNAT2	Homo sapiens	nicotinamide nucleotide adenylyltransferase 2(NMNAT2)
164312	LRRN4	Homo sapiens	leucine rich repeat neuronal 4(LRRN4)
23059	CLUAP1	Homo sapiens	clusterin associated protein 1(CLUAP1)
240	ALOX5	Homo sapiens	arachidonate 5-lipoxygenase(ALOX5)
241	ALOX5AP	Homo sapiens	arachidonate 5-lipoxygenase activating protein(ALOX5AP)
23051	ZHX3	Homo sapiens	zinc fingers and homeoboxes 3(ZHX3)
138050	HGSNAT	Homo sapiens	heparan-alpha-glucosaminide N-acetyltransferase(HGSNAT)
246	ALOX15	Homo sapiens	arachidonate 15-lipoxygenase(ALOX15)
248	ALPI	Homo sapiens	alkaline phosphatase, intestinal(ALPI)
8538	barx2	Homo sapiens	BARX homeobox 2(BARX2)
9869	SETDB1	Homo sapiens	SET domain bifurcated 1(SETDB1)
11078	TRIOBP	Homo sapiens	TRIO and F-actin binding protein(TRIOBP)
7205	TRIP6	Homo sapiens	thyroid hormone receptor interactor 6(TRIP6)
11077	HSF2BP	Homo sapiens	heat shock transcription factor 2 binding protein(HSF2BP)
9867	PJA2	Homo sapiens	praja ring finger ubiquitin ligase 2(PJA2)
8537	BCAS1	Homo sapiens	breast carcinoma amplified sequence 1(BCAS1)
9868	TOMM70	Homo sapiens	translocase of outer mitochondrial membrane 70(TOMM70)
11079	RER1	Homo sapiens	retention in endoplasmic reticulum sorting receptor 1(RER1)
151011	SEPT10	Homo sapiens	septin 10(SEPT10)
7220	TRPC1	Homo sapiens	transient receptor potential cation channel subfamily C member 1(TRPC1)
7222	TRPC3	Homo sapiens	transient receptor potential cation channel subfamily C member 3(TRPC3)
9882	TBC1D4	Homo sapiens	TBC1 domain family member 4(TBC1D4)
8556	CDC14A	Homo sapiens	cell division cycle 14A(CDC14A)
9887	SMG7	Homo sapiens	SMG7, nonsense mediated mRNA decay factor(SMG7)
11040	PIM2	Homo sapiens	Pim-2 proto-oncogene, serine/threonine kinase(PIM2)
7226	TRPM2	Homo sapiens	transient receptor potential cation channel subfamily M member 2(TRPM2)
8554	PIAS1	Homo sapiens	protein inhibitor of activated STAT 1(PIAS1)
9885	OSBPL2	Homo sapiens	oxysterol binding protein like 2(OSBPL2)
165679	SPTSSB	Homo sapiens	serine palmitoyltransferase small subunit B(SPTSSB)
7225	TRPC6	Homo sapiens	transient receptor potential cation channel subfamily C member 6(TRPC6)
8555	CDC14B	Homo sapiens	cell division cycle 14B(CDC14B)
9886	RHOBTB1	Homo sapiens	Rho related BTB domain containing 1(RHOBTB1)
23024	PDZRN3	Homo sapiens	PDZ domain containing ring finger 3(PDZRN3)
114049	WBSCR22	Homo sapiens	Williams-Beuren syndrome chromosome region 22(WBSCR22)
23025	UNC13A	Homo sapiens	unc-13 homolog A(UNC13A)
250	Alpp	Homo sapiens	alkaline phosphatase, placental(ALPP)
23028	KDM1A	Homo sapiens	lysine demethylase 1A(KDM1A)
251	ALPPL2	Homo sapiens	alkaline phosphatase, placental like 2(ALPPL2)
257	ALX3	Homo sapiens	ALX homeobox 3(ALX3)
259	AMBP	Homo sapiens	alpha-1-microglobulin/bikunin precursor(AMBP)
85313	PPIL4	Homo sapiens	peptidylprolyl isomerase like 4(PPIL4)
23022	PALLD	Homo sapiens	palladin, cytoskeletal associated protein(PALLD)
8549	LGR5	Homo sapiens	leucine rich repeat containing G protein-coupled receptor 5(LGR5)
11045	UPK1A	Homo sapiens	uroplakin 1A(UPK1A)
7216	TRO	Homo sapiens	trophinin(TRO)
8547	FCN3	Homo sapiens	ficolin 3(FCN3)
11047	ADRM1	Homo sapiens	adhesion regulating molecule 1(ADRM1)
138065	RNF183	Homo sapiens	ring finger protein 183(RNF183)
9894	TELO2	Homo sapiens	telomere maintenance 2(TELO2)
8564	KMO	Homo sapiens	kynurenine 3-monooxygenase(KMO)
9898	UBAP2L	Homo sapiens	ubiquitin associated protein 2 like(UBAP2L)
8568	RRP1	Homo sapiens	ribosomal RNA processing 1(RRP1)
11051	NUDT21	Homo sapiens	nudix hydrolase 21(NUDT21)
8565	YARS	Homo sapiens	tyrosyl-tRNA synthetase(YARS)
9896	FIG4	Homo sapiens	FIG4 phosphoinositide 5-phosphatase(FIG4)
8566	PDXK	Homo sapiens	pyridoxal (pyridoxine, vitamin B6) kinase(PDXK)
9897	KIAA0196	Homo sapiens	KIAA0196(KIAA0196)
23035	PHLPP2	Homo sapiens	PH domain and leucine rich repeat protein phosphatase 2(PHLPP2)
9891	NUAK1	Homo sapiens	NUAK family kinase 1(NUAK1)
262	AMD1	Homo sapiens	adenosylmethionine decarboxylase 1(AMD1)
269	AMHR2	Homo sapiens	anti-Mullerian hormone receptor type 2(AMHR2)
23031	MAST3	Homo sapiens	microtubule associated serine/threonine kinase 3(MAST3)
85302	FBF1	Homo sapiens	Fas binding factor 1(FBF1)
11059	WWP1	Homo sapiens	WW domain containing E3 ubiquitin protein ligase 1(WWP1)
8574	AKR7A2	Homo sapiens	aldo-keto reductase family 7 member A2(AKR7A2)
