##Databases: PANTHER, KEGG PATHWAY, Reactome, BioCyc
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Regulation of PTEN gene transcription	Reactome	R-HSA-8943724	14	59	2.30724137691e-09	1.91358881971e-08	HDAC1|HDAC3|TP53|CHD4|JUN|RBBP7|RBBP4|PPARG|EZH2|PHC1|HDAC5|PHC2|EED|MAPK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8943724
VEGFA-VEGFR2 Pathway	Reactome	R-HSA-4420097	17	97	2.66276295068e-09	2.19803545457e-08	NCF1|THEM4|WASF3|PIK3CA|HSPB1|FYN|AKT1|SH2D2A|AKT3|MAPK11|PIK3R2|PIK3R1|CRK|BAIAP2|CDH5|AXL|CAV1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-4420097
Global Genome Nucleotide Excision Repair (GG-NER)	Reactome	R-HSA-5696399	16	84	2.71798334496e-09	2.23308490783e-08	UBE2I|GPS1|YY1|COPS2|INO80B|XPA|ERCC4|GTF2H5|GTF2H4|GTF2H1|PIAS1|CDK7|RUVBL1|MNAT1|CCNH|ERCC2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5696399
Nucleotide Excision Repair	Reactome	R-HSA-5696398	18	111	2.7321219541e-09	2.23421187835e-08	UBE2I|GPS1|YY1|HMGN1|COPS2|INO80B|XPA|ERCC4|GTF2H5|GTF2H4|GTF2H1|PIAS1|CDK7|RUVBL1|MNAT1|TCEA1|CCNH|ERCC2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5696398
@@Nucleotide excision repair	KEGG PATHWAY	hsa03420	9	47	7.91169585664e-06	3.25775711744e-05	XPA|ERCC4|GTF2H5|GTF2H4|GTF2H1|CDK7|MNAT1|CCNH|ERCC2	http://www.genome.jp/kegg-bin/show_pathway?hsa03420/hsa:7507%09red/hsa:2968%09red/hsa:1022%09red/hsa:902%09red/hsa:2072%09red/hsa:2965%09red/hsa:404672%09red/hsa:4331%09red/hsa:2068%09red
Interleukin-17 signaling	Reactome	R-HSA-448424	15	72	2.9246862512e-09	2.38055857656e-08	MAP3K8|TRAF6|PPP2CA|DUSP7|JUN|RPS6KA2|RIPK2|IKBKG|NFKB1|PPP2R5D|MAPK1|MAPK8|IL17RB|DUSP3|MAPK11	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-448424
Antigen processing-Cross presentation	Reactome	R-HSA-1236975	17	98	3.05437900658e-09	2.47461262107e-08	MRC1|NCF1|PSMD9|BTK|PSMA1|RPN2|PSMD13|CD14|TLR1|IKBKG|TLR4|PSMD4|PSMC1|MYD88|PSMC4|PSMC5|PSMC6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1236975
Toll Like Receptor 10 (TLR10) Cascade	Reactome	R-HSA-168142	16	85	3.1571280291e-09	2.52281920134e-08	MAP3K8|TRAF6|PPP2CA|HMGB1|JUN|RPS6KA2|RIPK2|IKBKG|NFKB1|PPP2R5D|MAPK1|MAPK8|MYD88|DUSP7|DUSP3|MAPK11	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168142
Toll Like Receptor 5 (TLR5) Cascade	Reactome	R-HSA-168176	16	85	3.1571280291e-09	2.52281920134e-08	MAP3K8|TRAF6|PPP2CA|HMGB1|JUN|RPS6KA2|RIPK2|IKBKG|NFKB1|PPP2R5D|MAPK1|MAPK8|MYD88|DUSP7|DUSP3|MAPK11	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168176
MyD88 cascade initiated on plasma membrane	Reactome	R-HSA-975871	16	85	3.1571280291e-09	2.52281920134e-08	MAP3K8|TRAF6|PPP2CA|HMGB1|JUN|RPS6KA2|RIPK2|IKBKG|NFKB1|PPP2R5D|MAPK1|MAPK8|MYD88|DUSP7|DUSP3|MAPK11	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-975871
Toll receptor signaling pathway	PANTHER	P00054	13	50	3.3454345724e-09	2.66114113714e-08	PTGS2|MAP3K8|TLR9|TRAF6|JUN|TNFAIP3|TLR3|CD14|TLR4|IRAK3|TLR8|MYD88|MAPK8	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00054
Relaxin signaling pathway	KEGG PATHWAY	hsa04926	19	130	4.62688886654e-09	3.66382602554e-08	SRC|SHC1|ADCY3|NFKB1|ADCY8|CREB5|JUN|GNG11|AKT1|PIK3CA|AKT3|PIK3R3|PIK3R2|PIK3R1|ARRB1|MAPK1|MAPK8|TGFBR2|MAPK11	http://www.genome.jp/kegg-bin/show_pathway?hsa04926/hsa:5600%09red/hsa:9586%09red/hsa:5594%09red/hsa:8503%09red/hsa:408%09red/hsa:10000%09red/hsa:5290%09red/hsa:2791%09red/hsa:3725%09red/hsa:5295%09red/hsa:5296%09red/hsa:4790%09red/hsa:5599%09red/hsa:114%09red/hsa:6714%09red/hsa:109%09red/hsa:6464%09red/hsa:207%09red/hsa:7048%09red
Human immunodeficiency virus 1 infection	KEGG PATHWAY	hsa05170	24	212	4.68750050183e-09	3.69510174694e-08	NFATC4|AKT1|AKT3|IKBKG|CRK|FAS|JUN|GNG11|MAPK1|PIK3R3|PIK3R2|PIK3R1|NFKB1|MAPK8|MYD88|CHEK1|TRAF6|CDC25C|CCNB2|PLCG2|CD247|TLR4|PIK3CA|MAPK11	http://www.genome.jp/kegg-bin/show_pathway?hsa05170/hsa:8503%09red/hsa:10000%09red/hsa:2791%09red/hsa:3725%09red/hsa:5594%09red/hsa:355%09red/hsa:1111%09red/hsa:7099%09red/hsa:4776%09red/hsa:7189%09red/hsa:5599%09red/hsa:9133%09red/hsa:5600%09red/hsa:5336%09red/hsa:8517%09red/hsa:4615%09red/hsa:995%09red/hsa:5290%09red/hsa:5295%09red/hsa:5296%09red/hsa:4790%09red/hsa:207%09red/hsa:919%09red/hsa:1398%09red
Glioma	KEGG PATHWAY	hsa05214	15	75	4.75439346205e-09	3.73102625946e-08	IGF1R|E2F3|SHC1|E2F1|AKT1|PIK3CA|CAMK2B|TEP1|PLCG2|AKT3|PIK3R3|PIK3R2|PIK3R1|TP53|MAPK1	http://www.genome.jp/kegg-bin/show_pathway?hsa05214/hsa:5336%09red/hsa:5594%09red/hsa:8503%09red/hsa:10000%09red/hsa:5290%09red/hsa:816%09red/hsa:3480%09red/hsa:5295%09red/hsa:5296%09red/hsa:5728%09red/hsa:1871%09red/hsa:7157%09red/hsa:1869%09red/hsa:207%09red/hsa:6464%09red
PI3K/AKT Signaling in Cancer	Reactome	R-HSA-2219528	16	88	4.89436040439e-09	3.82371906593e-08	SRC|TEP1|PIK3CA|NR4A1|FYN|IRS2|KIT|AKT1|FOXO1|AKT3|PIK3R3|PIK3R2|PIK3R1|FOXO4|TSC2|CD19	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2219528
MAP kinase activation	Reactome	R-HSA-450294	14	64	5.70708910249e-09	4.43884707972e-08	MAP3K8|TRAF6|PPP2CA|JUN|RPS6KA2|RIPK2|IKBKG|NFKB1|PPP2R5D|MAPK1|MAPK8|DUSP7|DUSP3|MAPK11	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-450294
Costimulation by the CD28 family	Reactome	R-HSA-388841	14	65	6.7816583016e-09	5.22815067304e-08	MAP3K8|THEM4|GRAP2|PPP2CA|PIK3CA|FYN|AKT1|AKT3|PIK3R3|PIK3R2|PIK3R1|PPP2R5D|PTPN6|PPP2R5C	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-388841
TP53 Regulates Transcription of DNA Repair Genes	Reactome	R-HSA-6796648	14	65	6.7816583016e-09	5.22815067304e-08	BRCA1|TP53|TCEB3|ERCC2|JUN|GTF2H5|GTF2H4|CDK7|CDK9|MNAT1|TCEA1|CCNH|GTF2H1|CHEK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6796648
DNA Double-Strand Break Repair	Reactome	R-HSA-5693532	21	166	7.37128836474e-09	5.65778712206e-08	UBE2I|BRCA1|CCNA2|CCNA1|TOPBP1|TIPIN|TIMELESS|ERCC4|CLSPN|H2AFX|PPP4R2|RNF4|PPP4C|TP53|BRIP1|BRE|XRCC6|CHEK2|MAPK8|UIMC1|CHEK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5693532
Cyclin A/B1/B2 associated events during G2/M transition	Reactome	R-HSA-69273	10	25	7.43829399468e-09	5.6842858038e-08	LCMT1|CCNB2|CCNA2|CCNA1|PPP2CA|PPP2R2A|CDC25C|CDK7|MNAT1|CCNH	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69273
G1/S DNA Damage Checkpoints	Reactome	R-HSA-69615	14	66	8.03693488818e-09	6.11505915405e-08	RPN2|CCNA2|TP53|CCNA1|PSMD4|PSMD9|PSMD13|CHEK2|PSMA1|PSMC1|PSMC4|PSMC5|PSMC6|CHEK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69615
Organelle biogenesis and maintenance	Reactome	R-HSA-1852241	28	294	8.40944653866e-09	6.37079283232e-08	HDAC3|TUBA8|IFT20|HDAC6|HSPA9|PLK4|ARL6|PRKAR2B|MAPK11|NDE1|NCOR1|NCOA1|HCFC1|TUBA1A|PPARGC1A|PPARGC1B|CCT5|CSNK1D|DLC1|ESRRA|IFT57|RXRA|FBF1|PAFAH1B1|PKD2|KIF17|CEP72|CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1852241
Th1 and Th2 cell differentiation	KEGG PATHWAY	hsa04658	16	92	8.5728539493e-09	6.46659241865e-08	IL2RA|IL2RB|IL4R|STAT6|JUN|RUNX3|STAT5A|CD247|MAPK11|IKBKG|NFKB1|MAPK1|MAPK8|TYK2|ZAP70|STAT5B	http://www.genome.jp/kegg-bin/show_pathway?hsa04658/hsa:6776%09red/hsa:6777%09red/hsa:919%09red/hsa:8517%09red/hsa:7535%09red/hsa:3560%09red/hsa:7297%09red/hsa:3725%09red/hsa:3566%09red/hsa:864%09red/hsa:4790%09red/hsa:3559%09red/hsa:5594%09red/hsa:5599%09red/hsa:6778%09red/hsa:5600%09red
Signaling by VEGF	Reactome	R-HSA-194138	17	106	8.69517600818e-09	6.53071159413e-08	NCF1|THEM4|WASF3|PIK3CA|HSPB1|FYN|AKT1|SH2D2A|AKT3|MAPK11|PIK3R2|PIK3R1|CRK|BAIAP2|CDH5|AXL|CAV1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-194138
Regulation of lipolysis in adipocytes	KEGG PATHWAY	hsa04923	13	55	8.95969046534e-09	6.70062321126e-08	PTGS2|ADCY3|PIK3CA|ADCY8|IRS2|PDE3B|AKT1|ADRB2|AKT3|PIK3R3|PIK3R2|PIK3R1|NPPA	http://www.genome.jp/kegg-bin/show_pathway?hsa04923/hsa:5140%09red/hsa:8660%09red/hsa:10000%09red/hsa:5290%09red/hsa:5743%09red/hsa:154%09red/hsa:8503%09red/hsa:5295%09red/hsa:5296%09red/hsa:4878%09red/hsa:114%09red/hsa:109%09red/hsa:207%09red
Separation of Sister Chromatids	Reactome	R-HSA-2467813	22	186	9.91869199991e-09	7.38625999993e-08	RPN2|TUBA8|PSMD9|PSMD4|ITGB3BP|MAD2L1|NDE1|MAD1L1|TUBA1A|PSMA1|CDCA5|PSMC1|DLC1|PSMC5|PSMC6|KIF18A|PAFAH1B1|PPP2CA|PSMC4|PSMD13|PPP2R5D|PPP2R5C	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2467813
Interleukin-4 and Interleukin-13 signaling	Reactome	R-HSA-6785807	17	108	1.11442990835e-08	8.22759350305e-08	STAT6|ICAM1|TP53|IL4R|CEBPD|MUC1|TYK2|MAOA|RORA|AKT1|FOXO1|PTGS2|MCL1|PIK3R1|IL1B|BCL6|MYC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6785807
Regulation of PTEN stability and activity	Reactome	R-HSA-8948751	14	68	1.12001939702e-08	8.22759350305e-08	RPN2|TEP1|PSMA1|PSMD9|TRIM27|NEDD4|PSMD13|AKT1|AKT3|PSMD4|PSMC1|PSMC4|PSMC5|PSMC6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8948751
Hippo signaling pathway	KEGG PATHWAY	hsa04390	20	154	1.12106493395e-08	8.22759350305e-08	TCF4|TGFB2|WNT4|PPP1CA|PPP2CA|FZD9|PPP2R2A|CTGF|PARD6A|BIRC2|RASSF1|CSNK1D|DVL1|TP73|TP53BP2|MYC|ID1|WNT7A|TGFBR2|WNT2	http://www.genome.jp/kegg-bin/show_pathway?hsa04390/hsa:7159%09red/hsa:7476%09red/hsa:5520%09red/hsa:7042%09red/hsa:7472%09red/hsa:329%09red/hsa:5515%09red/hsa:7161%09red/hsa:8326%09red/hsa:50855%09red/hsa:1453%09red/hsa:1855%09red/hsa:3397%09red/hsa:5499%09red/hsa:4609%09red/hsa:54361%09red/hsa:6934%09red/hsa:11186%09red/hsa:1490%09red/hsa:7048%09red
Fc gamma R-mediated phagocytosis	KEGG PATHWAY	hsa04666	16	94	1.12365419842e-08	8.22759350305e-08	SPHK2|NCF1|WASF3|PIP5K1B|PRKCE|GAB2|PIK3R3|PLCG2|AKT3|AKT1|PIK3R2|PIK3R1|PIK3CA|CRK|MAPK1|PTPRC	http://www.genome.jp/kegg-bin/show_pathway?hsa04666/hsa:5336%09red/hsa:5594%09red/hsa:8503%09red/hsa:5581%09red/hsa:10000%09red/hsa:56848%09red/hsa:1398%09red/hsa:5295%09red/hsa:5296%09red/hsa:5290%09red/hsa:8395%09red/hsa:5788%09red/hsa:9846%09red/hsa:653361%09red/hsa:207%09red/hsa:10810%09red
Cushing syndrome	KEGG PATHWAY	hsa04934	20	155	1.23710607581e-08	9.0205651361e-08	CDKN2C|WNT4|E2F3|E2F1|ADCY3|SP1|CREB5|NR4A1|ADCY8|SCG2|RAP1A|CACNA1G|DVL1|CAMK2B|FZD9|MAPK1|TCF4|PBX1|WNT7A|WNT2	http://www.genome.jp/kegg-bin/show_pathway?hsa04934/hsa:7476%09red/hsa:9586%09red/hsa:5594%09red/hsa:7472%09red/hsa:1031%09red/hsa:5906%09red/hsa:816%09red/hsa:4221%09red/hsa:5087%09red/hsa:3164%09red/hsa:1871%09red/hsa:1855%09red/hsa:8913%09red/hsa:114%09red/hsa:109%09red/hsa:1869%09red/hsa:6667%09red/hsa:6934%09red/hsa:8326%09red/hsa:54361%09red
Platelet activation	KEGG PATHWAY	hsa04611	18	124	1.28842817949e-08	9.35580628261e-08	RASGRP2|SRC|BTK|ADCY3|ADCY8|PPP1CA|FYN|RAP1A|PIK3R3|PLCG2|AKT3|AKT1|PIK3R2|PIK3R1|PIK3CA|LCP2|MAPK1|MAPK11	http://www.genome.jp/kegg-bin/show_pathway?hsa04611/hsa:5336%09red/hsa:5594%09red/hsa:8503%09red/hsa:5906%09red/hsa:10000%09red/hsa:695%09red/hsa:5290%09red/hsa:5600%09red/hsa:2534%09red/hsa:5295%09red/hsa:5296%09red/hsa:6714%09red/hsa:5499%09red/hsa:3937%09red/hsa:114%09red/hsa:10235%09red/hsa:109%09red/hsa:207%09red
Regulation of TP53 Expression and Degradation	Reactome	R-HSA-6806003	11	36	1.32711825068e-08	9.59692949871e-08	DAXX|CCNA2|CCNA1|PPP2CA|RFFL|AKT1|AKT3|PRDM1|TP53|CHEK2|PPP2R5C	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6806003
G0 and Early G1	Reactome	R-HSA-1538133	10	27	1.35041492577e-08	9.72521037074e-08	HDAC1|E2F4|CCNA2|E2F1|CCNA1|LIN37|RBBP4|MYC|CDC6|TOP2A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1538133
C-type lectin receptors (CLRs)	Reactome	R-HSA-5621481	19	140	1.36851288736e-08	9.79476661232e-08	CREBBP|RPN2|PSMD9|TRAF6|PSMD4|CARD11|FYN|CLEC4A|PSMC5|PSMD13|PLCG2|PSMA1|IKBKG|NFKB1|PSMC1|IL1B|PSMC4|MUC1|PSMC6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5621481
ER-Phagosome pathway	Reactome	R-HSA-1236974	15	82	1.37126732572e-08	9.79476661232e-08	BTK|RPN2|PSMD9|PSMA1|PSMD13|CD14|TLR1|IKBKG|TLR4|PSMD4|PSMC1|MYD88|PSMC4|PSMC5|PSMC6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1236974
Metabolism	Reactome	R-HSA-1430728	96	2075	1.47752989399e-08	1.05108833922e-07	PTGS2|RPN2|SLC6A8|NQO2|AKT1|CAV1|PIK3CA|GNG11|RORA|RARS|PIP4K2A|PIP4K2C|IARS|TEP1|EXT1|SP1|TPR|SHMT2|AKAP5|ADCY3|PPP2CA|ACSL3|INPP5K|ADCY8|FA2H|PARP10|PSMC5|BST1|HYAL2|NME3|VDR|UROS|THEM4|PPARGC1A|PPARGC1B|ITPKA|PAICS|PIK3R3|PIK3R2|PIK3R1|NR1H2|PPARG|TK1|GARS|UBE2I|G6PD|PSMD13|MAOA|CRLS1|EEF1E1|CREBBP|AASDHPPT|HDAC3|RAP1A|PRKAR2B|BRIP1|NCOR1|NCOA1|ADIPOR1|FHL2|PSMA1|MECR|NDUFA7|PODXL2|RXRA|NFYB|DLST|AK1|PGLS|PRKD1|GLS2|SPHK2|PSMD9|PSMD4|ERCC2|PCBD1|AIMP2|AGRN|PLCG2|CAD|CPNE7|NPAS2|IMPDH2|PSMC1|EPRS|PSMC4|LDHA|PSMC6|SIN3A|ESRRA|PPP2R5D|SUCLG1|ALDOB|DHCR24|PPP1CA|PIP5K1B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1430728
Signaling by Rho GTPases	Reactome	R-HSA-194315	35	449	1.48740488051e-08	1.05382936878e-07	MYH10|NCF1|TUBA8|NOXO1|SCG2|NOXA1|ITGB3BP|CTTN|MAPK11|NDE1|ARHGEF10L|ARAP1|WASF3|MAD1L1|TUBA1A|FMNL1|TIAM1|DVL1|PIK3R2|ARHGAP29|DLC1|ARHGEF15|CDC25C|KIF18A|BRCC3|PAFAH1B1|PPP2CA|H2AFX|SFN|MAPK1|PPP2R5D|BAIAP2|MAD2L1|BTK|PPP2R5C	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-194315
Transcription regulation by bZIP transcription factor	PANTHER	P00055	12	47	1.59896942098e-08	1.12830503497e-07	GTF2E1|TAF2|TBP|CREB5|GTF2H4|GTF2B|PRKAR2B|GTF2A1|GTF2A2|BRF2|GTF2H1|CREBBP	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00055
Activation of ATR in response to replication stress	Reactome	R-HSA-176187	11	37	1.68383458295e-08	1.18341787958e-07	MCM10|CLSPN|CDC25C|MCM7|MCM6|MCM5|DBF4|MCM2|MCM3|CDC6|CHEK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-176187
Processing of DNA double-strand break ends	Reactome	R-HSA-5693607	16	98	1.89570783054e-08	1.32699548138e-07	UBE2I|BRCA1|CCNA2|CCNA1|TOPBP1|TIPIN|TIMELESS|PPP4C|CLSPN|H2AFX|PPP4R2|BRIP1|BRE|RNF4|UIMC1|CHEK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5693607
Signaling by TGF-beta Receptor Complex	Reactome	R-HSA-170834	14	72	2.11258450321e-08	1.47291748232e-07	HDAC1|TGFBR2|E2F4|PPP1CA|SP1|SCG2|PARD6A|UBE2D3|NEDD4L|PMEPA1|CDK9|MYC|SKI|NCOR1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-170834
Ovarian tumor domain proteases	Reactome	R-HSA-5689896	11	38	2.12355593236e-08	1.47469161969e-07	TP53|TRAF6|TEP1|TRIM25|TNFAIP3|VCP|TNIP1|IKBKG|ZRANB1|MAVS|RIPK2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5689896
Class I MHC mediated antigen processing & presentation	Reactome	R-HSA-983169	31	370	2.16619897144e-08	1.49835897234e-07	TRIM11|NCF1|PSMD9|PSMD4|FBXO11|RPN2|UBE2D3|IKBKG|FBXO7|MRC1|ZBTB16|NEDD4|PSMA1|PSMC1|MYD88|PSMC4|PSMC5|PSMC6|CUL3|HUWE1|RBCK1|TLR4|THOP1|RBBP6|PSMD13|NEDD4L|CD14|TLR1|HECW2|RNF4|BTK	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-983169
RUNX1 regulates transcription of genes involved in differentiation of HSCs	Reactome	R-HSA-8939236	18	129	2.23073285157e-08	1.53692224025e-07	RPN2|SPI1|PSMD9|TCF3|CCNH|CDK7|H2AFX|PSMD13|GATA2|CBFB|TP73|PSMD4|PSMC1|MNAT1|PSMC4|PSMC5|PSMC6|PSMA1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8939236
Metabolism of RNA	Reactome	R-HSA-8953854	44	667	2.36369976207e-08	1.62214689554e-07	TNFSF13|RPN2|PSMD9|PNRC2|PSMD4|ERCC2|AKT1|MAPK11|NIP7|CCAR1|SMG5|SMG7|SMG6|ELAC2|MPP6|ETF1|CSNK1D|PSMA1|SF3A1|PSMC1|EPRS|PSMC4|PSMC5|PSMC6|OSGEP|HSPB1|GTF2H1|PPP2R2A|GTF2H5|GTF2H4|UTP14A|TPR|MNAT1|DDX21|EDC3|PPP2CA|CSTF1|PSMD13|DDX5|ZFP36|EMG1|CDK7|CCNH|WBP4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8953854
RET signaling	Reactome	R-HSA-8853659	11	39	2.66270104813e-08	1.82020579462e-07	IRS2|SHC1|PIK3CA|GAB2|GRB7|RET|DOK6|PIK3R2|PIK3R1|PIK3R3|SHANK3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8853659
Signaling by TGF-beta family members	Reactome	R-HSA-9006936	16	101	2.76452219753e-08	1.88245674929e-07	HDAC1|TGFBR2|E2F4|PPP1CA|SP1|SCG2|PARD6A|FSTL3|UBE2D3|NEDD4L|ACVRL1|PMEPA1|CDK9|MYC|SKI|NCOR1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9006936
Regulation of TP53 Activity through Acetylation	Reactome	R-HSA-6804758	10	30	3.07575331791e-08	2.06917441878e-07	HDAC1|TP53|CHD4|MEAF6|RBBP7|RBBP4|AKT1|AKT3|PIP4K2A|PIP4K2C	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6804758
Activation of BH3-only proteins	Reactome	R-HSA-114452	10	30	3.07575331791e-08	2.06917441878e-07	TP63|TP53|E2F1|TP73|SFN|AKT1|AKT3|TP53BP2|MAPK8|DLC1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-114452
Longevity regulating pathway - multiple species	KEGG PATHWAY	hsa04213	13	62	3.09025148247e-08	2.06917441878e-07	HDAC1|IGF1R|ADCY3|PIK3CA|ADCY8|SIRT1|IRS2|AKT1|FOXO1|AKT3|PIK3R3|PIK3R2|PIK3R1	http://www.genome.jp/kegg-bin/show_pathway?hsa04213/hsa:8503%09red/hsa:8660%09red/hsa:10000%09red/hsa:5290%09red/hsa:3480%09red/hsa:5295%09red/hsa:5296%09red/hsa:3065%09red/hsa:23411%09red/hsa:114%09red/hsa:109%09red/hsa:207%09red/hsa:2308%09red
Cytokine-cytokine receptor interaction	KEGG PATHWAY	hsa04060	27	294	3.09784970126e-08	2.06917441878e-07	TNFSF13|IL7R|TGFB2|IL1RL1|GHR|IFNAR2|TNFRSF17|LIFR|IL27|TSLP|IL1B|PRLR|FAS|TGFBR2|ACVRL1|IL4R|IL31RA|CD40|IL33|CXCL12|IL2RA|IL2RB|CCL18|IL27RA|IL15|IL15RA|IL17RB	http://www.genome.jp/kegg-bin/show_pathway?hsa04060/hsa:3601%09red/hsa:3600%09red/hsa:3560%09red/hsa:246778%09red/hsa:3566%09red/hsa:9466%09red/hsa:355%09red/hsa:608%09red/hsa:133396%09red/hsa:6387%09red/hsa:3455%09red/hsa:6362%09red/hsa:3977%09red/hsa:8741%09red/hsa:9173%09red/hsa:7042%09red/hsa:3553%09red/hsa:55540%09red/hsa:3559%09red/hsa:3575%09red/hsa:85480%09red/hsa:2690%09red/hsa:958%09red/hsa:90865%09red/hsa:94%09red/hsa:5618%09red/hsa:7048%09red
Nuclear Receptor transcription pathway	Reactome	R-HSA-383280	11	40	3.32037716527e-08	2.20937644077e-07	ESRRG|ESRRA|THRB|NR4A1|NR2F1|RXRA|RORA|THRA|PPARG|NCOR1|NR1H2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-383280
Adrenergic signaling in cardiomyocytes	KEGG PATHWAY	hsa04261	19	149	3.37654867956e-08	2.23824249592e-07	TNNT2|TNNC1|ADCY3|PPP2CA|PPP2R2A|CREB5|PPP2R3A|TPM3|CAMK2B|PPP1CA|AKT1|ADRB2|AKT3|MAPK11|TNNI3|PPP2R5D|MAPK1|ADCY8|PPP2R5C	http://www.genome.jp/kegg-bin/show_pathway?hsa04261/hsa:5523%09red/hsa:5520%09red/hsa:5594%09red/hsa:9586%09red/hsa:5527%09red/hsa:10000%09red/hsa:7137%09red/hsa:5515%09red/hsa:154%09red/hsa:7139%09red/hsa:816%09red/hsa:7170%09red/hsa:5499%09red/hsa:114%09red/hsa:109%09red/hsa:5600%09red/hsa:207%09red/hsa:5528%09red
CD28 dependent PI3K/Akt signaling	Reactome	R-HSA-389357	9	22	3.63157415074e-08	2.39820934483e-07	MAP3K8|THEM4|PIK3CA|FYN|AKT1|AKT3|PIK3R3|PIK3R2|PIK3R1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-389357
Extra-nuclear estrogen signaling	Reactome	R-HSA-9009391	14	76	3.84491633063e-08	2.52955021752e-07	SRC|IGF1R|HSPB1|PIK3CA|GNG11|UHMK1|AKT1|AKT3|PIK3R3|PIK3R2|PIK3R1|MAPK1|CAV2|CAV1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9009391
CD28 co-stimulation	Reactome	R-HSA-389356	10	31	3.97919292284e-08	2.59835358768e-07	MAP3K8|THEM4|GRAP2|PIK3CA|FYN|AKT1|AKT3|PIK3R3|PIK3R2|PIK3R1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-389356
Antigen activates B Cell Receptor (BCR) leading to generation of second messengers	Reactome	R-HSA-983695	10	31	3.97919292284e-08	2.59835358768e-07	PIK3R1|DAPP1|FYN|PLCG2|TRPC1|BLK|CD19|PTPN6|BTK|CD79A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-983695
p53-Dependent G1 DNA Damage Response	Reactome	R-HSA-69563	13	64	4.28836274232e-08	2.77949437002e-07	RPN2|CCNA2|TP53|CCNA1|PSMD4|PSMD9|PSMD13|CHEK2|PSMA1|PSMC1|PSMC4|PSMC5|PSMC6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69563
