gene	p
OSBPL3	2.63e-05
CALR	2.43e-05
ACP6	2.1e-12
AKAP1	7.42e-06
PLK4	4.27e-07
PTGES	7.72e-07
OSMR	0.005001
FANCG	2.21e-06
ARNTL2	0.00036604
ETNK2	6.48e-09
AURKB	5.47e-08
TNFSF15	0.016005
MCM10	2.32e-08
MLST8	5.73e-14
YIF1A	3.52e-10
HTR2B	0.018059
IRF7	0.00012314
SNRPE	0.00074453
KIF22	2.01e-09
SRP54	5.04e-07
CD180	3.13e-06
KRT10	5.45e-13
BCL9	9.91e-13
E2F3	2.56e-06
DSC2	0.0012784
POU3F2	0.0001658
PAIP1	9.15e-07
DPM3	9.23e-07
EPS8L1	1.51e-07
CACYBP	3.6e-07
SCRIB	1.03e-05
GRIP1	2.97e-08
EIF3I	2.61e-12
KRT81	4.9e-05
IRAK1	1.16e-07
ENO2	0.00035725
HOPX	0.01661
RHOD	2.72e-11
MGST1	0.015325
CD19	0.0019726
MRPL9	1.67e-12
ADORA1	9.46e-07
ZWILCH	4.63e-05
NUP210	7.57e-06
KDM1A	1.09e-10
VANGL1	3.9e-06
DNAJC3	0.0074726
VDR	6.35e-10
FADD	1.98e-10
HUS1	2.12e-08
PLXNB3	2.03e-06
SYNJ2	3.51e-09
CLDN7	0.00022404
PSMD14	9.91e-08
PITX1	2e-06
NOL3	4.89e-06
RCAN3	2.53e-06
PEX6	7.82e-06
TJP3	6.59e-06
PSMB5	1.47e-09
BCAT1	0.010648
XPO5	5.37e-08
MED14	2.13e-10
MUC4	0.016318
SLC6A3	0.0065151
ANKRA2	3.63e-05
FDXR	2.35e-06
IL17RB	0.0016251
CA12	0.018046
MATR3	0.0026678
SYTL2	4.22e-05
TRAPPC3	1.52e-11
S100B	3.21e-06
HAPLN1	0.0047168
HTRA1	0.00020552
F12	6.32e-07
TIMELESS	4.87e-13
SCAMP3	1.14e-09
MED8	1.87e-11
PAK1IP1	9.58e-05
EIF6	4.55e-09
BLM	0.00081462
PAEP	0.011728
HMGN1	1.28e-08
DNAJC10	0.0071679
FKBPL	1.93e-09
PROC	2.92e-09
CDK4	2.46e-06
IPO13	3.18e-09
IL2RA	0.00014156
GTF2IRD1	3.96e-08
OVGP1	1.67e-11
PSMB4	2.41e-10
PAM	1.07e-07
SORL1	0.00016141
ERGIC1	0.00051934
BATF	6.97e-05
EXOSC5	4.32e-08
LIG1	2.95e-07
KDELR1	7.04e-06
ISOC2	2.03e-08
SGSM3	2.83e-09
CBX1	4e-07
RABIF	1.17e-10
CTSA	4.22e-06
TRIM27	7.79e-12
ASCC2	1.23e-05
BBOX1	0.0062057
BGN	0.00027162
IDE	4.05e-05
GANAB	1.12e-06
NEFL	0.02166
JTB	7.7e-19
RAD1	5.17e-06
G6PD	0.0032629
GLDC	1.71e-05
EXOSC4	1.35e-08
LSM2	9.91e-05
MOGS	3.83e-09
SUMF2	7.33e-06
UCHL3	4.93e-05
PPIB	2.8e-10
DDX11	3.51e-05
UCHL1	2.52e-05
CAMK1D	0.0093547
RRM1	1.7e-05
GRHL1	0.00065895
CBLC	2.88e-10
DNMT1	1.13e-06
CKAP5	1.51e-07
RTN4R	2.61e-08
CR2	2.44e-05
MED20	1.16e-09
KIF18A	0.0022973
CDKN2C	4.01e-06
CASP3	2.3e-07
TNFRSF12A	0.0040023
LINGO1	2.06e-08
HSD17B10	4.28e-08
VPS25	1.52e-08
PSMB3	4.18e-11
CDK2AP1	6.62e-08
CLCN7	1.13e-05
CDK16	1.63e-08
DNAJB11	8.78e-08
SERPINE2	0.00022381
CPSF3L	6.95e-11
PRSS3	0.023706
GPR37	1.91e-05
NAT9	1e-11
PDHA1	8.06e-08
TKT	0.0096834
RAC3	3.15e-08
FAM162A	2.03e-06
NCAPD2	3.86e-05
GRB7	3.39e-05
CCDC47	5.16e-06
UBAC2	5.99e-09
LY6E	0.023884
ARG2	0.0080399
KLHL12	9.64e-07
KRT18	0.0059042
CLK2	2.95e-06
CBX4	8.94e-06
PSMD4	3.79e-08
MCM3	7.43e-05
SCG2	0.018357
S100A11	1.37e-11
GAL3ST1	1.15e-05
RINT1	4.45e-05
CLSTN1	9.72e-09
ABAT	0.0088787
MALL	0.029041
BAX	0.00048089
FASTK	1.51e-06
AGK	0.00018825
CPNE4	1.03e-07
MAD1L1	0.00024871
COG2	5.94e-10
RAE1	1.21e-06
GCNT1	0.00061977
ADAM28	1.1e-05
CCNF	2.18e-12
NME3	2.17e-07
ADAM15	0.00023639
GJB3	0.00033357
IARS	1.06e-06
MED29	1.4e-06
GPS1	5.74e-10
COL2A1	0.015192
CDC42BPA	0.0021569
GALNT1	0.00011126
SERPINB4	0.048232
ITGB3BP	0.00027322
PARK7	2.22e-12
AHSA1	6.83e-09
ERH	1.12e-08
SQSTM1	7.48e-05
GNGT1	1.58e-09
CLDN4	5.67e-08
RFC2	4.23e-05
NRSN2	3.52e-08
SMS	0.00011289
PLTP	0.014942
VPS35	5e-05
CORO1B	2.93e-08
ECT2	0.007097
MNAT1	0.00012235
UHMK1	0.040981
BCAP31	1.29e-08
HSPA4L	0.0087258
POLM	7.81e-07
KCNQ5	5.78e-07
PGK1	0.0026439
SMC4	0.012688
DYRK2	2.72e-05
TUBB	4.17e-05
WDR77	5.41e-08
PPP4C	4.74e-07
GTF2H4	6.99e-10
ARFGAP1	0.00036906
DPM2	1.61e-05
CLCN3	0.0010251
ATPIF1	6.95e-07
HOXC4	2.07e-06
MPP6	5.23e-05
RNPEP	7.67e-08
PEX10	1.2e-07
NAA10	1.29e-09
RAD51	5.31e-10
CLDN6	0.00015381
CELSR2	0.00012538
SF3B4	0.0010418
SKIV2L	9.01e-06
TNFSF11	0.00041187
PTS	9.45e-05
HSPA5	1.89e-08
POLR1C	4.77e-06
TELO2	1.69e-08
SIGMAR1	9.55e-07
CD38	0.034161
TIPIN	0.0080014
SEC13	3.49e-16
PRIM1	0.00073305
CACNB3	1.07e-06
ZNF107	2.87e-09
DCTD	2.7e-10
CDK5RAP3	0.0007723
SND1	2.29e-09
HPRT1	3.15e-09
CTSB	0.0027923
USP28	0.00034899
SEC31A	2.51e-08
CIB1	1.96e-06
BYSL	0.0015953
KCND2	0.00026748
ADRA2A	0.041118
ST5	9.43e-05
MAP7	0.00225
IKBKE	5.11e-09
PYGO2	4.03e-10
RANBP9	0.030026
MTMR11	0.00024384
PAXIP1	0.00014421
SESN2	0.0013358
ASS1	0.018955
AP1B1	1.16e-07
COL7A1	2.01e-05
VIL1	0.002326
KIF2A	0.0017641
RPA2	3.64e-06
RBBP5	0.0013878
ERC2	1.05e-06
HEXIM2	7.73e-05
TMEM39B	4.2e-06
MSX2	0.0011323
ITIH2	0.0041811
CEP72	0.00017851
PIR	0.018308
APEX2	1.87e-11
XIAP	0.0019101
NEFH	0.0016442
LARP1	0.0011012
PSENEN	0.0047489
PREB	5.82e-11
SSR1	1.12e-05
SEPT3	1.26e-06
DLK1	0.026992
POLR2I	1.81e-05
PSMD7	4.68e-08
HSPA4	0.0034325
PAX9	7.31e-05
HNRNPAB	1.19e-05
PCOLCE	0.020665
SPTBN2	1.07e-07
GLS2	2.45e-05
SLBP	0.0008639
CKMT2	0.013438
NAGS	0.0011127
PIGT	7.23e-06
GFER	2.69e-12
MPG	2.85e-07
P4HA3	2.45e-12
WDYHV1	5.5e-06
DUSP9	7.55e-06
PTP4A3	0.012093
SS18L1	0.0022086
AKR7A2	2.92e-05
DLX5	8.29e-07
SMAD5	0.0017448
NUP43	2.35e-10
SUV39H2	7.5e-08
AEBP1	0.030336
BRCA1	1.6e-05
COQ6	1.01e-09
TMEM57	3.26e-06
ROGDI	0.00031972
PRKDC	0.02802
HSP90B1	0.00071547
USH1C	0.028722
PTK2	0.00045786
HIP1R	0.00052827
UBE2H	5.91e-06
ACACA	5.24e-05
POLR2J	2.79e-07
CADPS2	0.00050782
SMARCA4	0.0029986
TRIM9	0.0032629
RRN3	0.0064222
OPRK1	3.78e-05
TAF12	0.012027
SRP19	1.56e-07
HTATIP2	0.00049454
NUP85	2.88e-06
LYPLA1	0.0058397
IMPDH2	2.24e-06
COQ9	1.17e-06
INA	7.58e-06
IFT20	1.34e-09
TRAP1	4.12e-11
MVP	0.0012947
ADRM1	1.07e-05
PLIN3	2.95e-05
RBBP7	7.65e-09
TAX1BP1	1.79e-06
THEM4	2.84e-05
NONO	0.0115
JUP	0.00010188
IFNGR2	3.87e-08
PSMC1	2.67e-08
APOBEC1	0.022398
PSMD10	0.012692
KRT19	0.00038154
CD2AP	3.54e-09
LUC7L2	2.34e-07
NKRF	4.95e-07
GTF3C2	4.48e-10
MCM5	0.00053232
DLST	0.00025065
HMOX2	1.68e-06
AASDHPPT	0.0046202
RNF183	0.024078
EED	0.00062427
SYT2	5.59e-05
CDK5RAP1	6.18e-06
TPST1	0.0015241
CSPG5	0.00035254
ADAR	1.59e-06
ARFIP2	1.31e-05
THNSL2	2.43e-06
MDH2	3.07e-05
CDK18	4.8e-05
SNAPIN	5.77e-06
CENPA	3.7e-07
LDB1	7.07e-08
SKA1	0.00028951
CDC25C	6.2e-10
NKIRAS2	6.09e-10
AUP1	6.25e-08
PIGX	0.0028939
TRAF7	3.09e-08
CDK7	0.018815
NFKBIE	0.0037948
ZNHIT3	0.0010897
EIF2B2	0.0001223
ZNF581	1.11e-06
ARL4A	0.00095362
RUVBL1	0.00014893
E2F5	0.040112
CCL13	0.0061182
DGKA	0.00072983
SPTB	5.59e-05
SKA2	0.0020466
GPAA1	0.00025545
CPNE7	5.77e-06
CCDC88C	0.00030641
HOXB2	0.014071
BRIX1	0.0020805
PTGES2	8.71e-08
CARM1	0.0016981
TBC1D7	8.82e-08
PTRH2	0.00025489
RUNX2	7.63e-09
SNRPD3	2.88e-06
TRIB3	0.0033873
ESPN	4.25e-05
HOXA1	0.0054003
SSH3	1.01e-08
SARS2	0.0001048
CDC25A	4.17e-07
SNRPA	0.00038708
CCT5	0.00018442
SERPINA5	0.0011371
LAMP2	0.0058449
PPIH	4.67e-06
MYO7A	6.8e-09
MC1R	6.82e-05
TRIAP1	2.25e-06
YEATS4	0.026319
FAM60A	0.04361
RGS14	6.58e-06
TAF6	1.02e-05
CDK2AP2	0.0014865
MCM7	0.0022109
NIF3L1	0.0001594
DLX4	1.51e-06
NPM1	0.0001606
UNG	0.00075302
NDUFB9	1.2e-07
LSM10	2.6e-05
PPIL3	0.00043675
ROR2	0.0063194
VPS45	1.2e-09
GOLGA3	6.12e-09
EIF3B	0.0043968
GPSM2	0.026175
EFNA1	0.026179
CDC23	0.00024511
SEPT9	0.0011831
THUMPD3	8.62e-06
CBR1	0.006765
IMP4	8.87e-06
TOMM34	1.34e-06
CORO2A	0.0039562
TARBP2	3.83e-08
ATR	0.0011959
RTN4IP1	0.00023354
PMF1	5.35e-05
SNRPG	4.12e-05
RHOT2	0.00011049
HOXC13	6.76e-06
NOXA1	4.33e-07
LCMT1	1.64e-05
OAZ3	1.38e-06
ERI3	0.0044194
PGF	0.033258
ACVR1	0.012665
MRPS26	8.5e-11
ITGB4	0.011934
VPS37D	2.68e-07
PSMD2	1.1e-05
AARS2	4.96e-05
PEX1	0.0039411
TDP1	0.00055403
GRHL3	5.03e-05
RPS6KB2	0.00016333
SOD1	1.36e-05
EIF5A	0.011589
CDC42EP1	0.032436
CUL7	2.54e-05
HOXB13	0.001321
TRAPPC6A	6.32e-05
MCM8	4.73e-06
LPAR2	2.02e-07
HAX1	1.22e-12
NACC1	4.09e-08
PQBP1	1.62e-05
TNNI3	0.0024725
P2RX4	0.021717
PIP4K2C	0.0018785
ICMT	5.61e-07
POLR2C	0.0010804
CRCP	6.48e-08
GABBR2	1.1e-05
PFKL	0.00064569
PDLIM4	1.34e-05
SCP2	0.003558
MTA1	0.00090531
HIF1A	0.00014521
BUB1	0.00014452
CSTF1	0.00012507
RAB27B	0.016151
LAX1	0.039562
SLC39A1	3.78e-08
FAM46C	0.033925
TRIP6	0.007069
ELAVL2	0.00022511
GPC1	0.00099414
SETDB1	1.56e-09
PACSIN3	0.0013685
NOB1	0.00031683
CHTF8	4.09e-06
HAVCR1	0.0010271
CDH15	1.12e-06
HOOK2	0.0039634
PIK3R2	1.88e-06
PITX2	0.0069966
CLINT1	0.037508
TRADD	5.67e-06
TRRAP	0.0019318
LSM4	0.03639
POLR2G	9.31e-06
NUBP1	1.22e-06
NSUN2	0.00036174
ARF4	0.0098294
SIRT7	2.54e-05
PSMB2	1.11e-06
ARSA	4.96e-07
RNF40	0.0015074
BMP4	0.022765
RIPK4	0.0021428
MUTYH	0.00010467
PAX5	0.017979
ASCL1	0.038895
FBXL6	5.7e-05
ECHS1	1.27e-05
PCLO	0.00016572
LSM7	0.00025699
EEF1E1	0.0045551
MAML1	2.05e-06
ISL1	0.02488
SLC25A5	5.53e-05
PHF12	7.55e-05
FZD9	0.002934
TP53	0.017166
POLR2D	0.00040063
VGLL4	0.00073444
DCLRE1A	4.34e-05
AMBP	5.25e-06
SNRPD2	4e-06
HOMER3	0.0038309
PCBD1	0.0061133
RAB3A	2.04e-05
PBXIP1	0.0020899
SIT1	0.0066242
ITPR3	7.62e-05
AMPH	0.014665
PHPT1	0.00062673
AP1G1	0.00056272
TNFRSF25	0.0078049
TCOF1	4.69e-06
TRIM55	0.0051719
CCAR1	2.85e-05
UNC119	5.52e-07
ABCF1	1.28e-05
HSPA9	0.0073458
PRRX2	0.0039634
LTB	0.0047762
SREBF1	5.59e-05
PPIL2	5.76e-08
HDAC3	2.96e-06
TEP1	0.0016726
UCHL5	0.00032762
MAZ	0.0075285
AP2B1	0.0013863
PDK3	0.0094705
SHC1	0.001337
SYNRG	2.15e-06
MCM6	0.00015273
UBAP2L	5.61e-07
FBXO2	0.00018216
GALNT11	0.0024301
BCAN	5.95e-08
BMP1	0.00054661
COPS6	2.42e-06
ALB	0.014787
XRCC3	3e-05
PHYH	0.0047074
TIMM50	1.06e-07
ZNF587	0.00062615
PSMD1	0.00017751
PEX7	0.0087758
CAPN1	0.003654
HSPA13	0.035214
ENOPH1	0.00012171
KRIT1	0.0012329
SUPT3H	3.69e-06
MAST1	8.85e-06
ATOX1	0.00080442
ITGAV	0.005991
E2F6	0.0012781
AHCYL1	0.00022745
HOXB9	0.00040092
CKAP2	6.32e-07
SMG5	4.28e-06
BIRC7	0.00016633
COPB1	0.0030649
ZNF205	1.98e-05
PTPN3	0.001609
ZNF174	2.33e-06
PRKCSH	0.038595
TAF2	4.09e-08
GRIN2A	0.0046145
VRK1	0.011051
CBX5	0.0018331
HMGXB4	3.77e-06
EIF4G3	4.8e-08
E2F1	2.44e-06
B3GNT4	7.48e-05
POP5	0.00043625
MECR	7.78e-06
FANCE	0.00025462
HR	3.61e-06
BUB3	0.002376
FGD1	0.0001144
FBLIM1	0.024124
FHIT	0.0001733
TCEB2	1.24e-07
CSNK2B	3.89e-07
ZBTB7B	1.96e-06
POLD1	0.0070415
ATG12	0.0031516
CIAPIN1	0.0030105
C1QBP	0.01872
UCN	0.0022192
GRIN2D	0.013869
FOXP4	0.00095584
AGRN	0.00062914
OGT	0.046899
MAGEA1	0.026258
COX17	0.01278
SCAMP5	4.02e-05
TFR2	7.28e-07
TMED1	1.07e-06
RARS	2.04e-07
PSMC4	6.15e-06
ASPM	0.0006065
PPP1R9A	0.035868
PSMC6	0.00047985
SUN1	0.0007056
CCL26	0.01783
TTF2	4.76e-05
TUFM	1.61e-07
H2AFX	0.0022659
NR2F6	0.023898
HNF1B	0.0048866
DVL3	1.3e-05
TMEM161A	3.45e-05
NUDC	0.00074117
BNIP1	0.0044783
BANF1	0.028234
ANTXR1	1.42e-05
ILF3	0.0012367
PRDX2	0.010253
OCRL	0.0030089
STMN1	6.83e-06
ACTN1	0.035656
NOP2	0.033963
CRB3	0.00022877
PTPRK	0.017072
ACHE	0.00041142
SYNCRIP	0.016521
COIL	0.00031011
NIP7	0.044765
ALDH5A1	0.019141
ANAPC11	1.31e-08
GLRX3	2.4e-06
DDB1	2.83e-07
CIAO1	3.49e-06
CKM	0.0011228
ERCC8	0.0011362
CSTF3	0.023864
DNAJC7	0.033372
TRIM62	1.25e-06
PRCC	0.0016844
GTF3A	0.00011474
MDFI	0.0015741
CSE1L	0.004993
RBBP8	0.0096623
ZNHIT1	0.00059392
TRPV4	0.0051272
HFE	0.00018084
MAD2L2	0.0069877
COG7	0.002147
FANCA	3.6e-05
USP5	0.0095489
GYS1	5.95e-05
DIABLO	9.05e-07
ATXN7L3	1.74e-06
PCBP3	4.82e-05
