source	target	w
COL3A1	CAPN1	0.021303
COL3A1	THBS1	0.00067134
COL3A1	DDR2	0.0020581
COL3A1	MYOC	0.064377
MMP13	MMP14	0.12366
MMP13	F12	0.066495
MMP13	COL2A1	0.028815
MMP13	BCAN	0.060349
MMP13	TIMP3	0.038808
COL1A2	MMP9	0.06484
COL1A2	P4HB	0.024122
COL1A2	ITGA2	0.059287
COL1A2	TGFBI	0.077062
COL1A2	BGN	0.11664
COL1A2	APP	0.028773
COL1A2	ITGA2B	0.036784
COL1A2	DCN	0.0025684
COL1A2	VWF	0.03716
COL1A2	MYOC	0.06284
COL1A2	CD93	0.031429
COL1A2	CD36	0.070661
CDC20	BUB1B	0.32801
CDC20	PTTG1	0.24889
CDC20	AURKA	0.27406
CDC20	CCNA2	0.32271
CDC20	MAD2L1	0.086003
CDC20	HDAC1	0.16072
CDC20	BUB1	0.047228
CDC20	MAD2L2	0.042221
CDC20	ANAPC7	0.024808
CDC20	RASSF1	0.056475
CDC20	SOSTDC1	0.090816
ZWINT	NDC80	0.28271
ZWINT	ZW10	0.085558
ZWINT	MIS12	0.010807
SCG5	UBQLN4	0.022164
BUB1B	CDC20	0.32801
BUB1B	CENPE	0.2158
BUB1B	HDAC1	0.14522
BUB1B	AP1B1	0.025005
BUB1B	AP2B1	0.040672
BUB1B	BUB3	0.098448
BUB1B	ANAPC7	0.038211
BUB1B	MAP3K4	0.020103
COL1A1	MMP9	0.082718
COL1A1	IGFBP3	0.094317
COL1A1	P4HB	0.079275
COL1A1	ITGA2	0.032856
COL1A1	PAK1	0.018226
COL1A1	TGFBI	0.089297
COL1A1	HTRA1	0.080082
COL1A1	BGN	0.085244
COL1A1	COL7A1	0.086736
COL1A1	BMP1	0.12801
COL1A1	CAPN1	0.030338
COL1A1	MMP2	0.016878
COL1A1	PDGFB	0.016441
COL1A1	THBS1	0.0013939
COL1A1	DDR2	0.0010353
COL1A1	ITGA5	0.0022101
COL1A1	PRELP	0.030923
COL1A1	DCN	0.011976
COL1A1	VWF	0.058519
COL1A1	CD93	0.042767
COL1A1	CD36	0.071823
S100A2	TP53	0.0059516
S100A2	TPM2	0.0030234
S100A2	TPM3	0.014432
CCNB1	PBK	0.34042
CCNB1	CDK1	0.30662
CCNB1	PCNA	0.29937
CCNB1	PLK1	0.052196
CCNB1	CCNF	0.18473
CCNB1	BRCA1	0.23905
CCNB1	CDC25C	0.14865
CCNB1	RUNX2	0.1402
CCNB1	CDC25A	0.08312
CCNB1	FZR1	0.019404
CCNB1	PTMA	0.016653
CCNB1	KAT5	0.023288
CCNB1	CDKN1B	0.0030593
CCNB1	TSC1	0.052837
CCNB1	MEF2C	0.017574
CCNB1	MAP4	0.12036
CCNB1	CDKN1A	0.037809
CCNB1	ITPR1	0.035478
CCNB1	TGFBR2	0.049174
CCNB1	GADD45B	0.13315
TTK	TUBB	0.11212
TTK	TUBB1	0.058154
CD24	FGR	0.074021
CD24	SELP	0.054495
NQO1	TP53	0.01131
NQO1	DNAJB1	0.055527
ARSE	COQ6	0.03252
ARSE	NDN	0.0020634
SFN	CDK1	0.039185
SFN	MST1R	0.044984
SFN	EGFR	0.021503
SFN	PLK4	0.018742
SFN	BAX	0.0032289
SFN	WDYHV1	0.03776
SFN	CCAR1	0.045576
SFN	TBL3	0.08678
SFN	YWHAG	0.032691
SFN	RFFL	0.021635
SFN	TSC2	0.0041646
SFN	HDAC5	0.0049196
SFN	EIF2S1	0.00012272
SFN	TRIM25	2.6352e-06
SFN	NR3C1	0.1402
SFN	GPRIN2	0.015422
SFN	ZFP36	0.055028
SFN	KCNK3	0.079567
CEP55	CDK1	0.33373
CEP55	PLK1	0.024509
CEP55	VPS37D	0.016005
CEP55	HGS	0.00016361
CEP55	PDCD6IP	0.0049111
CEP55	MAPK1	0.00012847
MELK	LMNB1	0.22352
MELK	ZNF622	0.010989
MELK	PPP1R8	0.040977
MELK	EIF2S1	0.0030739
EFNA4	EPHA8	0.0081332
MMP7	MMP1	0.10215
MMP7	SPP1	0.10466
MMP7	MMP9	0.023435
MMP7	HAPLN1	0.0041566
MMP7	TNFSF11	0.015921
MMP7	BCAN	0.018136
MMP7	TFPI	0.00029248
MMP7	HBEGF	0.04073
MMP7	DCN	0.010114
COL5A2	BMP1	0.031602
HMMR	TPX2	0.36058
AGR2	UBQLN4	0.0057742
MDK	PTPRZ1	0.01709
MDK	TSPAN1	0.0076034
MDK	UBQLN4	0.0032874
MDK	SDC3	0.038091
MDK	ALK	0.01833
MDK	LRP2	0.044265
MDK	TGM1	0.075402
MDK	JAK2	0.043777
TPX2	HMMR	0.36058
TPX2	AURKA	0.18974
NMU	NMUR2	0.049324
KIF4A	TTF2	0.093338
UBE2C	ENO2	0.02687
UBE2C	ANAPC11	0.15991
AZGP1	ITGAV	0.0050925
KIF11	AURKA	0.26556
KIF11	CDK1	0.29845
CDKN3	CDK1	0.37329
CDKN3	CDC25A	0.055038
CDKN3	MS4A3	0.0043184
UNC5CL	RELA	0.017446
UNC5CL	NFKB1	0.032918
MMP9	THBS2	0.071488
MMP9	COL1A2	0.06484
MMP9	COL1A1	0.082718
MMP9	MMP7	0.023435
MMP9	LCN2	0.0030895
MMP9	MMP10	0.035496
MMP9	PRSS2	0.03203
MMP9	EPHB2	0.071492
MMP9	HAPLN1	0.027547
MMP9	KISS1	0.028141
MMP9	COL4A3	0.069393
MMP9	COL4A6	0.020961
MMP9	COL4A5	0.017436
MMP9	COL4A4	0.074981
MMP9	AREG	0.0079373
MMP9	THBS1	0.00071438
MMP9	CXCL1	0.0020073
MMP9	TFPI	0.058001
MMP9	CXCL5	0.010599
MMP9	PZP	0.060046
MMP9	TIMP3	0.027092
NUF2	AURKA	0.2558
NUF2	NDC80	0.37457
NUF2	AURKB	0.13533
NUF2	ATF3	0.020024
PCDH7	PPP1CA	2.2331e-05
CDKN2A	MCM2	0.056082
CDKN2A	GMNN	0.07534
CDKN2A	CDC6	0.04246
CDKN2A	TPI1	0.046112
CDKN2A	MCM10	0.031084
CDKN2A	CDK4	0.063937
CDKN2A	CDKN2C	0.036868
CDKN2A	MCM5	0.024795
CDKN2A	HIF1A	0.025261
CDKN2A	E2F1	0.051137
CDKN2A	E4F1	0.018574
CDKN2A	UBE2A	0.019407
CDKN2A	HUWE1	0.010303
CDKN2A	TBRG1	0.021331
CDKN2A	AHNAK	0.032274
CDKN2A	SERTAD1	0.032322
CDKN2A	EGR1	0.027747
CDKN2A	MYC	0.0096681
STK39	SLC12A2	0.073748
STK39	WNK4	0.024194
STK39	SLC12A1	0.012691
STK39	PRKCQ	0.068317
PRC1	RACGAP1	0.2764
PRC1	PLK1	0.037039
PRC1	KRT20	0.020453
FAP	DPP4	0.027705
FAP	PLAUR	0.023902
PBK	CCNB1	0.34042
PBK	CDK1	0.29495
PBK	TP53	0.029141
PBK	RAF1	0.030399
PBK	GPRASP1	0.031907
PTTG1	CDC20	0.24889
PTTG1	CDK1	0.12911
PTTG1	TP53	0.00023014
PTTG1	XRCC6	0.022572
PTTG1	DNAJA1	0.0274
PTGFRN	CD63	0.026788
PTGFRN	CD81	0.02918
CLDN3	CLDN1	0.038286
CLDN3	WNK4	0.04508
CLDN3	TJP1	0.013835
CLDN3	CLDN5	0.040656
CLDN2	WNK4	0.0016467
CLDN2	TJP1	0.028661
NCAPG	DNMT3B	0.11706
THY1	ITGAV	0.087894
THY1	ITGAM	0.00082604
THY1	FYN	0.026029
GFRA3	ARTN	0.042281
KISS1R	KISS1	0.021987
ENC1	RB1	0.039781
SOX9	CREBBP	0.0012486
AURKA	CDC20	0.27406
AURKA	TPX2	0.18974
AURKA	KIF11	0.26556
AURKA	NUF2	0.2558
AURKA	NDC80	0.27911
AURKA	NME1	0.19834
AURKA	TACC3	0.16305
AURKA	CKAP5	0.068718
AURKA	BRCA1	0.1497
AURKA	TP53	0.0084782
AURKA	PPP1CA	0.035104
AURKA	AURKAIP1	0.037299
AURKA	GSK3B	0.0087391
AURKA	TACC1	0.13134
GRB14	EGFR	0.0005143
GRB14	SQSTM1	1.2087e-05
GRB14	FGFR1	0.021978
GRB14	MAP3K14	0.011889
GRB14	PRKCZ	0.0045812
GRB14	TEK	0.013947
CD1A	B2M	0.031744
PLAU	ST14	0.057772
PLAU	CTSB	0.062145
PLAU	SERPINA5	0.034714
PLAU	LRP2	0.039215
PLAU	PLAUR	0.054127
PLAU	SERPINB2	0.0036637
PLAU	SERPINE1	0.0029989
NDC80	ZWINT	0.28271
NDC80	NUF2	0.37457
NDC80	AURKA	0.27911
NDC80	NEK2	0.2884
NDC80	MAD2L1	0.22456
NDC80	SPC25	0.21276
NDC80	TOM1L1	0.034145
NDC80	AURKB	0.14549
NDC80	KLHL12	0.056067
NDC80	MAD1L1	0.0098986
NDC80	MIS12	0.00026809
NDC80	RB1	1.8255e-05
NDC80	CALCOCO1	0.14432
NDC80	AMOTL2	0.080297
SIX1	EYA2	0.0096491
SIX1	MDFI	0.0035774
SIX1	EYA3	0.00093434
SIX1	TLE1	0.050516
SIX1	AES	0.00036552
SIX1	EYA4	0.033941
SIX1	DACH1	0.057722
EZH2	HDAC1	0.062527
EZH2	RPN2	0.098753
EZH2	DNMT3B	0.13905
EZH2	DNMT1	0.16012
EZH2	SMS	0.03157
EZH2	EED	0.063765
EZH2	E2F6	0.047447
EZH2	AKT1	0.00027787
EZH2	GTF3C1	0.053391
CDK1	TOP2A	0.21031
CDK1	RRM2	0.28763
CDK1	CCNB1	0.30662
CDK1	SFN	0.039185
CDK1	CEP55	0.33373
CDK1	KIF11	0.29845
CDK1	CDKN3	0.37329
CDK1	PBK	0.29495
CDK1	PTTG1	0.12911
CDK1	FOXM1	0.16335
CDK1	CCNA2	0.17872
CDK1	TK1	0.16176
CDK1	SPAG5	0.13873
CDK1	LMNB1	0.14073
CDK1	FEN1	0.18949
CDK1	RCC1	0.11978
CDK1	BIRC5	0.18108
CDK1	PCNA	0.22755
CDK1	CDT1	0.08764
CDK1	RAP1GAP	0.0012193
CDK1	MCM4	0.1277
CDK1	STMN2	0.021606
CDK1	CKS2	0.13997
CDK1	HMGA1	0.047751
CDK1	CCNE1	0.081466
CDK1	CHAF1B	0.11669
CDK1	FANCG	0.045531
CDK1	NUP210	0.024311
CDK1	KRT18	0.0048866
CDK1	ECT2	0.11165
CDK1	RPA2	0.084136
CDK1	BRCA1	0.15253
CDK1	CDC25C	0.1397
CDK1	CDK7	0.094026
CDK1	RUNX2	0.10977
CDK1	CDC25A	0.061046
CDK1	NPM1	0.10476
CDK1	BUB1	0.12205
CDK1	TP53	0.043736
CDK1	AMPH	0.011407
CDK1	E2F1	0.055587
CDK1	CSNK2B	0.042399
CDK1	STMN1	0.11656
CDK1	FANCA	0.029658
CDK1	KIF20B	0.10751
CDK1	ERCC2	0.006194
CDK1	UBE2A	0.1019
CDK1	POLA1	0.052603
CDK1	NDE1	0.012973
CDK1	GOLGA2	9.8751e-05
CDK1	TP73	0.0043013
CDK1	PITPNM1	0.003057
CDK1	KHDRBS1	0.0011794
CDK1	CSNK2A1	0.026702
CDK1	UBA1	3.5254e-05
CDK1	PTMA	0.0058355
CDK1	CCNB2	0.003254
CDK1	GFAP	0.0026896
CDK1	GORASP1	0.057227
CDK1	KAT5	0.0090929
CDK1	RB1	0.004908
CDK1	IL16	0.043563
CDK1	TLE1	0.002418
CDK1	RAB5B	0.051675
CDK1	LMNA	0.013661
CDK1	CCNA1	0.0064943
CDK1	TSC1	0.10787
CDK1	MEF2C	0.011894
CDK1	VIM	0.014501
CDK1	HSPA2	0.00041371
CDK1	NES	0.099049
CDK1	MAP4	0.15021
CDK1	CREM	0.00079311
CDK1	CDKN1A	0.024628
CDK1	ITPR1	0.0018117
CDK1	TGFBR2	0.0092616
CDK1	FYN	0.076819
CDK1	MYC	0.0028423
CDK1	GADD45B	0.06294
CDK1	MNDA	0.01524
CDK1	ZBTB16	0.16111
ACE2	AGT	0.0095906
ACE2	NTS	0.0080318
ETV4	SRF	0.012951
FOXM1	CDK1	0.16335
FOXM1	CREBBP	0.016254
NEK2	NDC80	0.2884
NEK2	MAD1L1	0.051851
NEK2	PPP1CA	0.031393
NEK2	CEP250	0.017899
NEK2	MAPK1	0.00018851
COL5A1	LGALS3BP	0.02645
COL5A1	BMP1	0.079877
COL5A1	SDC3	0.072419
COL5A1	THBS1	0.0010045
COL5A1	DCN	0.0018925
BACE2	APP	0.025208
FHL2	TNFRSF11A	0.064624
FHL2	BRCA1	0.037459
FHL2	MCM7	0.026671
FHL2	CAPN1	0.0061307
FHL2	CKM	0.026718
FHL2	FHL3	0.042206
FHL2	SLC34A1	0.0092209
FHL2	CREBBP	0.011672
FHL2	TRAF6	0.0015499
FHL2	ZFYVE9	0.0054556
FHL2	SRF	1.415e-05
FHL2	ADAM17	0.0089224
FHL2	AK1	0.13963
FHL2	CARD8	0.052403
FHL2	FOXO1	0.0051914
FHL2	FHL5	0.036974
FHL2	ZBTB16	0.021409
FHL2	FHL1	0.038886
KRT15	KRT6A	0.018376
KRT15	LDOC1	0.026773
KRT15	KRT6B	0.052697
KRT15	KRT20	0.003122
KRT15	MCM10	0.045936
KRT15	KRT81	0.031475
KRT15	KRT18	0.014946
KRT15	KRT19	0.077093
KRT15	NIF3L1	0.025852
KRT15	MAD2L1BP	0.031002
KRT15	PSMA1	0.028602
KRT15	PSMC5	0.034227
KRT15	KIAA1217	0.022369
KRT15	TUBGCP4	0.0040272
KRT15	CCDC120	0.010964
KRT15	WAC	0.01905
KRT15	PCM1	0.020493
KRT15	CALCOCO1	0.061133
KRT15	ABLIM1	0.035347
KRT15	AMOTL2	0.038131
KRT15	C10orf10	0.050045
KRT15	ARC	0.056614
KRT15	FAM107A	0.083687
ST14	PLAU	0.057772
ST14	F2RL1	0.15183
SHCBP1	SHC1	0.0104
NME1	AURKA	0.19834
NME1	MIF	0.19511
NME1	NME4	0.081728
NME1	GORASP2	0.10693
NME1	APEX1	0.11613
NME1	NME3	0.015443
NME1	POLR1C	0.14962
NME1	WDYHV1	0.094916
NME1	KSR1	0.027896
NME1	TIAM1	0.037322
NME1	RORA	0.020616
NME1	RRAD	0.039465
KIF2C	CENPH	0.1265
DPP4	FAP	0.027705
DPP4	CCL22	0.022866
DPP4	CPAMD8	0.0079914
DPP4	CCL5	0.025603
DPP4	PTPRC	0.0019583
DPP4	CXCL12	0.015662
LCN2	MMP9	0.0030895
LCN2	MMP2	0.0037632
LCN2	LRP2	0.0094861
IGSF9	ASCC2	0.03661
F2RL1	ST14	0.15183
F2RL1	CAPN1	0.0028442
F2RL1	GPRASP1	0.06734
IGFBP3	MMP1	0.087444
IGFBP3	COL1A1	0.094317
IGFBP3	ADAM12	0.075325
IGFBP3	MMP3	0.072327
IGFBP3	GPI	0.071448
IGFBP3	GTF3C1	0.0004555
IGFBP3	CSNK2A1	0.010625
IGFBP3	MMP2	0.0034761
IGFBP3	PAPPA2	0.0039155
IGFBP3	RXRA	0.033772
IGFBP3	IGF1R	0.004038
IGFBP3	CAV1	0.028404
CLEC5A	TYROBP	0.0064475
MCM2	CDKN2A	0.056082
MCM2	CDC6	0.17617
MCM2	RPA3	0.18536
MCM2	DBF4	0.06965
MCM2	MCM4	0.10082
MCM2	PLK1	0.16113
MCM2	MCM10	0.20706
MCM2	CDK4	0.16075
MCM2	MCM3	0.13932
MCM2	RPA2	0.074547
MCM2	MCM5	0.16763
MCM2	MCM7	0.10359
MCM2	MCM6	0.12449
MCM2	PHC2	0.0080841
MCM2	CCNB2	0.0094245
MCM2	AKAP8	0.01743
MCM2	TBP	0.0079497
MCM2	GTF2H1	0.0039849
MCM2	GTF2B	0.027467
NT5E	LAMA1	0.01179
MFAP2	BGN	0.10098
MFAP2	COL4A3	0.011147
SFRP2	WNT4	0.011103
CCNA2	CDC20	0.32271
CCNA2	CDK1	0.17872
CCNA2	CDC6	0.28677
CCNA2	CDT1	0.081657
CCNA2	MYBL2	0.13986
CCNA2	E2F3	0.068051
CCNA2	ITGB3BP	0.077071
CCNA2	BRCA1	0.16941
CCNA2	CDC25C	0.092315
CCNA2	TP53	0.01535
CCNA2	E2F1	0.044595
CCNA2	TAF1	0.001375
CCNA2	PTMA	0.038263
CCNA2	CDKN1B	0.0025311
CCNA2	PGR	0.064884
CCNA2	BTG1	0.045577
CCNA2	CDKN1A	0.027073
PAICS	FXR2	0.027164
KRT6A	KRT15	0.018376
KRT6A	DSP	0.011875
PAFAH1B3	GAPDH	0.2273
PAFAH1B3	SETDB1	0.16648
PAFAH1B3	TP53	0.014119
PAFAH1B3	UNC119	0.07143
PAFAH1B3	COPS6	0.11674
PAFAH1B3	SUMO4	0.048163
PAFAH1B3	PAFAH1B2	0.029838
PAFAH1B3	XRCC6	0.023432
PAFAH1B3	PAFAH1B1	0.034847
PAFAH1B3	TLE1	0.042277
PAFAH1B3	ZHX1	0.051741
PAFAH1B3	GBP2	0.013722
PAFAH1B3	ZBTB16	0.10426
GMNN	CDKN2A	0.07534
GMNN	HOXB7	0.073329
GMNN	HOXA10	0.069445
GMNN	CDT1	0.082324
GMNN	MCM6	0.055219
GMNN	SCMH1	0.0030497
GMNN	HOXA11	0.02164
GMNN	SIX3	0.012535
GMNN	HOXA7	0.020626
GMNN	PHC1	0.032523
GMNN	NCF1	0.063756
GMNN	CDKN1A	0.038883
BLNK	CD79A	0.06308
BLNK	GRAP2	0.00027736
BLNK	PTPN6	0.0034701
BLNK	NCK1	0.00071749
BLNK	BTK	3.5853e-06
BLNK	PLCG2	0.010982
BLNK	LCP2	0.0033182
BLNK	ITK	0.0052055
ECM1	FBLN1	0.0018198
TK1	CDK1	0.16176
TK1	GAPDH	0.29958
TK1	SETDB1	0.099374
TK1	TP53	0.0099894
TK1	UNC119	0.081986
TK1	COPS6	0.096049
TK1	PTPRK	6.1512e-07
TK1	APLP1	0.015217
TK1	TLE1	0.056809
TK1	CDKN1A	0.028108
EEF1A2	CHRM4	0.0049076
HOXB7	GMNN	0.073329
HOXB7	CSNK2A1	0.0099916
HOXB7	CREBBP	0.0041566
HOXB7	PKNOX1	0.0086009
HOXB7	NFKBIA	0.02569
LSR	YWHAG	0.01432
KIF15	MKI67	0.18679
KIF15	VIM	0.010201
PRDX4	TTF2	0.060163
PRDX4	SUMO4	0.017746
PRDX4	PRDX1	0.010802
DSP	KRT6A	0.011875
DSP	COL17A1	0.01703
DSP	CASP6	0.048358
DSP	JUP	0.032494
DSP	CASP2	0.0081614
DSP	CASP4	0.0075433
DSP	VIM	0.024109
DSP	DES	0.044776
DSP	PECAM1	0.067545
DSP	CDH5	0.038467
MMP10	MMP9	0.035496
MMP10	HAPLN1	0.0033964
MMP10	BCAN	0.031078
EPCAM	CLDN7	0.078872
BIK	BCL2L2	0.064929
BIK	MCL1	0.032348
BIK	BCL2A1	0.049279
EGF	ADAM12	0.049908
EGF	EGFR	0.0085469
EGF	PIK3R2	0.010507
EGF	LMNA	0.017446
EGF	DUSP3	0.011516
EGF	NRG1	0.037689
EGF	CPM	0.037689
MAD2L1	CDC20	0.086003
MAD2L1	NDC80	0.22456
MAD2L1	MAD1L1	0.0088898
MAD2L1	MAD2L2	0.078417
MAD2L1	MAD2L1BP	0.12261
MAD2L1	MBL2	5.4183e-05
MAD2L1	ADAM17	0.061531
MAD2L1	CSF2RB	6.0879e-05
STEAP3	BNIP3L	4.9468e-05
EGLN3	HIF1A	0.055505
EGLN3	HIF3A	0.085616
EGLN3	EPAS1	0.097304
GOLM1	NRSN2	0.053608
GOLM1	RPA2	0.045277
GOLM1	B3GNT4	0.043539
GOLM1	CIAO1	0.051446
GOLM1	EIF2B3	0.039123
GOLM1	SYT1	0.0022756
GOLM1	GEMIN7	0.035104
GOLM1	EFTUD2	0.02706
GOLM1	ELAC2	0.022841
GOLM1	GRIK5	0.01694
GOLM1	FTH1	0.039042
GOLM1	CLK1	0.077669
HOOK1	HOOK2	0.02087
HOOK1	AKTIP	0.0023755
PDIK1L	TNF	0.026226
FRK	RB1	0.0020151
HJURP	STT3A	0.019491
HJURP	IMMT	0.047636
DOK5	RET	5.812e-08
DOK5	NTRK2	0.0013514
DOK5	BNIP3L	0.00040248
DOK5	NTRK3	0.012292
DOK5	IGF1R	0.030602
SOX4	UBE2I	0.017772
SOX4	SDCBP	0.088833
TWIST1	TCF3	0.015789
TWIST1	MYOD1	0.0003578
TWIST1	RELA	0.0076738
TWIST1	KAT2B	0.036118
TWIST1	HOXA5	0.021607
CLDN1	CLDN3	0.038286
CLDN1	MMP14	0.05162
CLDN1	TJP3	0.014832
CLDN1	WNK4	0.015314
CLDN1	MMP2	0.0012323
CLDN1	BRD4	0.0048593
CLDN1	TJP1	0.003811
FA2H	UBQLN4	0.0072419
SPAG5	CDK1	0.13873
SPAG5	SNAPIN	0.025184
PC	GOT2	0.23922
PC	MDH2	0.063724
GINS2	GINS4	0.12135
RAB25	ACVR1	0.0019605
RAB25	SMURF2	0.020334
RAB25	RAB11FIP2	0.044534
RAB25	MYO5B	0.0031973
FAT1	HOMER3	0.00011594
FAT1	HOMER1	0.0003264
POLE2	KAT5	0.02203
POLE2	TLE1	0.0060789
POLE2	SAP18	0.067627
CDC6	CDKN2A	0.04246
CDC6	MCM2	0.17617
CDC6	CCNA2	0.28677
CDC6	PCNA	0.17434
CDC6	CDT1	0.069592
CDC6	PPP2R3A	0.009457
CDC6	MCM10	0.18969
CDC6	MCM3	0.14031
CDC6	MCM7	0.049305
CDC6	CDKN1A	0.01142
CDC6	MYC	0.0025537
TRIM2	SIRPA	0.021781
CDCA5	XRCC6	0.011052
RAD51AP1	RAD51	0.14044
FANCI	FANCD2	0.11752
SPOCK1	MMP3	0.033867
SPOCK1	MMP14	0.028561
SPOCK1	MMP2	0.001886
LGALS3BP	COL5A1	0.02645
LGALS3BP	PPIC	0.031702
LGALS3BP	CD14	0.011483
GALNT10	MUC1	0.074325
FOXA3	HMGB1	0.016919
PODXL2	SELL	0.034583
DSG2	PKP3	0.11696
DSG2	DSC2	0.21728
DSG2	JUP	0.036502
FERMT1	SRPK1	0.13437
MAGED1	PLK1	0.086091
MAGED1	TRAF4	0.079822
MAGED1	MSX2	0.0020301
MAGED1	XIAP	0.025592
MAGED1	DLX5	0.05223
MAGED1	DLX4	0.073623
MAGED1	ROR2	0.0019757
MAGED1	SIRT7	0.039641
MAGED1	UNC5A	0.0076854
MAGED1	PJA2	0.047219
CA9	CDH1	0.026996
TNFRSF17	TNFSF13	0.0072307
LMNB1	MELK	0.22352
LMNB1	CDK1	0.14073
LMNB1	CASP6	0.015319
LMNB1	CASP3	0.07375
LMNB1	LBR	0.079419
LMNB1	SUMO4	0.019342
LMNB1	LMNA	0.00093388
LMNB1	PRKCB	0.023393
LMNB1	GZMA	0.013579
LMNB1	GZMB	0.005694
AGT	ACE2	0.0095906
AGT	PRCP	0.004055
AGT	CMA1	0.0035706
AGT	ENPEP	1.9724e-07
AGT	AGTR2	0.013103
AGT	AGTR1	0.015725
MKI67	KIF15	0.18679
MKI67	CBX3	0.04838
MKI67	CBX5	0.024346
MKI67	PRKCB	0.030832
FEN1	CDK1	0.18949
FEN1	PCNA	0.23539
FEN1	APEX1	0.14339
FEN1	BLM	0.068566
FEN1	RAD1	0.072122
HOXC10	EGFR	0.012486
COL17A1	DSP	0.01703
COL17A1	KRT18	0.0062678
COL17A1	CLSTN1	0.041184
COL17A1	ITGB4	0.042995
COL17A1	ACTN1	0.018921
COL17A1	PPL	0.0037456
COL17A1	ITGA6	0.0020566
SPC25	NDC80	0.21276
TNFRSF21	TRADD	1.7412e-05
GJB1	GJB2	0.057826
GJB1	SRC	0.036666
VCAN	HAPLN1	0.078171
VCAN	TNR	0.017339
VCAN	XCL1	0.0064925
VCAN	ITGA4	0.022575
VCAN	SELPLG	0.0094613
VCAN	CCL5	0.011544
VCAN	FBLN1	6.8183e-06
VCAN	CCL21	2.4496e-08
VCAN	CCL2	0.0091389
VCAN	SELP	0.0069897
RAMP1	VIPR1	0.031133
RAMP1	CALCRL	0.05397
AQP5	MDFI	0.00051202
RAB38	SMAD1	0.027327
RAB38	SMAD2	6.5014e-06
LOXL1	FBLN5	0.0025023
MUC1	GALNT10	0.074325
MUC1	GALNT2	0.048877
MUC1	EGFR	0.031413
MUC1	GALNT12	0.041073
MUC1	GALNT1	0.00058254
MUC1	JUP	0.047699
MUC1	OSGEP	0.025989
MUC1	SRC	0.025608
MUC1	GSK3B	0.0040936
MUC1	ZAP70	0.012412
MUC1	APC	0.0063136
KPNA2	H1F0	0.022691
KPNA2	CHEK2	0.11064
KPNA2	HSPA4	0.017547
KPNA2	BRCA1	0.098246
KPNA2	APOBEC1	0.00044352
KPNA2	ARL4A	0.050392
KPNA2	PAX5	0.037232
KPNA2	TP53	0.0035659
KPNA2	CASP2	0.015759
KPNA2	PTMA	0.051303
KPNA2	RAG1	0.02419
KPNA2	CREBBP	0.004062
KPNA2	RELA	0.0035598
KPNA2	PRKD3	0.015689
KPNA2	MAGEH1	0.07046
KPNA2	RECQL	0.005548
KPNA2	NR3C1	0.17157
KPNA2	SGK1	0.026701
KPNA2	ITK	0.0097559
RFC4	PCNA	0.29328
RFC4	HDAC1	0.1188
RFC4	CHTF18	0.059701
RFC4	CDK4	0.10538
RFC4	RFC2	0.20703
RFC4	RAD17	0.02067
RFC4	BRD4	0.059552
SLC2A1	GAPDH	0.2673
SLC2A1	CALR	0.040102
SLC2A1	COPS6	0.066862
SLC2A1	PDIA3	0.0080096
SLC2A1	UBE2I	0.041738
SLC2A1	STOM	0.13957
