source	target	weight
CCNB1	BRCA1	0.30238
CCNB1	CDC25A	0.25051
CCNB1	CCNF	0.26162
CCNB1	CDC25C	0.21173
CCNB1	CCNB1IP1	0.030917
CCNB1	PTMA	0.070303
CCNB1	RUNX2	0.042161
CCNB1	FZR1	0.021108
CCNB1	GADD45G	0.01379
CCNB1	KAT5	0.029369
CCNB1	MAP4	0.11827
CCNB1	HERC5	0.003424
CCNB1	FLNA	0.049401
CCNB1	TSC1	0.072765
CCNB1	MEF2C	0.089228
CCNB1	CDKN1A	0.082807
CCNB1	ITPR1	0.090287
CCNB1	TGFBR2	0.19233
CCNB1	GADD45B	0.14222
S100A2	S100P	0.018475
S100A2	TP53	0.0006852
S100A2	TPM2	0.0026836
S100A2	TPM3	0.00016941
S100A2	TPM1	0.0026797
UHRF1	HIST1H2BB	0.048422
UHRF1	HIST1H3A	0.026422
SPP1	MMP3	0.10508
SPP1	MMP7	0.054506
SPP1	CSNK2A1	0.096054
SPP1	IGFBP5	0.066576
SPP1	ITGAV	0.052671
SPP1	F2	0.010373
SPP1	UBQLN4	0.020246
SPP1	PDLIM7	0.0099643
SPP1	SGTA	0.0012792
SPP1	PRKCA	0.015199
SPP1	CSNK2A2	0.0052124
SPP1	ITGA9	0.017088
SPP1	PRKG1	0.081551
SPP1	CD44	0.0056528
SPP1	ITGA5	0.013626
SPP1	ACP5	0.050652
PRC1	RACGAP1	0.41855
PRC1	PLK1	0.25404
PRC1	TRIM37	0.066779
PRC1	CDK2	0.080632
PRC1	KRT20	0.0179
SCG5	UBQLN4	0.0088236
NDC80	NUF2	0.44682
NDC80	ZWINT	0.40304
NDC80	MAD2L1	0.31862
NDC80	AURKA	0.40648
NDC80	NEK2	0.32816
NDC80	SPC25	0.3596
NDC80	AURKB	0.25108
NDC80	TOM1L1	0.035461
NDC80	KLHL12	0.080097
NDC80	MAD1L1	0.0033375
NDC80	SMC1A	0.014083
NDC80	RB1	0.019723
NDC80	CCDC53	7.2471e-06
NDC80	PSMC2	0.065549
NDC80	CALCOCO1	0.20181
NDC80	AMOTL2	0.10277
FOXM1	CDK1	0.25468
FOXM1	CDK2	0.065618
FOXM1	CREBBP	0.0064779
FOXM1	STAT3	0.04492
GJB6	GJB2	0.21502
NMU	NMUR2	0.0054353
KRT5	DSP	0.050879
KRT5	KRT14	0.11228
KRT5	PKP2	0.018709
KRT5	KRT18	0.013657
KRT5	ALOX12	0.043783
KRT5	ALOX12B	0.014616
KRT5	TCHP	0.00048139
KRT5	DST	0.00022557
TRIP13	WDYHV1	0.12823
TRIP13	NME4	0.053859
TRIP13	NIF3L1	0.11795
TRIP13	SMUG1	0.14832
TRIP13	CYB5R2	0.0042226
TRIP13	CPSF3L	0.050913
TRIP13	MAD2L1BP	0.030413
TRIP13	CRMP1	0.00044129
TRIP13	CARD14	0.05042
TRIP13	ADAM15	0.0025188
TRIP13	SEMA4G	0.001302
TRIP13	GLYCTK	0.031318
TRIP13	GALT	0.018011
TRIP13	ZNF655	0.015876
TRIP13	ARL11	0.013627
TRIP13	COMT	0.017416
TRIP13	CD99	0.0049084
TRIP13	GPSM1	0.016134
TRIP13	SIGLEC5	0.024756
TRIP13	PLK3	0.080046
TRIP13	PPP2CA	0.12116
TRIP13	DDAH2	0.047071
TRIP13	GPRIN2	0.093006
TRIP13	THRB	0.086531
TRIP13	RBPMS	0.19146
TRIP13	PLSCR4	0.16238
TRIP13	PLAC8	0.040536
KRT6B	KRT15	0.17163
KRT6B	KRT19	0.11533
KIF20A	RAB6B	0.017721
KIF20A	RAB6A	0.01296
HJURP	STT3A	0.062153
HJURP	IMMT	0.095934
ZWINT	NDC80	0.40304
ZWINT	ZW10	0.10833
KIF11	AURKA	0.40136
KIF11	CDK1	0.50051
SLC6A8	CD59	0.069074
HMMR	TPX2	0.3249
HMMR	MAPK3	0.059721
HMMR	CALM1	0.016566
HMMR	CD44	0.023821
KIF2C	CENPH	0.20797
EZH2	DNMT3B	0.17747
EZH2	HDAC1	0.18044
EZH2	DNMT1	0.24701
EZH2	SMS	0.054969
EZH2	E2F6	0.12223
EZH2	RPN2	0.11219
EZH2	DNMT3A	0.14212
EZH2	EED	0.098476
EZH2	SUZ12	0.16286
EZH2	POLA2	0.13686
EZH2	PSMB6	0.025225
EZH2	GTF3C1	0.0040026
EZH2	ZMYND11	0.088838
EZH2	AKT1	0.022342
EZH2	PHF1	0.080373
EZH2	ATP1A1	0.014226
EZH2	VAV1	0.014966
NTS	CPE	0.00072246
NTS	NLN	0.0034222
NTS	NTSR2	0.005323
NTS	NTSR1	0.0064444
NTS	SORT1	0.012412
NTS	ARRB2	0.02919
MAD2L1	CDC20	0.27786
MAD2L1	NDC80	0.31862
MAD2L1	MAD2L2	0.1236
MAD2L1	MAD2L1BP	0.073682
MAD2L1	MAD1L1	0.020142
MAD2L1	CDC27	0.092825
MAD2L1	INSR	0.0010723
MAD2L1	TSC22D4	0.00033707
MAD2L1	ESR2	0.027089
MAD2L1	CDC16	0.0036574
MAD2L1	ADAM17	0.016152
MAD2L1	CSF2RB	0.052406
NCAPG	DNMT3B	0.21863
NCAPG	HSF2	0.029714
KRT15	KRT6A	0.11721
KRT15	KRT6B	0.17163
KRT15	MCM10	0.017072
KRT15	NIF3L1	0.014296
KRT15	KRT19	0.19466
KRT15	KRT18	0.00052216
KRT15	MAD2L1BP	0.0054427
KRT15	LDOC1	0.00013395
KRT15	KRT81	0.0080647
KRT15	PSMC5	0.010284
KRT15	PSMA1	1.6074e-05
KRT15	SMARCD1	0.0045045
KRT15	NOC4L	0.013001
KRT15	KIAA1217	0.043051
KRT15	TUBGCP4	0.0012121
KRT15	KRT20	0.015637
KRT15	ABI2	0.008365
KRT15	TCHP	0.00055094
KRT15	CCDC120	0.0020747
KRT15	WAC	0.050026
KRT15	HOXB6	0.0012998
KRT15	PCM1	0.071267
KRT15	ABI3	0.0032268
KRT15	EXOC8	0.016888
KRT15	ABLIM1	0.010852
KRT15	CALCOCO1	0.041077
KRT15	ARC	0.036015
KRT15	C10orf10	0.015618
KRT15	AMOTL2	0.020653
KRT15	FAM107A	0.042314
AURKA	CDC20	0.37455
AURKA	TPX2	0.3651
AURKA	NUF2	0.4032
AURKA	NDC80	0.40648
AURKA	KIF11	0.40136
AURKA	NME1	0.30282
AURKA	TACC3	0.31142
AURKA	BRCA1	0.28491
AURKA	CKAP5	0.13146
AURKA	PPP1CA	0.037391
AURKA	PPP1CC	0.11224
AURKA	TP53	0.010426
AURKA	AURKAIP1	0.076228
AURKA	UBE2N	0.024655
AURKA	TACC1	0.18002
DTL	DDB1	0.075343
KRT14	KRT5	0.11228
KRT14	TCHP	0.00015256
KRT14	DST	6.7122e-06
RAD51AP1	RAD51	0.26371
RFC4	PCNA	0.35149
RFC4	RFC5	0.30272
RFC4	CDK4	0.20088
RFC4	CHTF18	0.20146
RFC4	RFC2	0.27211
RFC4	RFC3	0.14565
RFC4	HDAC1	0.20445
RFC4	BRD4	0.013246
CDK1	TOP2A	0.38618
CDK1	RRM2	0.38966
CDK1	PBK	0.3763
CDK1	CDKN3	0.43642
CDK1	CEP55	0.38912
CDK1	CCNB1	0.38154
CDK1	FOXM1	0.25468
CDK1	KIF11	0.50051
CDK1	SPAG5	0.27407
CDK1	CCNA2	0.47364
CDK1	PTTG1	0.35417
CDK1	BIRC5	0.26022
CDK1	TK1	0.23462
CDK1	MCM4	0.34004
CDK1	CKS2	0.32918
CDK1	FEN1	0.29017
CDK1	CDT1	0.2305
CDK1	PCNA	0.30499
CDK1	LMNB1	0.17331
CDK1	ECT2	0.30164
CDK1	FANCG	0.22005
CDK1	CCNE1	0.21283
CDK1	HMGA1	0.16053
CDK1	BRCA1	0.25508
CDK1	CHAF1B	0.24004
CDK1	RCC1	0.14517
CDK1	CDC25A	0.22268
CDK1	CSNK2A1	0.17399
CDK1	NUP210	0.086917
CDK1	FANCA	0.15186
CDK1	SFN	0.012695
CDK1	STMN2	0.011242
CDK1	STMN1	0.15322
CDK1	KIF20B	0.29946
CDK1	E2F1	0.090146
CDK1	NPM1	0.16719
CDK1	CDC25C	0.17392
CDK1	BUB1	0.24264
CDK1	NDE1	0.08443
CDK1	PPP2R1A	0.0070275
CDK1	CSNK2B	0.059898
CDK1	KRT18	0.00027193
CDK1	AMPH	0.00039167
CDK1	MYT1	0.038921
CDK1	TP53	0.016976
CDK1	CDK7	0.065937
CDK1	WEE1	0.034447
CDK1	KHDRBS1	0.1038
CDK1	GOLGA2	0.00013498
CDK1	ERCC2	0.032576
CDK1	RPS6KB1	0.066992
CDK1	DUT	0.065436
CDK1	PPP2R1B	0.017837
CDK1	PTMA	0.059562
CDK1	CCNB2	0.075723
CDK1	POLA1	0.050085
CDK1	RUNX2	0.051527
CDK1	UBE2A	0.034997
CDK1	TP73	0.031442
CDK1	NSFL1C	0.042476
CDK1	EPN1	0.0055726
CDK1	CNOT7	0.006257
CDK1	PITPNM1	0.00063601
CDK1	TLE1	0.0028649
CDK1	UBA1	0.0031239
CDK1	MAPT	0.00055647
CDK1	LZTS1	0.0050386
CDK1	FANCC	0.01141
CDK1	GFAP	0.0095925
CDK1	RB1	0.0046942
CDK1	CUX1	0.00729
CDK1	RAP1GAP	0.056211
CDK1	GORASP1	0.12066
CDK1	GADD45G	0.050714
CDK1	KAT5	0.041878
CDK1	USP16	0.025979
CDK1	RAB5B	0.029972
CDK1	IL16	0.056643
CDK1	MAP4	0.12915
CDK1	APLP2	0.024382
CDK1	CREM	0.014153
CDK1	LYN	0.015837
CDK1	TSC1	0.099797
CDK1	NES	0.073844
CDK1	LMNA	0.12582
CDK1	HSPA2	0.025197
CDK1	FYN	0.066387
CDK1	MEF2C	0.074063
CDK1	CDKN1A	0.068896
CDK1	ITPR1	0.053375
CDK1	DAB2	0.057325
CDK1	TGFBR2	0.13869
CDK1	VIM	0.069511
CDK1	GADD45B	0.13909
CDK1	ZBTB16	0.17368
CDK1	MNDA	0.086787
KISS1R	KISS1	0.042904
THBS2	MMP9	0.13935
THBS2	THBS3	0.045134
THBS2	MMP2	0.049342
MCM2	CDC6	0.31331
MCM2	MCM4	0.30442
MCM2	CDKN2A	0.10899
MCM2	MCM7	0.28407
MCM2	PLK1	0.23366
MCM2	DBF4	0.26936
MCM2	MCM10	0.22508
MCM2	CDC7	0.19663
MCM2	RPA3	0.19803
MCM2	CDK4	0.22186
MCM2	MCM3	0.32391
MCM2	MCM5	0.32357
MCM2	MCM6	0.4082
MCM2	GNB5	0.058285
MCM2	CDK6	0.017044
MCM2	CCNB2	0.062986
MCM2	CPSF1	0.012513
MCM2	RAD52	0.027672
MCM2	HIST3H3	0.017516
MCM2	GTF2B	0.031111
KIF15	MKI67	0.35126
KIF15	MAP1LC3A	0.050441
KIF15	VIM	0.10168
PCP4	CALM1	0.0076586
EGLN3	HIF1A	0.071169
EGLN3	WDR83	0.00043829
EGLN3	OS9	0.018384
EGLN3	HIF3A	0.04068
EGLN3	EPAS1	0.087017
CRABP2	CCND3	0.056074
CDCA5	XRCC6	0.062276
MMP9	THBS2	0.13935
MMP9	COL1A1	0.11474
MMP9	MMP10	0.04882
MMP9	COL1A2	0.10312
MMP9	MMP7	0.039148
MMP9	PRSS2	0.056208
MMP9	EPHB2	0.10762
MMP9	HAPLN1	0.010857
MMP9	KISS1	0.022283
MMP9	COL4A6	0.00060066
MMP9	PLG	0.031
MMP9	RECK	0.013591
MMP9	FN1	0.00099749
MMP9	CXCL5	0.0088332
MMP9	COL4A5	0.0057812
MMP9	THBS1	0.00069447
MMP9	BTC	0.059074
MMP9	COL4A3	0.072028
MMP9	CD44	0.00019263
MMP9	PZP	0.066508
MMP9	AREG	0.025622
MMP9	COL4A4	0.059344
MMP9	CXCL1	6.6791e-05
MMP9	TIMP3	0.014094
MMP9	TFPI	0.026068
IGFBP3	MMP1	0.10879
IGFBP3	COL1A1	0.14313
IGFBP3	MMP3	0.11277
IGFBP3	ADAM12	0.13378
IGFBP3	GPI	0.13751
IGFBP3	CSNK2A1	0.056972
IGFBP3	TF	0.025296
IGFBP3	POLA2	0.029181
IGFBP3	F2	0.012018
IGFBP3	KPNB1	0.0061008
IGFBP3	IGF1R	0.012601
IGFBP3	GTF3C1	0.0008733
IGFBP3	IGFALS	0.0089947
IGFBP3	PLG	0.024814
IGFBP3	KLK3	0.015521
IGFBP3	PAPPA2	0.022753
IGFBP3	MMP2	0.041677
IGFBP3	KLKB1	0.012432
IGFBP3	FN1	0.0021438
IGFBP3	RXRA	0.020243
IGFBP3	CD44	0.007457
IGFBP3	CTSD	0.026252
IGFBP3	CAV1	0.054142
SPAG5	CDK1	0.27407
SPAG5	SNAPIN	0.045744
SPAG5	EIF4ENIF1	0.0014139
CCNA2	CDC20	0.32331
CCNA2	CDK1	0.47364
CCNA2	CDC6	0.3494
CCNA2	MYBL2	0.21204
CCNA2	CDT1	0.25121
CCNA2	BRCA1	0.27265
CCNA2	E2F3	0.17832
CCNA2	SKP2	0.15516
CCNA2	ITGB3BP	0.11667
CCNA2	E2F1	0.10065
CCNA2	CDC25C	0.17035
CCNA2	TP53	0.016889
CCNA2	CDK2	0.076748
CCNA2	RBL1	0.21026
CCNA2	PTMA	0.068358
CCNA2	UBTF	0.0086202
CCNA2	TAF1	0.024334
CCNA2	SKP1	0.048576
CCNA2	BTG1	0.0028423
CCNA2	RBL2	0.084024
CCNA2	HERC5	0.0019711
CCNA2	PGR	0.16435
CCNA2	CDKN1A	0.080895
NEK2	NDC80	0.32816
NEK2	PPP1CA	0.054635
NEK2	MAD1L1	0.0096641
NEK2	CEP250	0.11918
NEK2	PPP1R2	0.0091797
PTTG1	CDC20	0.36306
PTTG1	CDK1	0.35417
PTTG1	TP53	0.01625
PTTG1	RPS10	0.066188
PTTG1	XRCC6	0.03603
PTTG1	PTTG1IP	0.10234
PTTG1	DNAJA1	0.013749
MDK	PTPRZ1	9.6005e-05
MDK	STAT1	0.020321
MDK	UBQLN4	0.028344
MDK	ALK	0.0072872
MDK	NCL	0.027867
MDK	LRP1	0.00068957
MDK	TGM1	0.038864
MDK	JAK1	0.014419
MDK	JAK2	0.075431
MDK	SDC4	0.04233
MDK	LRP2	0.05446
MKI67	KIF15	0.35126
MKI67	CBX3	0.18017
MKI67	CBX5	0.09203
MKI67	PRKCB	0.068562
SLC2A1	GAPDH	0.21688
SLC2A1	COPS6	0.068782
SLC2A1	CALR	0.020537
SLC2A1	SUMO1	0.022065
SLC2A1	PTK2B	0.020751
SLC2A1	STOM	0.098162
TWIST1	TCF3	0.10884
TWIST1	MYOD1	0.02034
TWIST1	EP300	0.0018676
TWIST1	KAT2B	0.081106
TWIST1	HOXA5	0.071236
OIP5	BRAF	0.00037764
OIP5	RAF1	0.07221
PTHLH	KPNB1	0.015305
PTHLH	CDK2	0.018631
PTHLH	KLK3	0.0036913
PTHLH	PTH1R	0.041813
PTHLH	ARRB1	0.11226
PTHLH	IL6	0.016172
COL3A1	PCOLCE	0.15674
COL3A1	CAPN1	0.024597
COL3A1	SPARC	0.044854
COL3A1	THBS1	0.0011046
COL3A1	DDR2	1.0434e-06
COL3A1	MYOC	0.059793
CENPE	BUB1B	0.38022
CENPE	CENPF	0.29022
CENPE	SKP1	0.03684
ARNTL2	EPAS1	0.11297
DSG3	JUP	0.069162
DSG3	PKP3	0.039004
DSG3	CASP3	0.017528
DSG3	FURIN	0.00054285
SPRR3	IVL	0.15293
SPRR3	LOR	0.031674
PAFAH1B3	GAPDH	0.21649
PAFAH1B3	COPS6	0.11748
PAFAH1B3	UNC119	0.082175
PAFAH1B3	SETDB1	0.065225
PAFAH1B3	TP53	0.04175
PAFAH1B3	CRMP1	0.0082951
PAFAH1B3	SUMO4	0.048782
PAFAH1B3	TLE1	0.0091367
PAFAH1B3	XRCC6	0.06169
PAFAH1B3	GDF9	0.021268
PAFAH1B3	PAFAH1B2	0.0011059
PAFAH1B3	EEF1A1	0.05135
PAFAH1B3	PLEKHM1	0.038905
PAFAH1B3	DDX24	0.022523
PAFAH1B3	BRD7	0.025462
PAFAH1B3	ZHX1	0.011792
PAFAH1B3	PAFAH1B1	0.025411
PAFAH1B3	GBP2	0.026625
PAFAH1B3	ZBTB16	0.093946
CDC6	MCM2	0.31331
CDC6	CCNA2	0.3494
CDC6	CDKN2A	0.085678
CDC6	MCM7	0.22481
CDC6	CDT1	0.26071
CDC6	MCM10	0.28757
CDC6	PCNA	0.27523
CDC6	MCM3	0.25359
CDC6	CDK2	0.09257
CDC6	AKAP8L	0.014804
CDC6	RPS27A	0.015809
CDC6	CDKN1A	0.037871
COL5A2	BMP1	0.052397
CDCA8	BIRC5	0.32589
CDCA8	AURKB	0.36686
CDCA8	INCENP	0.076052
SPC25	NDC80	0.3596
ATAD2	NCOA3	0.019985
ATAD2	ESR1	0.0061112
EXO1	MSH2	0.17433
EXO1	MLH1	0.034332
BIRC5	CDK1	0.26022
BIRC5	CDCA8	0.32589
BIRC5	AURKB	0.30861
BIRC5	XPO1	0.21566
BIRC5	CDK4	0.21047
BIRC5	CASP3	0.03866
BIRC5	DIABLO	0.12899
BIRC5	HSP90AA1	0.060481
BIRC5	INCENP	0.096093
BIRC5	CASP9	0.014312
BIRC5	RASA1	0.036084
BIRC5	CASP7	0.0099192
GALNT14	MUC13	0.029852
PFN2	DDX11	0.1061
PFN2	DNM1	0.060783
PFN2	MYPOP	0.024137
PFN2	TERF1	0.043322
PFN2	SYN1	0.018095
PFN2	RPS10	0.03661
PFN2	SGTA	0.013588
PFN2	ROCK1	0.015705
PFN2	EEF1A1	0.037569
PFN2	ACTB	0.038951
PFN2	GOLGB1	0.013129
PFN2	RAP1GAP	0.019332
PFN2	IK	0.022079
PFN2	FLT3LG	0.082285
PFN2	PLAUR	0.045934
PFN2	HTT	0.069734
PFN2	EVL	0.067305
PFN2	CCDC113	0.00019173
PFN2	RNF146	0.046543
PFN2	FHOD1	0.099644
RACGAP1	PRC1	0.41855
RACGAP1	KIF23	0.32567
RACGAP1	AURKB	0.25408
RACGAP1	TUBG1	0.19457
RACGAP1	ECT2	0.24437
RACGAP1	NRAS	0.10886
RACGAP1	YWHAG	0.070454
RACGAP1	RND2	0.034612
RACGAP1	MAP3K10	0.0043892
RACGAP1	PRSS23	0.045424
RACGAP1	SH3RF1	0.056786
RACGAP1	PPP2CA	0.088125
RACGAP1	VAV1	0.021216
RACGAP1	SLC16A10	0.011849
NQO1	TP53	0.0011341
NQO1	ING1	0.0011173
TK1	CDK1	0.23462
TK1	GAPDH	0.1791
TK1	APLP1	0.013299
TK1	COPS6	0.087552
TK1	UNC119	0.094345
TK1	SETDB1	0.046973
TK1	DRAP1	0.03725
TK1	TP53	0.020343
TK1	CRMP1	0.0017159
TK1	TLE1	0.0012523
TK1	GDF9	0.0084148
TK1	PTPRK	0.0043947
TK1	CDKN1A	0.018901
FAP	PLAUR	0.026499
FAP	DPP4	0.0015828
NME1	AURKA	0.30282
NME1	MIF	0.21586
NME1	WDYHV1	0.19149
NME1	NME4	0.099377
NME1	APEX1	0.15467
NME1	GORASP2	0.090204
NME1	POLR1C	0.16135
NME1	SET	0.045129
NME1	TERF1	0.019309
NME1	TIAM1	0.009552
NME1	RORB	0.040942
NME1	RORA	0.056072
NME1	RRAD	0.11815
NCAPH	CAPG	0.015459
COL1A1	MMP9	0.11474
COL1A1	IGFBP3	0.14313
COL1A1	COL7A1	0.15179
COL1A1	P4HB	0.075422
COL1A1	PAK1	0.055128
COL1A1	TXN	0.019829
COL1A1	BGN	0.10339
COL1A1	ITGA2	0.039907
COL1A1	CAPN1	0.028411
COL1A1	BMP1	0.07516
COL1A1	MMP2	0.062815
COL1A1	SPARC	0.035481
COL1A1	FN1	0.013906
COL1A1	PDGFB	0.024591
COL1A1	THBS1	0.0011024
COL1A1	CD44	0.0045532
COL1A1	ITGA5	0.00043939
COL1A1	DDR2	0.0022092
COL1A1	DCN	0.0085711
COL1A1	VWF	0.052677
COL1A1	PRELP	0.048694
COL1A1	CD93	0.047006
COL1A1	CD36	0.048767
CKS1B	CKS2	0.36343
CKS1B	SKP2	0.19007
CKS1B	CDK2	0.071464
CKS1B	DUSP1	0.16551
KRT16	TCHP	0.00011785
DSG2	JUP	0.09151
DSG2	PKP3	0.083098
DSG2	DSC2	0.10037
DSG2	PKP2	0.063847
DSG2	DSC1	0.0027725
FANCI	FANCD2	0.15612
CDH3	CTNNA1	0.011578
IGFBP2	TF	0.042702
IGFBP2	KLK2	0.019464
GMNN	CDKN2A	0.063416
GMNN	CDT1	0.25536
GMNN	HOXB7	0.069034
GMNN	HOXA10	0.092954
GMNN	MCM6	0.34926
GMNN	HOXD10	0.058972
GMNN	HOXA11	0.05315
GMNN	SIX3	0.0227
GMNN	SCMH1	0.032989
GMNN	PHC1	0.0016811
GMNN	NCF1	0.049479
GMNN	CDKN1A	0.067014
SLC7A5	SLC3A2	0.094437
KIF23	RACGAP1	0.32567
KIF23	PLK1	0.18049
KIF23	YWHAG	0.065437
KIF23	ARF3	0.0048357
KIF23	USP8	0.040547
KNTC1	ZWILCH	0.23571
CHEK1	BLM	0.24875
CHEK1	TIMELESS	0.28276
CHEK1	RAD51	0.24477
CHEK1	CDC25A	0.24199
CHEK1	CDC25C	0.19485
CHEK1	AATF	0.10033
CHEK1	YWHAG	0.10469
CHEK1	CSNK2B	0.048796
CHEK1	HSP90AA1	0.098979
CHEK1	ATR	0.074321
CHEK1	TP53	0.013861
CHEK1	CLSPN	0.12942
CHEK1	TLK1	0.071264
CHEK1	XRCC6	0.026449
CHEK1	CUL1	0.00017794
CHEK1	SMAD4	0.018241
CHEK1	AKT1	0.018117
CHEK1	UBB	0.051099
PTPRZ1	MDK	9.6005e-05
PTPRZ1	ADD2	0.011283
PTPRZ1	ALK	0.0083045
PTPRZ1	GIT1	3.1738e-06
PTPRZ1	PTN	0.015488
PTPRZ1	FYN	0.011072
MMP10	MMP9	0.04882
MMP10	HAPLN1	0.015292
MMP10	BCAN	0.0034776
CLCA2	ITGB4	0.040367
MMP13	F12	0.06026
MMP13	MMP14	0.076223
MMP13	COL2A1	0.022394
MMP13	ADAMTS5	0.02961
MMP13	CCL7	0.02011
MMP13	BCAN	0.02291
MMP13	LRP1	0.0013612
MMP13	TIMP3	0.012212
NCAPG2	TAL1	0.090932
FERMT1	SRPK1	0.12509
MCM4	CDK1	0.34004
MCM4	MCM2	0.30442
MCM4	MCM7	0.24204
MCM4	CDC7	0.1468
MCM4	MCM3	0.25251
MCM4	MCM8	0.20552
MCM4	MCM6	0.24616
MCM4	SSRP1	0.18563
MCM4	SUPT16H	0.078631
MCM4	CDK2	0.084224
MCM4	CDC5L	0.083194
CKS2	CDK1	0.32918
CKS2	CKS1B	0.36343
CKS2	UNC119	0.053065
CKS2	TSC22D4	0.00098914
CKS2	EEF1A1	0.019357
MMP3	SPP1	0.10508
MMP3	IGFBP3	0.11277
MMP3	SPOCK1	0.096216
MMP3	TIMP1	0.06045
MMP3	TNFSF11	0.085228
MMP3	CCL7	0.037313
MMP3	SPOCK3	0.014831
MMP3	HAPLN1	0.0097487
MMP3	ACAN	0.028552
MMP3	BCAN	0.044743
MMP3	PLG	0.031944
MMP3	CCL13	0.00039107
MMP3	CCL8	7.3399e-05
MMP3	DCN	0.010672
