gene	p
CHMP4C	1.07e-07
HSPA4L	6.24e-08
CHODL	1.36e-07
FAT1	2.09e-10
EMC9	3.32e-20
ALDOC	1.07e-08
PTPRH	4.34e-14
CKAP5	4.59e-18
NOX4	1.08e-12
MTFP1	1.97e-19
MCM8	3.43e-22
MS4A1	0.0006847
PSMB5	4.64e-26
LSM2	7.58e-14
VRK1	9.81e-16
KIF1A	4.09e-10
stx1a	4.7e-19
RUSC1	2.37e-24
TCTEX1D2	1.35e-07
CCL26	3.3e-11
PGBD5	1.44e-08
KCNN4	8.82e-06
MCM6	7.51e-20
RFC2	2.42e-21
AGT	0.00057856
RCC2	3.9e-20
RFWD3	2.29e-19
NME4	2.73e-14
adamts12	5.22e-17
HEPACAM2	0.00010798
FGF11	2.28e-24
MASTL	1.78e-13
FOXE1	2.01e-09
EFNA3	7.74e-28
SOX9	0.00060175
PC	3.71e-13
TENM2	0.0010968
BNC1	1.15e-07
DHRS13	6.75e-14
TIMM8B	2.67e-20
GDA	1.35e-09
PLPP5	2.23e-11
PTTG3P	4.92e-21
SPINT2	8.47e-11
Hist1h2ac	5.3e-08
E2F3	1.37e-15
SFXN1	1.03e-15
UBXN7	2.47e-13
KDELR2	4.88e-18
CALU	3.09e-15
TNS4	1.12e-19
ZNF280B	2.72e-12
MRPL37	5.08e-19
P4HB	1.94e-13
YKT6	5.09e-16
DPY30	4.42e-23
DHFR	2.95e-15
PRKAB2	1.04e-14
RAB3B	4.9e-10
CPSF3	6.48e-20
SLC52A2	3.12e-16
PRMT5	7.42e-21
SNRPD1	4.31e-25
DSC2	1.01e-08
CDC25A	5.04e-21
CTPS1	1.4e-11
TOMM5	1.34e-20
MAD2L2	5.42e-13
ATIC	1.61e-18
LDHA	3.06e-22
TPRKB	6.76e-18
GPC1	6.78e-10
PFKP	6.07e-24
BPHL	2.74e-20
CSNK2A1	3.11e-22
HDGF	4.22e-22
CDH2	9.1e-09
TIMP1	8.77e-07
PROX1	1.11e-06
CEP76	1.5e-14
APOO	8.16e-15
SLC44A5	2.18e-16
TAF1A	3.76e-11
DNA2	2.81e-16
sost	0.0015881
SLC27A2	3.5e-05
RAE1	7.14e-24
Iglc1	4.72e-07
EXOSC4	1.33e-16
CCT2	3.46e-14
SGPL1	4.18e-23
OVOL1	1.3e-15
MRPL42	1.54e-17
EPHX3	3.89e-06
GARS	1.15e-19
SHOX2	2.84e-12
PPP1R14D	6.37e-07
HSP90B1	1.18e-10
G6PD	1.51e-05
IGFBP5	1.56e-10
NEMP1	6.4e-17
XPR1	1.78e-09
SNRPD2	2.92e-24
CCNF	4.88e-27
KIF2A	1.88e-16
Hist1h1d	4.39e-11
RAB6B	9.24e-10
CD3EAP	1.66e-17
RAB26	1.71e-17
PSMD14	7.7e-24
NELFCD	5.15e-19
CYP2S1	2.88e-05
CHAF1A	2.99e-25
PDZD11	2.11e-27
FUNDC1	1.24e-20
CBLC	1.51e-21
PSPH	9.61e-12
UBE2QL1	7.22e-07
CCT5	6.72e-20
STT3A	2.14e-07
FUT3	1.36e-08
SCG3	0.00030714
PRPF4	5.2e-17
PGK1	2.36e-16
PTPRF	1.16e-12
onecut2	1.26e-07
SKA2	1.47e-17
LOXL1	2.23e-06
CEL	6.33e-06
PODXL2	9.32e-18
CKAP2	7.55e-21
CENPN	1.78e-18
RANGAP1	2.16e-14
ZNF581	1.94e-12
P3H1	5.6e-15
ZNF217	1.24e-10
PSMC4	7.18e-19
SRPRB	2.29e-15
CHPF	1.71e-15
RCN3	1.14e-08
CKAP4	5.53e-16
cyp4f3	0.0079444
TTYH3	7.38e-14
TOPBP1	1.8e-13
CACYBP	1.6e-22
SUV39H2	8.8e-30
BRIX1	2.57e-16
ATP5G1	1.42e-21
STAP2	8.81e-09
DNAJB11	1.23e-16
PPP1R35	1.84e-20
GMDS	1.36e-14
SIAH2	1.26e-13
SCRIB	6.81e-13
B4GALT2	1.51e-24
SKP2	7.73e-13
BCL2L12	6.86e-21
ARHGEF19	8.74e-16
EIF6	2.72e-19
SMYD3	2.37e-09
IL36G	1.9e-05
CBR1	3.11e-07
ZNF692	1.83e-19
KIF21A	1.14e-11
MRPL9	7.9e-28
GABRP	0.0020226
SULF2	2.27e-06
BET1	7.71e-11
KDM5B	2.25e-22
MTIF2	1.16e-17
TBX15	9.04e-09
c10orf2	3.36e-12
KIF3C	1.33e-18
PIAS3	4.9e-13
DBN1	6.41e-15
NIT2	2.82e-17
KCTD1	1.27e-13
ITPKA	1.92e-07
NDRG1	1.71e-06
sdc1	5.61e-08
ZNF322	5.58e-14
SST	0.003124
ABCB6	3.41e-19
CCNO	4.25e-10
FOXA3	3.89e-07
EPHB2	1.22e-17
ZDHHC13	2.56e-14
HMBS	1.15e-19
PYCRL	5.78e-14
ASNS	4.68e-23
MTERF1	3.21e-15
dsn1	8.82e-12
pmch	1.22e-14
SLITRK6	0.0053131
TSTA3	1.58e-12
CSTF2	3.06e-23
UHMK1	1.42e-12
SDHAF3	1.39e-13
NHS	5.79e-14
CD27	0.00036396
aldh3a1	0.027024
SNRPG	8.79e-26
LRP12	1.41e-10
SAAL1	7.21e-16
KLK6	3.26e-05
TRAIP	5.98e-24
FKBP4	1.56e-24
TTC39C	3.01e-10
COL15A1	0.0014863
IL2RA	3.61e-10
MRPL12	2.51e-25
LRRC8D	4.51e-15
MUC20	8.16e-05
GRTP1	1.91e-11
SLC25A10	1.69e-17
SNRPF	9.32e-22
PLAC1	1.06e-09
CDK5	1.04e-13
CYP26A1	2.39e-07
KRTDAP	0.0015017
CENPX	1.39e-18
LSM5	3.46e-14
ALPK2	8.32e-12
SIX2	1.94e-11
STOML2	1.52e-13
IRAK1	6.86e-21
SLC50A1	3.4e-15
COQ3	4.26e-13
NRTN	9.69e-08
PPME1	4.57e-26
VWDE	3.96e-11
AACS	9.2e-15
IMP4	3.75e-17
DROSHA	2.36e-15
MRPL21	3.78e-15
PERP	4.78e-11
RFC3	1.45e-12
RGS20	1.29e-11
LIG1	2.9e-16
TIMM50	2.03e-19
C1QBP	1.38e-13
SLFN13	1.81e-06
SSX2IP	2.97e-14
KNL1	6.14e-22
GAD1	9.83e-12
HACD3	3.11e-15
H2AFY2	2.87e-11
MRPL24	5.46e-26
SNRPA	8.07e-22
HDAC1	3.17e-21
SMC4	1.65e-11
BARD1	3.6e-12
MEN1	5.43e-19
ZNF239	5.48e-08
XXYLT1	2.4e-10
TTI1	1.39e-13
REEP6	3.96e-08
SRXN1	1.56e-05
DNMT1	4.36e-15
ITM2C	4.61e-09
MNX1	4.97e-16
CBX4	1.64e-14
PTGES	4.5e-11
PRPF19	3.98e-20
SNAI2	0.00068829
SYNDIG1	9.37e-12
DNAAF5	1.01e-16
METTL8	4.59e-14
GRHL2	3.22e-06
MOSPD1	2.98e-12
CYP4F2	6.56e-08
SDF2L1	2.28e-09
C8orf59	7.57e-16
AVEN	3.61e-12
GFPT1	3.04e-12
PIGU	2.58e-14
ATAD5	2.24e-21
POLR2D	5.44e-19
SPAST	1.55e-13
MSTO1	3.38e-25
ACVR1C	1.8e-08
QPCT	0.0013002
HSPB1	4.42e-07
KCND2	4.52e-10
LSM4	1.56e-19
NPTX1	0.00015493
PIR	0.00038907
VANGL2	0.00010732
RAPGEFL1	7.8e-07
TSKU	1.09e-11
CARM1	7.77e-09
DUSP4	0.0033074
FLVCR1	2.39e-08
LSM7	4.6e-17
FRMD5	5.32e-12
ZNF281	1.31e-10
DHRS11	2.46e-11
Hist1h2bk	2.71e-08
ENO1	7.31e-15
STAT1	1.9e-05
DPP3	8.03e-17
UCHL3	3.01e-14
MORC2	4.33e-20
SNRPC	5.84e-27
CDK5R1	6.4e-17
LECT1	0.00034224
PUS1	3.94e-15
CHGA	0.00012619
EIF4G1	7.25e-11
TPD52L1	8.76e-05
IARS	4.93e-17
KRT23	0.0014043
SWI5	1.17e-12
POLE	9.95e-17
ALG8	2.79e-16
C10orf99	3.01e-05
LIN28B	1.79e-05
CPOX	6.37e-11
H2AFZ	9.12e-22
MEA1	2.15e-22
KDELC1	7.59e-08
SMS	4.02e-08
FNTB	4.2e-13
ISG15	5.31e-05
NSUN5	1.28e-21
SLCO5A1	4.69e-11
CRLF1	0.0070969
MTFR2	5.18e-17
RPF2	2.21e-13
NANP	1.39e-13
TAF6	9.31e-17
MUC16	0.0047252
MYCL	1.79e-08
WFDC3	9.76e-09
ZNF260	2.02e-12
PAK1IP1	6.24e-11
FAM111B	2.44e-12
LAX1	0.0005257
SPTBN2	4.49e-16
CXCL6	0.03238
PSME3	1.73e-19
TRIM16	0.00048662
PRIM2	8.04e-14
STYXL1	7.58e-15
MAGEF1	4.23e-14
NAA40	1.08e-14
LSG1	2.07e-09
MNAT1	1.36e-12
TICRR	1.06e-24
KDM1A	2.73e-14
FUT8	1.4e-06
EPCAM	6.62e-05
PFDN2	1.13e-17
MANF	1.84e-12
nr0b1	5.03e-06
GRB7	1.19e-10
CBX3	5.22e-21
NSUN2	2.65e-19
PNOC	0.00022472
XPOT	1.47e-13
TOMM40	2.32e-14
PGAM1	5.2e-20
CECR5	1.37e-13
CCL19	0.035095
BICDL1	1.76e-17
MRTO4	9.82e-15
HYOU1	9.76e-09
NR2C2AP	1.37e-19
MAP1B	7.84e-05
SMARCC1	1.42e-18
PPIH	1.97e-16
DCAF13	1.08e-19
PUS7L	1.82e-20
ZNHIT3	5.76e-18
NOP2	8.24e-13
AKR1C3	0.043444
CENPO	6.32e-26
ST14	6.07e-09
RPRM	1.65e-06
GSS	2.05e-20
NUP210	5.82e-13
CST4	5.32e-07
CILP	0.0020277
SRPX2	1.07e-10
Apela	4.6e-06
GPS1	4.08e-19
POLR2I	4.25e-15
YIF1A	1.43e-16
CALML5	0.00015527
TARS	5.96e-20
hist1h2am	6.93e-17
SFXN4	2.67e-24
EEF1E1	3.94e-14
PKP2	4.06e-10
SLC39A11	6.51e-09
IDH2	9.96e-13
ankrd39	2.44e-18
TMED2	0.00185
SNRPE	7.41e-18
PSMG1	9.19e-11
PARS2	8.4e-16
tmem63c	1.17e-15
TSSC1	1.84e-19
NSUN5P1	1.4e-17
FANCA	1.23e-25
SNRPA1	2.93e-17
YEATS4	4.37e-12
OSTC	9.21e-12
TNFRSF18	1.12e-11
CTTN	1.88e-13
DHTKD1	3.04e-12
DVL3	2.27e-14
SNAPC1	2.84e-07
ARHGEF16	1.09e-17
TRIT1	7.97e-12
CPT1C	1.72e-09
CELSR2	8.04e-10
NKAIN2	1.54e-08
VPREB3	3.91e-06
C17orf96	3.87e-11
MRPL47	5.61e-22
PLP2	2.78e-09
HSF2BP	4.67e-14
GYG2	7.75e-14
ATP13A3	3.01e-11
MRPL58	1.65e-16
