"ONTOLOGY"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"BP"	"GO:0016570"	"histone modification"	"70/982"	"448/18862"	1.10825934626844e-16	5.61786737708438e-14	3.40007604223599e-14	"AURKA/EZH2/CCNA2/MUC1/CHEK1/BRCC3/KDM5B/MST1/HDAC1/DNMT3B/DNMT1/PARK7/BRCA1/EED/RUVBL1/PAX5/TP53/HDAC3/SUPT3H/VRK1/HR/ZBTB7B/OGT/SMARCB1/SUV39H1/PCGF1/MEAF6/NSD1/PHB/RUVBL2/HCFC1/HDAC6/CTBP1/MYOD1/TAF1/SPHK2/CTCF/SMYD1/CREBBP/HDAC7/HDAC5/PRKD1/UIMC1/WBP2/PER2/CDK9/EPC1/SIN3A/HUWE1/PRMT2/RYBP/GTF2B/ARID4A/SKI/MAPK8/PHC1/MORF4L1/WAC/ING3/SIRT1/JMJD1C/SPI1/GATA2/PPARGC1A/NCOA1/BCL6/JDP2/KAT2B/IL1B/ARRB1"	70
"BP"	"GO:0042326"	"negative regulation of phosphorylation"	"66/982"	"407/18862"	1.28528413828861e-16	5.97228696258108e-14	3.61457977838008e-14	"SFN/SFRP2/HSPB1/PMEPA1/TRIM27/CDKN2C/GPS1/PARK7/HEXIM2/DUSP9/PIP4K2C/LAX1/PIP5KL1/SNX6/AKT1/IBTK/NPPA/DVL1/PPP2R5D/TSC2/CAMK2N2/PARD6A/PPIA/SFRP1/PTPRT/NTRK3/NCOR1/PTPN6/DUSP22/PDE4D/TRIB2/RGS3/FBXO7/DUSP7/DUSP3/IGF1R/HEXIM1/SIRT1/PIP4K2A/RGN/INPP5K/PPP2CA/NR2F2/IRS2/PPP1R15B/PPARGC1A/SPRY4/DUSP2/SH2B3/ENG/IRAK3/KAT2B/PTPRC/PRKAR2B/HYAL2/IL1B/SH3BP5/CAMK2N1/CBFA2T3/DUSP1/RASIP1/ARRB1/TNFAIP3/ANGPT1/PTPRB/CAV1"	66
"BP"	"GO:0001933"	"negative regulation of protein phosphorylation"	"61/982"	"362/18862"	2.9958812812518e-16	1.28500261725077e-13	7.77716225724152e-14	"SFN/SFRP2/HSPB1/PMEPA1/TRIM27/CDKN2C/GPS1/PARK7/HEXIM2/DUSP9/LAX1/PIP5KL1/SNX6/AKT1/IBTK/NPPA/DVL1/PPP2R5D/TSC2/CAMK2N2/PARD6A/PPIA/SFRP1/PTPRT/NTRK3/PTPN6/DUSP22/PDE4D/TRIB2/RGS3/FBXO7/DUSP7/DUSP3/IGF1R/HEXIM1/SIRT1/RGN/INPP5K/PPP2CA/NR2F2/PPP1R15B/PPARGC1A/SPRY4/DUSP2/SH2B3/ENG/IRAK3/KAT2B/PTPRC/PRKAR2B/HYAL2/IL1B/SH3BP5/CAMK2N1/DUSP1/RASIP1/ARRB1/TNFAIP3/ANGPT1/PTPRB/CAV1"	61
"BP"	"GO:0071375"	"cellular response to peptide hormone stimulus"	"57/982"	"325/18862"	4.63439547960489e-16	1.84581351387692e-13	1.11713322613634e-13	"GJB2/CCNA2/CDC6/BRIP1/RAB15/EPRS1/PIP4K2C/PIK3R2/SHC1/ZBTB7B/OGT/AKT1/ADIPOR1/TSC2/PRLR/SRC/HDAC5/STAT5B/FOXO4/ATP6V1E1/ADCY8/FER/CPS1/BAIAP2/SP1/NFKB1/ADCY3/STAT6/IGF1R/APPL1/STAT5A/GKAP1/CRK/PIK3R3/SIRT1/PIP4K2A/PIK3CA/INPP5K/IRS2/NR4A1/PIK3R1/GAB1/CFLAR/FOXO1/PDE3B/KAT2B/PRKAR2B/IL1B/FYN/PPARG/RAB8B/NR4A3/GHR/KL/SOCS2/CAV2/CAV1"	57
"BP"	"GO:0016569"	"covalent chromatin modification"	"70/982"	"461/18862"	5.09088297406505e-16	1.89245089755912e-13	1.14535935542825e-13	"AURKA/EZH2/CCNA2/MUC1/CHEK1/BRCC3/KDM5B/MST1/HDAC1/DNMT3B/DNMT1/PARK7/BRCA1/EED/RUVBL1/PAX5/TP53/HDAC3/SUPT3H/VRK1/HR/ZBTB7B/OGT/SMARCB1/SUV39H1/PCGF1/MEAF6/NSD1/PHB/RUVBL2/HCFC1/HDAC6/CTBP1/MYOD1/TAF1/SPHK2/CTCF/SMYD1/CREBBP/HDAC7/HDAC5/PRKD1/UIMC1/WBP2/PER2/CDK9/EPC1/SIN3A/HUWE1/PRMT2/RYBP/GTF2B/ARID4A/SKI/MAPK8/PHC1/MORF4L1/WAC/ING3/SIRT1/JMJD1C/SPI1/GATA2/PPARGC1A/NCOA1/BCL6/JDP2/KAT2B/IL1B/ARRB1"	70
"BP"	"GO:1903131"	"mononuclear cell differentiation"	"64/982"	"411/18862"	2.81514334380037e-15	9.8107745531443e-13	5.93772997383158e-13	"EZH2/SOX4/CD79A/TREM2/CD19/IL2RA/CR2/FZD9/TP53/ZBTB7B/PRDX2/CBFB/CARD11/WNT4/TCF3/ZFPM1/TLR9/IL27/XRCC6/IL31RA/BLK/SPN/SFRP1/HDAC5/TRAF6/STAT5B/HOXA7/PTPN6/HMGB1/YY1/PRDM1/AXL/ZAP70/RIPK2/FBXO7/MAFB/ADAM17/RORA/NDFIP1/IL4R/IRF8/BTK/FOXP1/SPI1/PLCG2/CD8A/PLCL2/RUNX3/PIK3R1/CEBPB/BCL6/JUN/IL15/ITK/GAS6/KIT/PTPRC/TGFBR2/IL1B/PPARG/LILRB2/MYC/IL7R/ZBTB16"	64
"BP"	"GO:0010948"	"negative regulation of cell cycle process"	"59/982"	"359/18862"	3.00208190884765e-15	9.84682866102028e-13	5.95955083576815e-13	"SFN/AURKA/EZH2/MAD2L1/SOX4/CDC6/MUC1/CHEK1/BRCC3/CHMP4C/CDT1/CHEK2/CDKN2C/PSMD4/MAD1L1/BRCA1/RBBP7/PSMC1/EED/CDC25C/TRIAP1/LCMT1/FZD9/TP53/E2F6/CBX5/E2F1/PSMC4/PSMC6/MAD2L1BP/PSMA1/PSMC5/BABAM2/TOPBP1/NAE1/RBBP4/PSMD13/E2F4/CDC14B/AURKAIP1/CLSPN/GFI1B/FOXO4/UIMC1/CDK9/EPC1/PSMD9/TOM1L2/PRMT2/RYBP/FBXO7/PHC1/PKD2/TPR/BCL6/KAT2B/PLAGL1/DUSP1/FHL1"	59
"BP"	"GO:0051098"	"regulation of binding"	"58/982"	"357/18862"	8.75913788645064e-15	2.71338626971382e-12	1.64221029613806e-12	"AURKA/GMNN/SOX11/CDT1/PARK7/MSX2/HIP1R/PCBD1/PBXIP1/E2F1/STMN1/MDFI/ERCC2/AKT1/PPP1CA/ERCC4/SUMO4/NSD1/ZFPM1/RUVBL2/DVL1/MYOD1/TAF1/NFATC4/SRC/TERT/ADD2/TMSB4X/HABP4/HDAC5/TRAF6/EIF2S1/PER2/CDK9/PLXND1/HMGB1/SIN3A/GTF2B/SKI/TIAM1/RIPK2/MAPK8/HEY2/TLE5/CRK/PLAUR/MSX1/PPP2CA/PLCL2/JUN/MAP2/PPARG/HEY1/ID1/ANGPT1/ADRB2/TGFBR3/CAV1"	58
"BP"	"GO:0048732"	"gland development"	"63/982"	"413/18862"	1.2544925455168e-14	3.68160549147457e-12	2.2282011639484e-12	"SOX9/AURKA/EZH2/FA2H/KDM5B/EPHB3/MST1/POU3F2/SLC6A3/MAD1L1/PTPN3/PRKCSH/ZBTB7B/PRDX2/CAD/AKT1/HOXB3/TP63/WNT4/HNF4A/PRLR/SRC/SALL1/CCNB2/PAX8/SIX3/THRA/SFRP1/STAT5B/PLXND1/RAF1/CPS1/MAPK1/RTN4/MSN/MAFB/STAT5A/CUL3/TGFB2/PIK3CA/RGN/MSX1/FEM1B/DKK3/GATA2/IRS2/PKD2/WNT2/RAP1A/CEBPB/NCOA1/PBX1/CFLAR/CITED2/FSTL3/TGFBR2/ETS1/TNFAIP3/HOXA5/TCF21/TGFBR3/SOCS2/CAV1"	63
"BP"	"GO:0030099"	"myeloid cell differentiation"	"63/982"	"419/18862"	2.48696073859063e-14	6.93364653919069e-12	4.19641901469556e-12	"HOXB7/HDAC1/TREM2/G6PD/ATP5IF1/HSPA9/CBFB/HOXB8/ERCC2/ZFPM1/SRC/IL31RA/CEBPE/CREBBP/THRA/SFRP1/RASGRP4/TRAF6/STAT5B/HOXA7/LYAR/CD81/PTPN6/HMGB1/SIN3A/ARID4A/MAFB/SNRK/KLF13/NDFIP1/SIRT1/PIP4K2A/IRF8/FOXP1/TLR3/SPI1/GATA2/PPARGC1B/PIK3R1/CEBPB/BCL6/SH2B3/JUN/GAB2/TYROBP/IL15/KAT2B/KLF10/FSTL3/KIT/TGFBR2/TLR4/OSCAR/JUNB/PPARG/ETS1/CBFA2T3/MYC/HOXA5/ZFP36/NR4A3/TGFBR3/ZBTB16"	63
"BP"	"GO:1901987"	"regulation of cell cycle phase transition"	"68/982"	"478/18862"	3.62384484513319e-14	9.62217088402983e-12	5.82358224235438e-12	"SFN/AURKA/EZH2/MAD2L1/SOX4/CDC6/CDCA5/MUC1/CHEK1/BRCC3/CHMP4C/CDT1/DBF4/CHEK2/PLK4/CDKN2C/PSMD4/MAD1L1/CEP72/BRCA1/PSMC1/CDC25C/TRIAP1/LCMT1/TP53/E2F1/PSMC4/PSMC6/MAD2L1BP/PSMA1/PSMC5/ERCC2/BABAM2/CSNK1D/AKT1/TOPBP1/NDE1/NAE1/PSMD13/TAF1/E2F4/TERT/CDC14B/CLSPN/SIX3/GFI1B/FOXO4/CDC14A/UIMC1/PSMD9/PTPN6/SIN3A/PAFAH1B1/PRMT2/FBXO7/VPS4B/ADAM17/APPL1/CUL3/PKD2/TUBA1A/TPR/PBX1/PRKAR2B/PLAGL1/DUSP1/HECW2/FHL1"	68
"BP"	"GO:0048545"	"response to steroid hormone"	"54/982"	"330/18862"	5.54586005589181e-14	1.40562343962058e-11	8.50719011444457e-12	"GJB2/HDAC1/PMEPA1/DNMT3B/PTPRU/PARK7/BRCA1/SMARCA4/RBBP7/CBFB/ESRRG/CAD/TP63/ESRRA/PHB/DAXX/HDAC6/MYOD1/SRC/SFRP1/WBP2/PIAS2/TMF1/NCOR1/HMGB1/CPS1/AVPR1A/RXRA/PRMT2/CRY2/SIRT1/FOXP1/TGFB2/CRY1/PPARGC1B/CALCOCO1/DDX5/NCOA1/CFLAR/ENG/NEDD4/FOXO1/SCNN1B/SCNN1G/TGFBR2/CCN2/HEY1/DUSP1/ICAM1/ZFP36/NR4A3/TCF21/CAV1/FOSB"	54
"BP"	"GO:0007159"	"leukocyte cell-cell adhesion"	"57/982"	"366/18862"	9.66417254318347e-14	2.34293156959961e-11	1.41800170130189e-11	"DPP4/SOX4/PODXL2/IL2RA/MAD1L1/LAX1/ZBTB7B/PRDX2/DLG5/CBFB/AKT1/EFNB3/CARD11/IL27RA/SRC/SPN/ADD2/TRAF6/STAT5B/GRAP2/CD81/PTPN6/HMGB1/EFNB1/TNIP1/ZAP70/RIPK2/DUSP3/MSN/LAPTM5/NDFIP1/IL4R/PIK3CA/SIRPB1/RUNX3/PIK3R1/CEBPB/PAG1/BCL6/EXT1/CD55/IL15/PTPRC/TGFBR2/SELL/CXCL12/IL1B/FYN/LILRB2/ETS1/ICAM1/MAP3K8/IL7R/NR4A3/OLR1/ZBTB16/CAV1"	57
"BP"	"GO:0044839"	"cell cycle G2/M phase transition"	"48/982"	"276/18862"	1.39133687134977e-13	3.23253933110262e-11	1.95641491646814e-11	"MELK/AURKA/CCNA2/CDC6/CHEK1/BRCC3/CHMP4C/CHEK2/PLK4/PSMD4/MNAT1/CEP72/BRCA1/PSMC1/CDC25C/CDK7/LCMT1/FBXL6/TP53/TAF2/PSMC4/PSMC6/PSMA1/PSMC5/BABAM2/CSNK1D/TOPBP1/NDE1/NAE1/KHDRBS1/PSMD13/CDC14B/CCNB2/CLSPN/FOXO4/UIMC1/PSMD9/SIN3A/CCNH/PAFAH1B1/PPP2R2A/VPS4B/PHLDA1/TUBA1A/PPM1D/PBX1/PRKAR2B/FHL1"	48
"BP"	"GO:0071383"	"cellular response to steroid hormone stimulus"	"40/982"	"201/18862"	1.70770372520057e-13	3.80886238868735e-11	2.30522027073391e-11	"GJB2/HDAC1/PMEPA1/DNMT3B/PARK7/BRCA1/SMARCA4/CBFB/ESRRG/TP63/ESRRA/PHB/DAXX/HDAC6/MYOD1/SRC/SFRP1/WBP2/PIAS2/TMF1/NCOR1/RXRA/PRMT2/CRY2/SIRT1/FOXP1/CRY1/PPARGC1B/CALCOCO1/DDX5/CFLAR/NEDD4/FOXO1/SCNN1B/SCNN1G/HEY1/ICAM1/ZFP36/NR4A3/TCF21"	40
"BP"	"GO:0009755"	"hormone-mediated signaling pathway"	"39/982"	"193/18862"	2.05318239269321e-13	4.40328654679128e-11	2.66498087083985e-11	"HDAC1/PMEPA1/PARK7/BRCA1/SMARCA4/CBFB/ESRRG/ADIPOR1/TP63/ESRRA/PHB/DAXX/HDAC6/PRLR/SRC/THRA/SFRP1/WBP2/PIAS2/TMF1/NCOR1/GTF2H1/RXRA/PRMT2/APPL1/CRY2/SIRT1/FOXP1/CRY1/PPARGC1B/CALCOCO1/DDX5/THRB/NCOA1/NR5A2/NEDD4/PPARG/NR4A3/TCF21"	39
"BP"	"GO:0070661"	"leukocyte proliferation"	"51/982"	"312/18862"	2.93905329074286e-13	6.06968931451192e-11	3.67353015599283e-11	"SOX11/CD79A/TREM2/CD19/IL2RA/CR2/MAD1L1/TP53/ZBTB7B/PRDX2/DLG5/CARD11/WNT4/IL27RA/TLR9/IL27/BLK/SPN/TRAF6/STAT5B/CD40/CD81/PTPN6/HMGB1/EFNB1/ZAP70/RIPK2/MAPK1/MYD88/MSN/NDFIP1/BTK/IRS2/PLCL2/CEBPB/BCL6/CD55/TYROBP/IL15/BST1/KIT/PTPRC/NPR3/TGFBR2/TLR4/IL1B/FYN/LILRB2/TNFAIP3/IL7R/IL33"	51
"BP"	"GO:0033044"	"regulation of chromosome organization"	"47/982"	"273/18862"	3.67819258420708e-13	7.32485780340668e-11	4.43319000938643e-11	"TOP2A/MCM2/MAD2L1/CDC6/CDCA5/MUC1/CCT6A/CDT1/DNMT3B/DNMT1/MAD1L1/MNAT1/BRCA1/CCT5/ATR/LCMT1/TP53/SMG5/ZBTB7B/OGT/MAD2L1BP/SMARCB1/ERCC4/CCT7/RUVBL2/CTBP1/RNF4/SRC/SPHK2/CTCF/SMG6/PRKD1/WBP2/CDK9/SIN3A/MAPK1/CUL3/SIRT1/TPR/PPARGC1A/BCL6/JDP2/IL1B/DUSP1/ARRB1/MYC/HECW2"	47
"BP"	"GO:0071901"	"negative regulation of protein serine/threonine kinase activity"	"33/982"	"145/18862"	4.49807468271818e-13	8.40924868498629e-11	5.08949091672318e-11	"SFN/SFRP2/HSPB1/CDKN2C/GPS1/HEXIM2/DUSP9/LAX1/AKT1/NPPA/SFRP1/PTPN6/RGS3/FBXO7/DUSP7/DUSP3/HEXIM1/SIRT1/INPP5K/PPP2CA/NR2F2/SPRY4/DUSP2/SH2B3/IRAK3/KAT2B/PRKAR2B/HYAL2/IL1B/DUSP1/RASIP1/TNFAIP3/CAV1"	33
"BP"	"GO:0062197"	"cellular response to chemical stress"	"54/982"	"347/18862"	4.52434470139147e-13	8.40924868498629e-11	5.08949091672318e-11	"GJB2/MELK/EZH2/CCNA2/AQP5/HSPB1/NOX4/DNMT3B/GPX7/G6PD/PARK7/SIGMAR1/TRAP1/NONO/TP53/TMEM161A/PRDX2/AKT1/SUMO4/ZNF622/TXNRD2/HDAC6/BRF2/SRC/PPIA/XRCC6/EIF2S1/PRKD1/FER/SIN3A/AXL/MAPK8/FBXO7/MAPK1/CRK/SIRT1/BTK/PIK3CA/PKD2/PPARGC1B/PPARGC1A/CFLAR/NCF1/JUN/FOXO1/MCL1/FAS/TLR4/FYN/PPARG/ETS1/TNFAIP3/NR4A3/CAV1"	54
"BP"	"GO:0002429"	"immune response-activating cell surface receptor signaling pathway"	"66/982"	"481/18862"	4.84230242314595e-13	8.43771197233182e-11	5.10671762125195e-11	"MUC1/CD79A/CD19/CR2/PSMD4/PSMC1/LAX1/PIK3R2/PAX5/PSMC4/PSMC6/EIF2B3/PSMA1/PSMC5/CBFB/CARD11/KHDRBS1/RBCK1/IKBKG/PSMD13/SRC/RNF31/BLK/CREBBP/NCR3/TRAF6/GRAP2/LAT2/PRKCE/CD81/PSMD9/PTPN6/RAF1/BAIAP2/PDE4D/CD226/ELF1/NFKB1/ZAP70/RIPK2/MAPK1/DUSP3/APPL1/CRK/LAPTM5/TXK/BTK/FOXP1/PIK3CA/PLCG2/PLCL2/CLEC4A/LCP2/PIK3R1/RAP1A/KIR2DS2/PAG1/PRAM1/PRKCH/TYROBP/ITK/CD247/PTPRC/FYN/KLRD1/NR4A3"	66
"BP"	"GO:0002757"	"immune response-activating signal transduction"	"66/982"	"481/18862"	4.84230242314595e-13	8.43771197233182e-11	5.10671762125195e-11	"MUC1/CD79A/CD19/CR2/PSMD4/PSMC1/LAX1/PIK3R2/PAX5/PSMC4/PSMC6/EIF2B3/PSMA1/PSMC5/CBFB/CARD11/KHDRBS1/RBCK1/IKBKG/PSMD13/SRC/RNF31/BLK/CREBBP/NCR3/TRAF6/GRAP2/LAT2/PRKCE/CD81/PSMD9/PTPN6/RAF1/BAIAP2/PDE4D/CD226/ELF1/NFKB1/ZAP70/RIPK2/MAPK1/DUSP3/APPL1/CRK/LAPTM5/TXK/BTK/FOXP1/PIK3CA/PLCG2/PLCL2/CLEC4A/LCP2/PIK3R1/RAP1A/KIR2DS2/PAG1/PRAM1/PRKCH/TYROBP/ITK/CD247/PTPRC/FYN/KLRD1/NR4A3"	66
"BP"	"GO:0022407"	"regulation of cell-cell adhesion"	"62/982"	"437/18862"	5.71240818089366e-13	9.65223879292819e-11	5.84178010460768e-11	"DPP4/SOX4/EPHB3/PTPRU/IL2RA/MAD1L1/CELSR2/LAX1/ZBTB7B/PRDX2/DLG5/CBFB/AKT1/EFNB3/CARD11/WNT4/IL27RA/CDSN/SRC/BLK/SPN/TRAF6/STAT5B/GRAP2/CD81/PTPN6/HMGB1/EFNB1/C1QTNF1/ZAP70/RIPK2/DUSP3/LAPTM5/NDFIP1/IL4R/PLAUR/PIK3CA/SIRPB1/RUNX3/PIK3R1/CEBPB/PAG1/BCL6/SH2B3/CD55/CITED2/IL15/FSTL3/PTPRC/TGFBR2/CXCL12/IL1B/FYN/PODXL/LILRB2/ETS1/ICAM1/MAP3K8/IL7R/NR4A3/ZBTB16/CAV1"	62
