"ONTOLOGY"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"BP"	"GO:0007254"	"JNK cascade"	"75/1983"	"189/18862"	5.59035437781072e-26	3.0670716972807e-23	1.71508862538385e-23	"IRAK1/MEN1/TPD52L1/GPS1/DUSP9/TNFSF11/UNC5CL/HRAS/COPS5/NPPA/ADORA2B/GSTP1/EGFR/MAP3K9/IRAK4/WNT7B/PLCB1/DUSP10/CRKL/IGF1R/UBE2N/TRAF5/MAP3K13/HDAC3/DAXX/TLR9/MAPK8IP1/MAP3K10/EDAR/MAP2K7/CASR/UBC/CD40LG/RAP2A/GPS2/DUSP3/MAPK9/MAP3K11/ZMYND11/AKT1/PTK2B/GADD45G/MECOM/MAP3K6/UBB/NCOR1/TRAF6/DUSP22/MAP3K12/MAP2K4/MAPK10/NOD1/MAP3K5/PTPN22/SYK/DNAJA1/FLT4/SPAG9/MAGI3/RIPK1/RAPGEF1/SIRPA/CYLD/SH3RF1/SH3RF3/RASGRP1/MYD88/NCF1/TLR4/SH2D3C/IL1B/TLR3/RASSF2/ARHGEF6/GADD45B"	75
"BP"	"GO:0043406"	"positive regulation of MAP kinase activity"	"82/1983"	"230/18862"	1.36820003314139e-24	6.88090600000691e-22	3.84776254934324e-22	"CDK1/CD24/IRAK1/TPD52L1/PDCD10/DUSP9/VEGFA/TNFSF11/SHC1/PRDX2/DVL2/HRAS/RET/EGF/ADORA2B/PAK3/TRAF7/EGFR/MAP3K9/TNFRSF11A/CRKL/TP73/MAPK14/MAP2K2/UBE2N/INSR/MAP3K13/PPIA/DAXX/TLR9/PDE6G/CSK/GRM4/MAP3K10/MAP2K7/ALK/SRC/GRM1/PSEN1/UBC/FRS2/CD40LG/MAPK3/FGFR1/FLT3/NTRK3/MAP3K11/S1PR2/PLCE1/SHC2/DUSP7/PTK2B/GADD45G/MAP3K6/UBB/TIAM1/FLT1/TRAF6/MAP3K12/MAP2K4/PDGFRB/PIK3CG/PIK3R5/MAPK10/FGF18/NOD1/MAP3K5/SYK/DUSP5/SPAG9/RIPK1/LPAR1/FZD4/RASGRP1/KIT/TLR4/DUSP6/FGF2/IL1B/GADD45B/GHR/S100A12"	82
"BP"	"GO:1901653"	"cellular response to peptide"	"113/1983"	"391/18862"	1.94696286579353e-24	9.03840068851072e-22	5.05422101031097e-22	"CCNA2/CDC6/CPS1/BRIP1/EPRS1/CDK4/TIMELESS/SMARCC1/RAB10/APEX1/RAB15/SHC1/PTK2/PIK3R2/KLF5/IRS1/PIP4K2C/GSTP1/LDOC1/TP53/SNX6/LEP/AHSG/GSK3A/RPS6KB1/CDC5L/IGF1R/SH2B2/ATP6V1B1/INSR/SNX5/GRM5/CSK/WNT1/IRS4/PTPRA/FUT7/GLP1R/JAK3/ATP6V1G2/GPT/TSHR/SRC/SLC9A1/CAMK2A/AKT2/CASR/POU4F2/PSEN1/LRP1/FOXO4/APPL1/NCK1/ATP6AP1/AKT1/HDAC5/ACTN2/ATP6V0E1/ATP6V1E1/ROCK2/ATP2B1/PIP4K2A/PIK3C2A/FER/STAT3/RAP1B/PIK3R3/MYO1C/PRNP/NOD1/PTPN22/ADCY6/KLF11/BCAR3/ZDHHC7/FOXO1/ITGA4/PRKCB/CRK/SIK2/LYN/ATP6V0D1/STAT6/ADCY7/PDE3B/GAB1/PIK3R1/GJA1/JAK2/PRKCD/CCND3/STAT5A/SOCS3/NFKB1/NR4A1/CASP4/FYN/TREM2/TLR4/PRKCQ/PRKCZ/IL1B/ICAM1/CA2/KL/SOCS2/CAV2/GHR/PPARG/KLF4/AGTR1/CD36/ADRB2"	113
"BP"	"GO:0042326"	"negative regulation of phosphorylation"	"114/1983"	"407/18862"	2.13307310920921e-23	9.19506872434114e-21	5.14182886325168e-21	"CCNB1/TWIST1/UCHL1/DDIT4/THY1/PPIF/CBLC/SMYD3/MEN1/DUSP4/LAX1/GPS1/TMED2/DUSP9/CASP3/RGS4/CDKN2C/TARBP2/PPM1E/HEXIM2/PAK2/PTK6/CAMK2N2/PARD3/CHORDC1/PKIB/BAK1/NPPA/PIP4K2C/GSTP1/SNX6/PPP2R5D/AHSG/BAX/DUSP10/CRKL/IGF1R/DYNLL1/STK38/PPIA/CDK5RAP3/FKBP8/RGS14/PRDX3/CSK/IPO5/MAPK8IP1/MAPT/NF1/NF2/MTOR/PPARA/PTPRJ/PSEN1/SLC8A1/SLC8A3/RB1/GPS2/SOCS5/NTRK3/DUSP3/GFRA2/NCK1/AKT1/DUSP7/DUSP16/NCOR1/HEXIM1/PIP4K2A/DUSP22/NLRP12/HDAC4/PRNP/PTPN22/PPP2R5A/DNAJA1/PPM1F/DUSP5/SPAG9/RGS3/SIRPA/LYN/PPARGC1A/SPRED1/NR2F2/PPP1R15B/CDKN1C/UBASH3B/PRKCD/CDKN2B/SOCS3/IRAK3/CEBPA/PTPN6/PKIA/RASIP1/ARRB2/CDKN1A/PTPN13/GNAQ/PKIG/DUSP1/DUSP6/SPRY2/SH3BP5/PRKCZ/SH2B3/IL1B/SPRY4/RASSF2/RGN/CAMK2N1/ANGPT1/PTPRB"	114
"BP"	"GO:0006352"	"DNA-templated transcription, initiation"	"84/1983"	"249/18862"	2.6356456554562e-23	1.06040810204521e-20	5.92974033080181e-21	"CCNB1/CDK1/TWIST1/CDK4/SOX9/TAF1A/POLR1G/PSMC4/MNAT1/POLR2J/TAF15/POLR2K/MED10/GTF2E2/HNF4G/TBPL1/BRF2/MED1/NPPA/CDK8/TP53/CDK7/GTF2H3/SMARCA4/ERCC2/BAX/NOTCH3/DHX36/TAF12/NR2F6/CBFB/RUNX2/GTF3C1/MED14/HNF1A/ERCC3/UBTF/CCNC/TEAD2/NCOA6/NR1I2/TAF1/NR6A1/BAZ2A/BRF1/HNF4A/RARB/PPARA/NR2E3/ESR1/RXRB/ESRRB/CREBBP/BCLAF1/MAPK3/MED26/THRA/GTF2H5/TAF1C/NRBF2/RARA/RORB/RXRG/NR0B2/HNF1B/RXRA/RORA/CCNH/NR5A2/NR1H2/YAP1/PPM1D/PPARGC1A/CTNNBIP1/MAML2/NR3C1/NR4A1/THRB/PGR/CDKN1A/CAVIN1/NR2F1/PPARG/NR3C2"	84
"BP"	"GO:0050730"	"regulation of peptidyl-tyrosine phosphorylation"	"85/1983"	"262/18862"	2.77502315404049e-22	1.04670404591465e-19	5.85310804727225e-20	"NCAPG2/CD24/THY1/LRP8/NOX4/CBLC/STAP2/VEGFA/HDAC2/SHC1/DLG3/PAK2/PTK6/EPHA7/DVL2/EGF/EGFR/TP53/SNX6/LEP/DOCK3/IL31RA/CNOT7/RAP2B/HES5/FGF8/GRM5/GATA1/ADORA1/TNK2/EPO/IL13/NF2/MTOR/SRC/IL4/ITGB3/PTPRJ/PSEN1/TEC/SOCS5/FLT3/CTF1/OSM/NRP1/PTK2B/TAL1/DUSP22/STAT3/PRNP/SYK/TSLP/ERBB4/TNFRSF14/CSF1R/BTC/LYN/EREG/IL15/JAK2/ITGA5/PRKCD/LIF/IL18/SOCS3/PTPN6/FYN/NCF1/ITGB2/TREM2/ARRB2/NEDD9/KIT/IL7/SH3BP5/GAS6/PRKCZ/SH2B3/CSF3/PECAM1/ICAM1/ANGPT1/GHR/CD36/IL6"	85
"BP"	"GO:0018105"	"peptidyl-serine phosphorylation"	"94/1983"	"310/18862"	3.85730788710764e-22	1.36934429992321e-19	7.65729355174434e-20	"CCNB1/AURKA/CDK1/DDIT4/AURKB/CHEK2/VRK1/SMYD3/CDK5R1/PDCD10/VEGFA/RPS6KB2/VRK2/PAK2/HSP90AB1/TXN/RET/IKBKE/BAK1/HSP90AA1/ATR/TCL1A/EGFR/SRPK2/GSK3A/RPS6KB1/BAX/CDK2/CSNK1G1/MARK2/MAPK14/MAPK12/MAP2K2/STK38/NLK/MAP3K13/BRSK2/HDAC6/MAP3K10/BCL2/RPS6KA6/TAF1/TCL1B/DYRK1B/EPO/MTOR/TSSK6/NSD1/SRC/RPS6KA4/PRKCA/TSSK2/CAMK2A/AKT2/TNKS/BRSK1/MAPK3/CAMK2D/NTRK3/STK4/MAPK9/BRAF/AKT3/OSM/TNKS1BP1/CAMK1/NCK1/AKT1/HIPK1/ROCK2/MAP3K12/MKNK2/SYK/PPM1F/BCAR3/RAF1/RIPK1/PRKCB/PLCL2/PRKD1/PRKCH/PRKCD/LIF/ARRB2/SPRY2/PRKCQ/GAS6/PRKCZ/SH2D3C/RASSF2/CSF3/SLC1A1/ANGPT1/IL6"	94
"BP"	"GO:0051348"	"negative regulation of transferase activity"	"91/1983"	"296/18862"	6.23106344727053e-22	2.0891371057932e-19	1.1682332989444e-19	"UCHL1/THY1/CBLC/SMYD3/MEN1/DUSP4/LAX1/GPS1/DUSP9/CASP3/RGS4/CDKN2C/TARBP2/PPM1E/HEXIM2/PAK2/PTK6/CAMK2N2/CHORDC1/PKIB/NPPA/PIP4K2C/GSTP1/TP53/SNX6/PHPT1/AHSG/GSK3A/DUSP10/IGF1R/LIMK1/STK38/PPIA/CDK5RAP3/RGS14/PRDX3/CSK/IPO5/MAPK8IP1/MAPT/NF1/NF2/SRC/PTPRJ/PSEN1/SLC8A1/SLC8A3/RB1/GPS2/SOCS5/DUSP3/NCK1/AKT1/DUSP7/DUSP16/HEXIM1/PIP4K2A/DUSP22/PTPN22/PPP2R5A/DNAJA1/PPM1F/DUSP5/RGS3/LYN/SPRED1/NR2F2/CDKN1C/UBASH3B/PRKCD/CDKN2B/SOCS3/IRAK3/CEBPA/PTPN6/PKIA/RASIP1/CDKN1A/GNAQ/PKIG/DUSP1/DUSP6/SPRY2/SH3BP5/SH2B3/IL1B/SPRY4/RGN/CAMK2N1/PPARG/PTPRB"	91
"BP"	"GO:0006367"	"transcription initiation from RNA polymerase II promoter"	"69/1983"	"187/18862"	7.17825556285426e-22	2.23683913452979e-19	1.25082741295121e-19	"CCNB1/CDK1/CDK4/SOX9/PSMC4/MNAT1/POLR2J/TAF15/POLR2K/MED10/GTF2E2/HNF4G/MED1/NPPA/CDK8/TP53/CDK7/GTF2H3/ERCC2/BAX/NOTCH3/DHX36/TAF12/NR2F6/CBFB/RUNX2/MED14/HNF1A/ERCC3/CCNC/TEAD2/NR1I2/TAF1/NR6A1/HNF4A/RARB/PPARA/NR2E3/ESR1/RXRB/ESRRB/CREBBP/MED26/THRA/GTF2H5/NRBF2/RARA/RORB/RXRG/NR0B2/HNF1B/RXRA/RORA/CCNH/NR5A2/NR1H2/YAP1/PPM1D/PPARGC1A/CTNNBIP1/MAML2/NR3C1/NR4A1/THRB/PGR/CDKN1A/NR2F1/PPARG/NR3C2"	69
"BP"	"GO:0043434"	"response to peptide hormone"	"116/1983"	"435/18862"	7.41288859827603e-22	2.23683913452979e-19	1.25082741295121e-19	"CCNA2/CDC6/CPS1/BRIP1/EPRS1/CDK4/CACYBP/STAT1/SMARCC1/GOT2/RAB10/APEX1/RAB15/SHC1/PTK2/EIF2B2/BSG/PIK3R2/IRS1/PIP4K2C/GSTP1/LEP/AHSG/GSK3A/RPS6KB1/GCNT1/CDC5L/IGF1R/SH2B2/EIF2B4/ATP6V1B1/INSR/SNX5/TH/CSK/WNT1/STAT2/IRS4/PTPRA/FUT7/GLP1R/JAK3/ATP6V1G2/GPT/MTOR/UCP3/TSHR/SRC/PPARA/SLC9A1/CAMK2A/SLC34A1/AKT2/POU4F2/FOXO4/OTC/APPL1/NCK1/TIMP4/ATP6AP1/AKT1/HDAC5/ACTN2/ATP6V0E1/ATP6V1E1/ROCK2/ATP2B1/PIP4K2A/PIK3C2A/FER/STAT3/RAP1B/PIK3R3/MYO1C/ADCY6/BCAR3/ZDHHC7/FOXO1/PRKCB/CRK/SIK2/LYN/ATP6V0D1/STAT6/ADCY7/EREG/CYBB/PDE3B/GAB1/PIK3R1/GJA1/JAK2/PRKCD/CCND3/STAT5A/SOCS3/NFKB1/CRY1/NR4A1/FYN/TLR2/EGR2/PRKCQ/PRKCZ/IL1B/TEK/PLN/ICAM1/CA2/KL/SOCS2/CAV2/GHR/PPARG/AGTR1/EDNRB"	116
